instance,left,left_routes,right,right_routes,route_jaccard,seed,shared_routes
L-main-threeshift-150c-01,LNS,45,true_lns_middle,49,0.0,4,0
L-main-threeshift-150c-01,LNS,45,proportional_true_lns_middle,49,0.0,4,0
L-main-threeshift-150c-01,restarted,48,true_lns_middle,49,0.3108108108108108,4,23
L-main-threeshift-150c-01,restarted,48,proportional_true_lns_middle,49,0.27631578947368424,4,21
L-main-threeshift-150c-01,true_lns_middle,49,proportional_true_lns_middle,49,0.5806451612903226,4,36
L-main-threeshift-15c-01,staged,4,LNS,4,0.0,2,0
L-main-threeshift-15c-01,staged,4,restarted,4,0.14285714285714285,2,1
L-main-threeshift-15c-01,staged,4,true_lns_middle,5,0.0,2,0
L-main-threeshift-15c-01,staged,4,proportional_true_lns_middle,5,0.0,2,0
L-main-threeshift-15c-01,LNS,4,restarted,4,0.0,2,0
L-main-threeshift-15c-01,LNS,4,true_lns_middle,5,0.0,2,0
L-main-threeshift-15c-01,LNS,4,proportional_true_lns_middle,5,0.0,2,0
L-main-threeshift-15c-01,restarted,4,true_lns_middle,5,0.0,2,0
L-main-threeshift-15c-01,restarted,4,proportional_true_lns_middle,5,0.0,2,0
L-main-threeshift-15c-01,true_lns_middle,5,proportional_true_lns_middle,5,1.0,2,5
L-main-threeshift-20c-01,staged,7,LNS,6,0.0,3,0
L-main-threeshift-20c-01,staged,7,restarted,7,1.0,3,7
L-main-threeshift-20c-01,staged,7,true_lns_middle,7,0.16666666666666666,3,2
L-main-threeshift-20c-01,staged,7,proportional_true_lns_middle,7,0.07692307692307693,3,1
L-main-threeshift-20c-01,LNS,6,restarted,7,0.0,3,0
L-main-threeshift-20c-01,LNS,6,true_lns_middle,7,0.0,3,0
L-main-threeshift-20c-01,LNS,6,proportional_true_lns_middle,7,0.0,3,0
L-main-threeshift-20c-01,restarted,7,true_lns_middle,7,0.16666666666666666,3,2
L-main-threeshift-20c-01,restarted,7,proportional_true_lns_middle,7,0.07692307692307693,3,1
L-main-threeshift-20c-01,true_lns_middle,7,proportional_true_lns_middle,7,0.0,3,0
L-main-threeshift-50c-01,staged,17,LNS,17,0.0,5,0
L-main-threeshift-50c-01,staged,17,restarted,18,0.34615384615384615,5,9
L-main-threeshift-50c-01,staged,17,true_lns_middle,17,0.0,5,0
L-main-threeshift-50c-01,staged,17,proportional_true_lns_middle,16,0.0,5,0
L-main-threeshift-50c-01,LNS,17,restarted,18,0.029411764705882353,5,1
L-main-threeshift-50c-01,LNS,17,true_lns_middle,17,0.030303030303030304,5,1
L-main-threeshift-50c-01,LNS,17,proportional_true_lns_middle,16,0.0,5,0
L-main-threeshift-50c-01,restarted,18,true_lns_middle,17,0.029411764705882353,5,1
L-main-threeshift-50c-01,restarted,18,proportional_true_lns_middle,16,0.0,5,0
L-main-threeshift-50c-01,true_lns_middle,17,proportional_true_lns_middle,16,0.0,5,0
L-main-threeshift-75c-01,staged,29,LNS,27,0.0,1,0
L-main-threeshift-75c-01,staged,29,restarted,27,0.12,1,6
L-main-threeshift-75c-01,staged,29,true_lns_middle,28,0.0,1,0
L-main-threeshift-75c-01,staged,29,proportional_true_lns_middle,28,0.0,1,0
L-main-threeshift-75c-01,LNS,27,restarted,27,0.0,1,0
L-main-threeshift-75c-01,LNS,27,true_lns_middle,28,0.0,1,0
L-main-threeshift-75c-01,LNS,27,proportional_true_lns_middle,28,0.0,1,0
L-main-threeshift-75c-01,restarted,27,true_lns_middle,28,0.018518518518518517,1,1
L-main-threeshift-75c-01,restarted,27,proportional_true_lns_middle,28,0.0,1,0
L-main-threeshift-75c-01,true_lns_middle,28,proportional_true_lns_middle,28,0.01818181818181818,1,1
L-main-threeshift-75c-01,staged,25,LNS,25,0.0,5,0
L-main-threeshift-75c-01,staged,25,restarted,25,0.08695652173913043,5,4
L-main-threeshift-75c-01,staged,25,true_lns_middle,25,1.0,5,25
L-main-threeshift-75c-01,staged,25,proportional_true_lns_middle,27,0.20930232558139536,5,9
L-main-threeshift-75c-01,LNS,25,restarted,25,0.0,5,0
L-main-threeshift-75c-01,LNS,25,true_lns_middle,25,0.0,5,0
L-main-threeshift-75c-01,LNS,25,proportional_true_lns_middle,27,0.0,5,0
L-main-threeshift-75c-01,restarted,25,true_lns_middle,25,0.08695652173913043,5,4
L-main-threeshift-75c-01,restarted,25,proportional_true_lns_middle,27,0.04,5,2
L-main-threeshift-75c-01,true_lns_middle,25,proportional_true_lns_middle,27,0.20930232558139536,5,9
