block_index,customer_ids,customers,full_signature,home_depot_id,instance,isolated_cost,seed,source,structural_signature,vehicle_type
38,C098|C030|C168|C176|C170|C102|C182,7,495ddfc2fb6393241e4ec9992e407a9533522a1a2092b5625cddc52e5e961ff8,D0,L-main-threeshift-100c-01,228.03134503973334,2,LNS,8834ad1200472e0eed479fe95353c0e6c467316cb64978b50a443b3f73b1b365,ev
39,C052|C083|C157|C185|C178|C190,6,23045e55423868968c8aea2232bf87d6491c6e893ac63c0246ddf1685944f054,D0,L-main-threeshift-100c-01,196.97486584511444,2,LNS,9d75552323f721029e45b204c04b21700a025f26841980cdd62abe251da34056,ev
40,C060|C001|C085|C081|C020|C151|C131|C172,8,cae2a129195012335e53788fdd9b702eab59040c1d0851f6793c1b3a99f16b33,D0,L-main-threeshift-100c-01,203.69744252270823,2,LNS,229d988524f38fac62c49732c44ea6d62d3a3341dff55543f316bde3868009bb,ev
41,C031|C077|C100|C006|C053|C112|C199|C109,8,212eae942fb084da0a7ba9970e3ffda484579cc0688ebf1c1d75f110c01e44a7,D0,L-main-threeshift-100c-01,201.0449042358254,2,LNS,2dd55059626d1cbbbab1d5fd8e8f04b251c93f536e6cdc189ae4852f66169270,ev
42,C092|C080|C011|C155|C103|C129|C183|C215,8,a25661d131bdd1e955c913f5a63d7d661370ab083e987886190b795b8aedac71,D0,L-main-threeshift-100c-01,200.33674850570665,2,LNS,6b95ae1f0ec0f44589ab0c70b6c863365bcb18b7144d396a1eaaa0970c05bfdd,cv
43,C040|C010|C066|C051|C127|C152,6,e84f85491bcb57f19af48202e5c2e320f5592ec1505db69e4f4749c692ffb578,D0,L-main-threeshift-100c-01,194.24558128941993,2,LNS,63d084451940fa11c9793b08abc8420ea1e67c97da295f000a891f7e7e32565f,ev
44,C058|C037|C048|C121|C164|C104|C196|C210|C209,9,8aec12ac32ee99910fed90aa915ad1721599b14355766342c329ca8b7425fd01,D0,L-main-threeshift-100c-01,363.03610074081035,2,LNS,342251c6752ef006a05e656a7757c561cdd3ee124db1cd1c886b6808f2a52bbf,cv
45,C024|C158|C132|C184|C177|C115|C195|C214|C218,9,1a840a764c6af3b5d83b7f4dbc0fb20474a897f273b8c0ea528aadcbe3398a8e,D0,L-main-threeshift-100c-01,164.83878831626367,2,LNS,af7a53c3dc9d113cefc60fedb7f48502e7b08c704c85f07826af2d2fcdf7ba5e,ev
46,C055|C008|C034|C029|C156|C186|C163|C200,8,bbd34a0069448f886547a44684c957d370a2b24b98f60c048be7048eefabefc1,D0,L-main-threeshift-100c-01,215.35931589010738,2,LNS,c48088eaaccc31f0e01502ca87c872849b428344ff00e8e23c6a0f81aba3f41d,ev
47,C097|C019|C007|C189|C166|C128|C142|C106,8,434516054234398b37880279a12d1f19365696afe352e93ac6795d96e623bece,D0,L-main-threeshift-100c-01,197.64642417090457,2,LNS,075540b6dd871c5e2247f92ee52d734a12301083afc7fdc40d08edd80850cbd2,ev
48,C027|C021|C035|C046|C096|C146,6,e433b5ce6bcd0170caf49559f6054320c4f3e7b077cabaa87d9bf2bcd2036913,D0,L-main-threeshift-100c-01,167.55206772287036,2,LNS,73b5d70f595565afb55968785b4c375f0ec4c9253a7c3b46b599e60ed9c75d0e,ev
49,C002|C049|C150|C101|C179|C119|C174|C110,8,fa33241a560b7665f83e16d6b164f4616115b75ff98fd5ceb2e9ff4a39decbfb,D0,L-main-threeshift-100c-01,223.33942967681247,2,LNS,53c3ca685b564bb0f302bde385461e5b1dcb6209feacdf1c28913c1acd2f8320,ev
50,C043|C017|C095|C198,4,5e312adc939d1225f8cb22ffa0cbe06228f1cb1a2e017e528052395813e4e886,D0,L-main-threeshift-100c-01,249.6532417084244,2,LNS,c328e98787419c665c1002c1be04b9402d654bd89846dc60ea94008f2d2e11ad,ev
51,C032|C061|C154|C197|C161|C118|C205|C211|C202,9,032e63094123502d359e3e5f6afca062f88420c7253cda2e39694e9cfb5a7ef1,D1,L-main-threeshift-100c-01,228.01328043775882,2,LNS,af671fdad79db8b4e742c284699fc4c5506772e8d041696416c1e5f037a0ab57,cv
52,C084|C059|C005|C175|C138|C122,6,25e8a417711e9130564abc44700bc93d4198e78b5a76ceda3447710e7977aa7f,D1,L-main-threeshift-100c-01,180.04351301814762,2,LNS,5eda7660d127b9bcf0a67c83d749eeef37e2bb9192106337002b7ecc593d8c0b,ev
53,C094|C086|C072|C074|C069|C144,6,2bbca1b8dad12ec8ed7fe25a8115219a9cda7be8559506bdeb3dd67672132998,D1,L-main-threeshift-100c-01,159.742597533761,2,LNS,bbaec05711b0c0bbf67f7909bf8384918deb5db271877d87baee02ec56646d4f,ev
54,C025|C143,2,d0577095b2f7391972fc137e35c4a888a34c8f885a73a8e838ed3706a9756ba4,D1,L-main-threeshift-100c-01,168.17125910669594,2,LNS,c0d5dc26a56bc295e571df4efad2043a983df4d56ac9d7daa9586d7ff7815eaa,ev
55,C093|C071|C067|C076|C044|C135|C221,7,b41e46d604af44a83c63e90e714d0a6ea9faf427d7d447c2fe3cff358279cdaf,D1,L-main-threeshift-100c-01,236.47078957542575,2,LNS,2e7a82c509fc8fe07c9add35c49c39a9164e311dd67a9d1f38b797db7a9331e7,cv
56,C018|C191|C111|C126|C141|C105,6,3340893e33714eedc47421d0fea96ec98ab43f4b846e3f4bd200861aa568678e,D1,L-main-threeshift-100c-01,132.59374969462831,2,LNS,773cdaca5dfb8b27efff28e54c88e164bc3e64daba3fda60354f3330ce9381f5,ev
57,C041|C078|C036|C145|C107|C180|C194|C113|C130,9,3251a39938883a131c81bcc20305278ffdaea75016821e5cede427539a52a152,D1,L-main-threeshift-100c-01,157.43788118394778,2,LNS,76412b750ede3f3a8df22f05726310db2f0a3efe71b5359eee2d327a2cb2c89b,ev
58,C014|C033|C088|C062|C087|C167|C140|C149,8,abde0346207db78ec75bbf3a2406160e454fdf8f0fcd3107445b1a7734e444e5,D1,L-main-threeshift-100c-01,151.6261032343504,2,LNS,11e5493ecfe812b6fb27a495fc6256a151dae11816e0e0c003df91c3d5d9b12f,ev
59,C068|C064|C003|C042|C165|C153|C116,7,1031d5487ddb2cc54ffcbbdb794580b65993a704079c46ac6bb5d505be9ced6e,D1,L-main-threeshift-100c-01,168.2639044655427,2,LNS,f8cbab7a1201d66ca83b1dcb0c47640584d3b1c1cc0d457d884f781d069d12d9,ev
60,C063|C013|C039|C181|C193|C117|C136|C160|C137,9,f0880579edf3b0369b63e69d8bc4a85732c7912288e41ac731af6cf0530b11d8,D1,L-main-threeshift-100c-01,236.19271261734357,2,LNS,c69d39970efc4b19e635160bf813851b7e26f51cb67e73182ec14c84bbad9f27,ev
61,C090|C099|C091|C070|C026|C192|C120,7,5234353c518bbee3bfbfa89593279cc7ba83855904d766cfc2e8f6c054f2f1c5,D1,L-main-threeshift-100c-01,137.01084157104162,2,LNS,5c7b440f3a6c2251548758dc33be4e988a495ba9ba70a9e722edef45a9bc60d9,ev
62,C073|C045|C089|C050|C065|C023|C012|C114,8,50a672c1c50110a6322e6c349bde4adf7a5305b8dd5e268c29a4c001c68c7c9a,D1,L-main-threeshift-100c-01,133.48256323175073,2,LNS,18b5cb1be22a6a3e4a34b44df6af114e846267a1090fa697289c5ad58a44e79b,ev
63,C016|C057|C009|C169,4,e2d08facd68d51cae66a86fb1df419314b9b7058d53553f0afcc52c006db1bdd,D1,L-main-threeshift-100c-01,151.94625922979017,2,LNS,bf9dd03dc5ba22db00c1f70ad6e6d99c1287e6eeed9a1c5b42cc7ee4837a7e0f,ev
64,C022|C047|C147|C162|C173,5,dd1b7f67cc589b7c6b6a0f85108cfe74417190e8fe76ebe5438e96392ec74a55,D1,L-main-threeshift-100c-01,153.2831032988936,2,LNS,3da361daf3ff66997c63b0817b6ab1b19a6c0942f5d53121c5beba2d5a5faabd,ev
65,C004|C123|C188|C171,4,f8742dc7616bd8ccc4191ee4e15fb005143c99b327bdd24a7863d4c09c282511,D1,L-main-threeshift-100c-01,123.47020478676876,2,LNS,6cfaef52fd32fc47575dfa4de235fae49d8ab876d191d3d26a1537bfe1b62ad9,ev
66,C075|C066|C015|C006|C054|C133|C178|C103|C169,9,ea294f98b8ab18e28807ef797db3478c2b4668eb31112065382f06b4789770bb,D0,L-main-threeshift-100c-01,247.77085928969723,2,restarted,f69678d79fbea31e616206d28833c7a8ee5e39ffe7be30e0e605fd2a3fd4050b,ev
67,C079|C037|C213|C217|C215|C203,6,44b9a048213dc57864ac24f896a9c4cba6fae76544e9eff67915cfc42e0fb641,D0,L-main-threeshift-100c-01,128.13683562606911,2,restarted,c5511a7cfcaeb8fc66c5647bdbcaa7f6f2414cbfd686da8d6b3d58790a0ae591,ev
68,C163|C159|C204|C206,4,97e3782304ac8ddbaf08631fef5adbf67aade9e50473cd834d66231444c092dc,D0,L-main-threeshift-100c-01,109.11587204667975,2,restarted,04226a11fdcab8b307562af771aca5b7114695c30511175f133f0d16ae9e7158,ev
69,C024|C098|C011|C030|C168|C176|C124,7,7c266bfb5b3eab5b118975d164a070789315433b4f975f7d98fc59edc498da24,D0,L-main-threeshift-100c-01,186.0945253575578,2,restarted,7403c3aa3060a5e1aa5586d9081b192efd110786e49b851ae1b00548d00fb584,ev
70,C027|C049|C083|C157|C185|C102|C170|C190,8,9db8f37b26519844dac7cc0ca7617e73126ff7788aaca94b5135b4452dcf38ba,D0,L-main-threeshift-100c-01,205.53036176529037,2,restarted,89ebbe577608e8455d313d583b23d348b687a33b5cb02bff239540ede23906e9,ev
71,C060|C001|C085|C081|C020|C151|C131|C172,8,cae2a129195012335e53788fdd9b702eab59040c1d0851f6793c1b3a99f16b33,D0,L-main-threeshift-100c-01,203.69744252270823,2,restarted,229d988524f38fac62c49732c44ea6d62d3a3341dff55543f316bde3868009bb,ev
72,C031|C077|C100|C052|C053|C029|C121|C179,8,a5727c1d8197cdd6c498f1802049436bab9b7e53aa4bfa06f57adc46cbdee170,D0,L-main-threeshift-100c-01,233.24856767470789,2,restarted,c963fd24fa0227c43e61289277b57ea97d16e78e794747d998b4fbc820c1638e,ev
73,C092|C199|C155|C134|C150|C183|C125|C108|C208|C212|C218,11,b54f9f140c2142452a85f7bde4f10dd1e715686977e4d1d11997493fa2407dd6,D0,L-main-threeshift-100c-01,283.55799911966153,2,restarted,bed8ba013769da18520147f8001e72c1f8c61d2d495afb575387200362f01851,cv
74,C040|C046|C010|C127|C164|C152,6,9218c59abf1458a31187ea7c9ac19705219831381441912ef0015ab3fa73be4d,D0,L-main-threeshift-100c-01,204.8283358706466,2,restarted,99f6d71b08f0a3fa39736361b6a3e31d34b99cefa224d5163b7569d2faf246fb,ev
75,C058|C048|C139|C195|C158|C209|C201|C214,8,2b9dd69b8d853b3c39c3aedc688b20cf63ab96befa71ef1a580ff7efd1ecb0f0,D0,L-main-threeshift-100c-01,264.8025640185601,2,restarted,9ea12b1fcd37afec7b216ef5258dcb44ff05f17ec7a1f91a5eba583c9237ea6a,cv
76,C056|C182|C109|C106|C115|C132|C184|C177|C196|C216|C207,11,baec8b0245207806e18360eb554c3504ac647f0fd0b2efef0c478d071c3cadbe,D0,L-main-threeshift-100c-01,167.84787558588636,2,restarted,058238a7aba7a3f7b7d1e836f72366b2a9189a69bea77932c84e1e93ecab3d27,ev
77,C055|C008|C034|C198|C167|C101|C129|C112|C220|C219,10,e03e6b213334a4ee25dc1c9606488a433b509bb95ab5542681339b61ff4d556a,D0,L-main-threeshift-100c-01,248.83696162263178,2,restarted,e10c9d5fce604d58f6f72dc6a99403cb3ce3173d21a73d6a05cb148fca98aff8,cv
78,C028|C038|C097|C009|C007|C017|C166|C128|C142,9,9c6d2f2744eb2d797898aa831a7d55fcafe4bc071cd4b0d0497c20115e576116,D0,L-main-threeshift-100c-01,226.53863035680234,2,restarted,1c51f031d30c4d6507168034b1adc49e27ffbcbb489d5e3ebd180ade05ed8937,ev
79,C035|C156,2,23dc46c9ec0a59392ad2aa071fe8c5ecffeeef4bb9ba5ebcf0a9af90df1ac58d,D0,L-main-threeshift-100c-01,145.4798904439635,2,restarted,257e194304df90ab2813bc50ca635a2c2720fdeab8b01aefc585df5fef3c6aa6,ev
80,C065|C061|C012|C114|C161|C118|C205|C211|C202,9,28e51e599fb40d7dbca894bf30baf495eb1f8fc95d6d12421620fdd5fe291d2f,D1,L-main-threeshift-100c-01,236.11535706189227,2,restarted,7f59bf0ffa948046ef94280dcfb4866aa3424f6d76a57011d9e14ec9ad4d90ff,cv
81,C005|C003|C144|C153|C175|C138|C174,7,a5cda8e5d3ede81188e01c0755156a5d546c84c590fced10736090404ee4f44a,D1,L-main-threeshift-100c-01,185.8464373672786,2,restarted,f84e4e4503e5041ff73b4be027050019dd2323e802b02be2f6eadfe4a67fcee5,ev
82,C064|C094|C084|C057|C116,5,e54c790b372707a445021cd03a5f8af738001aa2874c794d9343ff53a0482b58,D1,L-main-threeshift-100c-01,135.72042614374325,2,restarted,9ffa104096e7e4070453a62995ed4100e5491c473160e09788d27f9d7d79b3f3,ev
83,C086|C016|C004|C072|C059|C025|C180|C145,8,d27c8020c2fed18c1b835c64ad586db58ecd823a1410da276c28e02e777ef028,D1,L-main-threeshift-100c-01,167.68610357565885,2,restarted,9d1b173b2391df7553dbfb1f0597865c19eba5689cbbc68eddbb410a993ecb87,ev
84,C013|C093|C067|C096|C076|C200|C221,7,c0d8801d6390ad2a549a64383409d967a0ab1b80d9b64a72652b20b22f1ba11b,D1,L-main-threeshift-100c-01,147.33797604457163,2,restarted,9676b5619b315c4964c362e34ee1c9d513dd5e611c2b963951c6efa5a6d39bad,ev
85,C018|C191|C126|C111|C171|C113|C194,7,1ded58a987017df004e549474fd40df67fb3a6bce7d5bd14857723fca21e0656,D1,L-main-threeshift-100c-01,131.82248004726338,2,restarted,8cf592238bb30fda5986c3d449a788813e79c11f0f78e5ac95e6919b895dbcfd,ev
86,C069|C042|C165|C107|C123,5,f0c8339a3e501a04de720ca7a31379297e51a8889811dbaa8e5770653a60ed18,D1,L-main-threeshift-100c-01,147.51780789412678,2,restarted,f9719d1c78c1f188ab1f1c519d0cddccc6d29938d859d0808e6e811918667141,ev
87,C041|C078|C036|C074|C188|C136,6,a1877eae57a7a0a324cbcdbd68d9f7b51ea0a01c96682d47267df080e654c189,D1,L-main-threeshift-100c-01,206.85094179579525,2,restarted,0cc1d3b849a550cb8a21333d0befabf5a425a168d298b79e68c421fee28851bb,ev
88,C095|C014|C023|C063|C140|C149,6,e89b1c45055951fe753866d4158217bd4e526ec07b004d9d704012fb093f322e,D1,L-main-threeshift-100c-01,113.95287935187481,2,restarted,55403fbdf833eae10dbf1586aa14cf9d9578a992ae2db603f6b9c5572933b2b6,ev
89,C192|C154|C173|C162|C117|C193|C181|C110,8,a7eb5921079e9f4b6f07f5cfdfafabdacd2a8c20fbd0d48b06fd656b48e0b9fe,D1,L-main-threeshift-100c-01,219.77030785997908,2,restarted,9c4010fd61b431f34d636d2bc07be768f14239adbfeb83efbb7018a4fefb99fe,ev
90,C044|C068|C033|C088|C087|C062|C147|C137|C197|C122,10,ee8d59c8f047692123a5004404e0ad8ee1cd50825c383faca6c9ba9665a4313b,D1,L-main-threeshift-100c-01,182.51659944497834,2,restarted,bdc0deac9085855f123559fe0c652c3cb983ea88e9f50e89f53539bbb3a47704,ev
91,C090|C099|C026|C022|C047|C039|C071|C160,8,193070f2d49bc93900976bdd2b23124139f0fd398eb41490eab675d6ba1c061c,D1,L-main-threeshift-100c-01,205.32361552597695,2,restarted,bc188c2c524dcfcb1d60f94a0f09c46bedfd78a01289486519c9436023752f19,ev
92,C089,1,337b2558bb1b74e1fd467fc230962e43c29cd7df9ef79adf3a58817ac4e96681,D1,L-main-threeshift-100c-01,106.32016235624633,2,restarted,576f6600d164bb3d1710bbc67440acf002797d34df3c60f15926887020958bed,ev
93,C091|C032|C050|C070|C120,5,f825a4ff8b0bba3f48012f117bf4bd7c0aa6147213917604e02ff9faea066469,D1,L-main-threeshift-100c-01,112.63222273754408,2,restarted,a810569640c199398294a7b0aef781bfb73fd5758c8e9327777a61e283af0b2e,ev
94,C073|C045|C141|C105|C130,5,42c30fb08a6520c0bde9eb32baa312a79f56b4253cb387aa05652fd793a7ea4f,D1,L-main-threeshift-100c-01,113.57684188029975,2,restarted,c8fe6a6c2c159400cdbe2ac64edb85782a9a4bf79fbd9d51032a8fd932d67c80,ev
95,C080|C043|C104,3,626351f4d578d007642544a3148d0e10fd9a4244a179ef16e448adfd699c83d8,D0,L-main-threeshift-100c-01,140.95216530899174,2,restarted,efeb79d3702cd94c7c9078a8e8f967596f8b13ea3265d131eb95b0716503462e,ev
96,C019|C189|C210,3,11d06506bdb381c33b51c601d3976302c86681086cdb165df08e19e397f152b6,D0,L-main-threeshift-100c-01,158.91159601278565,2,restarted,ad29b3680225c333d31bfa980cab3f9109418b3326166c67d7b7a292adaebf41,ev
