algorithm,best_cost,bundle_dir,elapsed_seconds,eval_budget,evaluations,history,instance,max_runtime_seconds,seed,source,status,violation_count
GA,9666.358832368967,models/data_bundle/generated_instances/E-UK24h-三班-01,900.0000005420006,16000,9229,"[{'eval': 0, 'best_cost': 9666.358832368967, 'current_cost': 9666.358832368967, 'operator': 'shared_warm_start'}]",L-main,900.0,6,Narayanan et al. 2022 arXiv:2204.05545 sec.2.3,HALT_RUNTIME_UNDER_EVAL,0
GA,9666.358832368967,models/data_bundle/generated_instances/E-UK24h-三班-01,900.0000005000038,16000,9229,"[{'eval': 0, 'best_cost': 9666.358832368967, 'current_cost': 9666.358832368967, 'operator': 'shared_warm_start'}]",L-main,900.0,7,Narayanan et al. 2022 arXiv:2204.05545 sec.2.3,HALT_RUNTIME_UNDER_EVAL,0
GA,9666.358832368967,models/data_bundle/generated_instances/E-UK24h-三班-01,900.0000007909985,16000,9229,"[{'eval': 0, 'best_cost': 9666.358832368967, 'current_cost': 9666.358832368967, 'operator': 'shared_warm_start'}]",L-main,900.0,8,Narayanan et al. 2022 arXiv:2204.05545 sec.2.3,HALT_RUNTIME_UNDER_EVAL,0
GA,9666.358832368967,models/data_bundle/generated_instances/E-UK24h-三班-01,900.000001458,16000,9229,"[{'eval': 0, 'best_cost': 9666.358832368967, 'current_cost': 9666.358832368967, 'operator': 'shared_warm_start'}]",L-main,900.0,9,Narayanan et al. 2022 arXiv:2204.05545 sec.2.3,HALT_RUNTIME_UNDER_EVAL,0
GA,9666.358832368967,models/data_bundle/generated_instances/E-UK24h-三班-01,900.0000020829975,16000,9229,"[{'eval': 0, 'best_cost': 9666.358832368967, 'current_cost': 9666.358832368967, 'operator': 'shared_warm_start'}]",L-main,900.0,10,Narayanan et al. 2022 arXiv:2204.05545 sec.2.3,HALT_RUNTIME_UNDER_EVAL,0
GA-VNS,9651.519823745297,models/data_bundle/generated_instances/E-UK24h-三班-01,900.2052318330025,16000,7804,"[{'eval': 0, 'best_cost': 9666.358832368967, 'current_cost': 9666.358832368967, 'operator': 'shared_warm_start'}, {'eval': 7085, 'best_cost': 9651.519823745297, 'current_cost': 9666.358832368967, 'operator': 'vns_local_alns_shaw'}]",L-main,900.0,1,Narayanan GA plus Woller VNS memetic hybrid,HALT_RUNTIME_UNDER_EVAL,0
GA-VNS,9407.801573183111,models/data_bundle/generated_instances/E-UK24h-三班-01,900.1380019999997,16000,7788,"[{'eval': 0, 'best_cost': 9666.358832368967, 'current_cost': 9666.358832368967, 'operator': 'shared_warm_start'}, {'eval': 1801, 'best_cost': 9652.225432347243, 'current_cost': 9666.358832368967, 'operator': 'vns_local_alns_shaw'}, {'eval': 3507, 'best_cost': 9407.801573183111, 'current_cost': 9652.225432347243, 'operator': 'vns_local_alns_shaw'}]",L-main,900.0,2,Narayanan GA plus Woller VNS memetic hybrid,HALT_RUNTIME_UNDER_EVAL,0
GA-VNS,9278.520009825384,models/data_bundle/generated_instances/E-UK24h-三班-01,900.1188915000021,16000,8007,"[{'eval': 0, 'best_cost': 9666.358832368967, 'current_cost': 9666.358832368967, 'operator': 'shared_warm_start'}, {'eval': 1682, 'best_cost': 9592.929357540841, 'current_cost': 9666.358832368967, 'operator': 'vns_local_alns_shaw'}, {'eval': 1683, 'best_cost': 9370.934729331815, 'current_cost': 9666.358832368967, 'operator': 'vns_local_alns_shaw'}, {'eval': 1686, 'best_cost': 9278.520009825384, 'current_cost': 9666.358832368967, 'operator': 'vns_local_alns_shaw'}]",L-main,900.0,3,Narayanan GA plus Woller VNS memetic hybrid,HALT_RUNTIME_UNDER_EVAL,0
GA-VNS,9666.358832368967,models/data_bundle/generated_instances/E-UK24h-三班-01,900.0560617919982,16000,7913,"[{'eval': 0, 'best_cost': 9666.358832368967, 'current_cost': 9666.358832368967, 'operator': 'shared_warm_start'}]",L-main,900.0,4,Narayanan GA plus Woller VNS memetic hybrid,HALT_RUNTIME_UNDER_EVAL,0
GA-VNS,9390.351476100239,models/data_bundle/generated_instances/E-UK24h-三班-01,900.1828150000001,16000,7777,"[{'eval': 0, 'best_cost': 9666.358832368967, 'current_cost': 9666.358832368967, 'operator': 'shared_warm_start'}, {'eval': 5179, 'best_cost': 9497.912590423324, 'current_cost': 9666.358832368967, 'operator': 'vns_local_alns_shaw'}, {'eval': 5180, 'best_cost': 9390.351476100239, 'current_cost': 9666.358832368967, 'operator': 'vns_local_alns_shaw'}]",L-main,900.0,5,Narayanan GA plus Woller VNS memetic hybrid,HALT_RUNTIME_UNDER_EVAL,0
GA-VNS,9395.997258509899,models/data_bundle/generated_instances/E-UK24h-三班-01,900.3563553330023,16000,7815,"[{'eval': 0, 'best_cost': 9666.358832368967, 'current_cost': 9666.358832368967, 'operator': 'shared_warm_start'}, {'eval': 3643, 'best_cost': 9511.809558519875, 'current_cost': 9666.358832368967, 'operator': 'vns_local_alns_shaw'}, {'eval': 3644, 'best_cost': 9508.233664672149, 'current_cost': 9666.358832368967, 'operator': 'vns_local_alns_shaw'}, {'eval': 3648, 'best_cost': 9491.756761726747, 'current_cost': 9666.358832368967, 'operator': 'vns_local_alns_shaw'}, {'eval': 3650, 'best_cost': 9395.997258509899, 'current_cost': 9666.358832368967, 'operator': 'vns_local_alns_shaw'}]",L-main,900.0,6,Narayanan GA plus Woller VNS memetic hybrid,HALT_RUNTIME_UNDER_EVAL,0
GA-VNS,9138.586341218546,models/data_bundle/generated_instances/E-UK24h-三班-01,900.0516682079979,16000,7726,"[{'eval': 0, 'best_cost': 9666.358832368967, 'current_cost': 9666.358832368967, 'operator': 'shared_warm_start'}, {'eval': 4638, 'best_cost': 9510.933252725838, 'current_cost': 9666.358832368967, 'operator': 'vns_local_alns_shaw'}, {'eval': 4641, 'best_cost': 9138.586341218546, 'current_cost': 9666.358832368967, 'operator': 'vns_local_alns_shaw'}]",L-main,900.0,7,Narayanan GA plus Woller VNS memetic hybrid,HALT_RUNTIME_UNDER_EVAL,0
GA-VNS,9666.358832368967,models/data_bundle/generated_instances/E-UK24h-三班-01,900.029039999994,16000,7977,"[{'eval': 0, 'best_cost': 9666.358832368967, 'current_cost': 9666.358832368967, 'operator': 'shared_warm_start'}]",L-main,900.0,8,Narayanan GA plus Woller VNS memetic hybrid,HALT_RUNTIME_UNDER_EVAL,0
GA-VNS,9666.358832368967,models/data_bundle/generated_instances/E-UK24h-三班-01,900.1512029169971,16000,7900,"[{'eval': 0, 'best_cost': 9666.358832368967, 'current_cost': 9666.358832368967, 'operator': 'shared_warm_start'}]",L-main,900.0,9,Narayanan GA plus Woller VNS memetic hybrid,HALT_RUNTIME_UNDER_EVAL,0
GA-VNS,9461.927928495177,models/data_bundle/generated_instances/E-UK24h-三班-01,900.1350740829948,16000,7778,"[{'eval': 0, 'best_cost': 9666.358832368967, 'current_cost': 9666.358832368967, 'operator': 'shared_warm_start'}, {'eval': 1623, 'best_cost': 9649.65710495825, 'current_cost': 9666.358832368967, 'operator': 'vns_local_alns_shaw'}, {'eval': 1627, 'best_cost': 9631.802777527233, 'current_cost': 9666.358832368967, 'operator': 'vns_local_alns_shaw'}, {'eval': 1631, 'best_cost': 9461.927928495177, 'current_cost': 9666.358832368967, 'operator': 'vns_local_alns_shaw'}]",L-main,900.0,10,Narayanan GA plus Woller VNS memetic hybrid,HALT_RUNTIME_UNDER_EVAL,0
