all_cv_count,all_ev_count,balanced_count,battery_kwh,category,cv_heavy_count,ev_heavy_count,expected_winner_rows,main_candidate_eligible,mean_ev_customer_share,mean_ev_demand_share,mean_ev_distance_share,mean_ev_route_share,missing_or_infeasible_winner_rows,phase,route_share_in_practical_band,secondary_only,size,source_ids,winner_count
0,0,1,81.0,threeshift,0,0,1,True,0.7133333333333334,0.7522088975945211,0.571221072791294,0.7692307692307693,0,stage_a,True,False,150,MercedesESprinter,1
1,0,0,81.0,threeshift,0,0,1,True,0.0,0.0,0.0,0.0,0,stage_a,False,False,200,MercedesESprinter,1
0,0,1,81.0,vanilla,0,0,1,True,0.2,0.2616822429906542,0.13513895558375247,0.25,0,stage_a,True,False,10,MercedesESprinter,1
0,0,1,81.0,vanilla,0,0,1,True,0.2,0.21263332871588864,0.11534773171498758,0.2,0,stage_a,True,False,15,MercedesESprinter,1
0,0,1,81.0,vanilla,0,0,1,True,0.25,0.33433027130954923,0.21465832831541967,0.3333333333333333,0,stage_a,True,False,20,MercedesESprinter,1
0,0,1,81.0,vanilla,0,0,1,True,0.28,0.42155369383092156,0.25274096979116406,0.42857142857142855,0,stage_a,True,False,25,MercedesESprinter,1
0,0,1,81.0,vanilla,0,0,1,True,0.44,0.4309002853930641,0.33609282335990526,0.4375,0,stage_a,True,False,50,MercedesESprinter,1
1,0,0,81.0,vanilla,0,0,1,True,0.0,0.0,0.0,0.0,0,stage_a,False,False,75,MercedesESprinter,1
0,0,1,81.0,vanilla,0,0,1,True,0.36,0.41532301007476197,0.298487988769793,0.4375,0,stage_a,True,False,100,MercedesESprinter,1
0,0,1,81.0,vanilla,0,0,1,True,0.68,0.7303636389372514,0.570930779087938,0.7547169811320755,0,stage_a,True,False,150,MercedesESprinter,1
1,0,0,81.0,vanilla,0,0,1,True,0.0,0.0,0.0,0.0,0,stage_a,False,False,200,MercedesESprinter,1
0,0,1,82.6,multidepot,0,0,1,True,0.7,0.7268559336977606,0.6814339662848842,0.75,0,stage_a,True,True,10,FusoECanter,1
0,0,1,82.6,multidepot,0,0,1,True,0.4,0.41072170660756335,0.2775924241640454,0.4,0,stage_a,True,True,15,FusoECanter,1
0,0,1,82.6,multidepot,0,0,1,True,0.3,0.3742790002136296,0.1962872520144767,0.42857142857142855,0,stage_a,True,True,20,FusoECanter,1
0,0,1,82.6,multidepot,0,0,1,True,0.64,0.7038271134805788,0.45590232053719665,0.75,0,stage_a,True,True,25,FusoECanter,1
0,0,1,82.6,multidepot,0,0,1,True,0.62,0.6726195623973017,0.5550526542922062,0.7058823529411765,0,stage_a,True,True,50,FusoECanter,1
0,0,1,82.6,multidepot,0,0,1,True,0.68,0.7039570904712386,0.5432580291818909,0.7037037037037037,0,stage_a,True,True,75,FusoECanter,1
0,0,1,82.6,multidepot,0,0,1,True,0.67,0.688427868538201,0.5126119139017435,0.7058823529411765,0,stage_a,True,True,100,FusoECanter,1
1,0,0,82.6,multidepot,0,0,1,True,0.0,0.0,0.0,0.0,0,stage_a,False,True,150,FusoECanter,1
1,0,0,82.6,multidepot,0,0,1,True,0.0,0.0,0.0,0.0,0,stage_a,False,True,200,FusoECanter,1
1,0,0,82.6,threeshift,0,0,1,True,0.0,0.0,0.0,0.0,0,stage_a,False,True,50,FusoECanter,1
1,0,0,82.6,threeshift,0,0,1,True,0.0,0.0,0.0,0.0,0,stage_a,False,True,75,FusoECanter,1
0,0,1,82.6,threeshift,0,0,1,True,0.4,0.409254753536992,0.3385478464638113,0.4375,0,stage_a,True,True,100,FusoECanter,1
0,0,1,82.6,threeshift,0,0,1,True,0.6533333333333333,0.7145836562715782,0.5309447472715825,0.7407407407407407,0,stage_a,True,True,150,FusoECanter,1
1,0,0,82.6,threeshift,0,0,1,True,0.0,0.0,0.0,0.0,0,stage_a,False,True,200,FusoECanter,1
0,0,1,82.6,vanilla,0,0,1,True,0.2,0.2616822429906542,0.13513895558375247,0.25,0,stage_a,True,True,10,FusoECanter,1
0,0,1,82.6,vanilla,0,0,1,True,0.2,0.21263332871588864,0.11534773171498758,0.2,0,stage_a,True,True,15,FusoECanter,1
0,0,1,82.6,vanilla,0,0,1,True,0.25,0.37128818628498184,0.2570933487465691,0.42857142857142855,0,stage_a,True,True,20,FusoECanter,1
0,0,1,82.6,vanilla,0,0,1,True,0.48,0.557025894897182,0.4293866569615795,0.5714285714285714,0,stage_a,True,True,25,FusoECanter,1
0,0,1,82.6,vanilla,0,0,1,True,0.28,0.3610654674392459,0.26268750443122874,0.375,0,stage_a,True,True,50,FusoECanter,1
1,0,0,82.6,vanilla,0,0,1,True,0.0,0.0,0.0,0.0,0,stage_a,False,True,75,FusoECanter,1
0,0,1,82.6,vanilla,0,0,1,True,0.37,0.405461245180941,0.2846189304277708,0.42424242424242425,0,stage_a,True,True,100,FusoECanter,1
0,0,1,82.6,vanilla,0,0,1,True,0.6933333333333334,0.7449148583803983,0.605138011117393,0.7777777777777778,0,stage_a,True,True,150,FusoECanter,1
1,0,0,82.6,vanilla,0,0,1,True,0.0,0.0,0.0,0.0,0,stage_a,False,True,200,FusoECanter,1
0,0,1,89.0,multidepot,0,0,1,True,0.7,0.7268559336977606,0.6814339662848842,0.75,0,stage_a,True,False,10,FordETransit2025,1
0,0,1,89.0,multidepot,0,0,1,True,0.6,0.62418617537055,0.43387378048217173,0.6,0,stage_a,True,False,15,FordETransit2025,1
0,0,1,89.0,multidepot,0,0,1,True,0.3,0.3742790002136296,0.1962872520144767,0.42857142857142855,0,stage_a,True,False,20,FordETransit2025,1
0,0,0,89.0,multidepot,0,1,1,True,0.8,0.8526275704493527,0.6305979091513028,0.8571428571428571,0,stage_a,False,False,25,FordETransit2025,1
0,0,1,89.0,multidepot,0,0,1,True,0.74,0.7640750670241286,0.616513364441651,0.7647058823529411,0,stage_a,True,False,50,FordETransit2025,1
0,0,0,89.0,multidepot,0,1,1,True,0.76,0.7961523726123365,0.691954311109949,0.8148148148148148,0,stage_a,False,False,75,FordETransit2025,1
0,0,1,89.0,multidepot,0,0,1,True,0.74,0.7717523269931202,0.6053890923732432,0.7941176470588235,0,stage_a,True,False,100,FordETransit2025,1
1,0,0,89.0,multidepot,0,0,1,True,0.0,0.0,0.0,0.0,0,stage_a,False,False,150,FordETransit2025,1
1,0,0,89.0,multidepot,0,0,1,True,0.0,0.0,0.0,0.0,0,stage_a,False,False,200,FordETransit2025,1
0,0,0,89.0,threeshift,0,1,1,True,0.72,0.7940979806535016,0.7177652935295629,0.8125,0,stage_a,False,False,50,FordETransit2025,1
1,0,0,89.0,threeshift,0,0,1,True,0.0,0.0,0.0,0.0,0,stage_a,False,False,75,FordETransit2025,1
0,0,1,89.0,threeshift,0,0,1,True,0.26,0.2597098314859872,0.20771024065424548,0.26666666666666666,0,stage_a,True,False,100,FordETransit2025,1
0,0,1,89.0,threeshift,0,0,1,True,0.7466666666666667,0.7747981342389696,0.5947629837593792,0.7884615384615384,0,stage_a,True,False,150,FordETransit2025,1
1,0,0,89.0,threeshift,0,0,1,True,0.0,0.0,0.0,0.0,0,stage_a,False,False,200,FordETransit2025,1
0,0,1,89.0,vanilla,0,0,1,True,0.4,0.4831599365191324,0.3841683245373059,0.5,0,stage_a,True,False,10,FordETransit2025,1
0,0,1,89.0,vanilla,0,0,1,True,0.2,0.21263332871588864,0.11534773171498758,0.2,0,stage_a,True,False,15,FordETransit2025,1
0,0,1,89.0,vanilla,0,0,1,True,0.3,0.37128818628498184,0.28733606559409347,0.42857142857142855,0,stage_a,True,False,20,FordETransit2025,1
0,0,1,89.0,vanilla,0,0,1,True,0.56,0.7271515613099772,0.5953835978089564,0.7142857142857143,0,stage_a,True,False,25,FordETransit2025,1
0,0,1,89.0,vanilla,0,0,1,True,0.52,0.541900890772291,0.4451018615528149,0.5625,0,stage_a,True,False,50,FordETransit2025,1
0,0,1,89.0,vanilla,0,0,1,True,0.41333333333333333,0.4674347326364184,0.36187435571023086,0.5,0,stage_a,True,False,75,FordETransit2025,1
0,0,1,89.0,vanilla,0,0,1,True,0.35,0.4186457645530256,0.3221231809427173,0.4375,0,stage_a,True,False,100,FordETransit2025,1
0,0,0,89.0,vanilla,0,1,1,True,0.7933333333333333,0.831302107662038,0.7236497783849514,0.8461538461538461,0,stage_a,False,False,150,FordETransit2025,1
0,0,1,89.0,vanilla,0,0,1,True,0.675,0.6923583662714098,0.5824498375725402,0.7183098591549296,0,stage_a,True,False,200,FordETransit2025,1
0,1,0,100.0,multidepot,0,0,1,True,1.0,1.0,1.0,1.0,0,stage_a,False,False,10,IsuzuNRREV,1
0,0,1,100.0,multidepot,0,0,1,True,0.6,0.62418617537055,0.43387378048217173,0.6,0,stage_a,True,False,15,IsuzuNRREV,1
0,0,1,100.0,multidepot,0,0,1,True,0.65,0.6919461653492843,0.5543197736115493,0.7142857142857143,0,stage_a,True,False,20,IsuzuNRREV,1
0,0,1,100.0,multidepot,0,0,1,True,0.6,0.7046839299314547,0.4491341997972206,0.7142857142857143,0,stage_a,True,False,25,IsuzuNRREV,1
0,0,0,100.0,multidepot,0,1,1,True,0.86,0.8623627086396264,0.8091035863807347,0.875,0,stage_a,False,False,50,IsuzuNRREV,1
0,0,1,100.0,multidepot,0,0,1,True,0.7066666666666667,0.7516282633681791,0.6386020094027594,0.7857142857142857,0,stage_a,True,False,75,IsuzuNRREV,1
0,0,1,100.0,multidepot,0,0,1,True,0.72,0.7469594666553068,0.5675084465550854,0.7575757575757576,0,stage_a,True,False,100,IsuzuNRREV,1
0,0,0,100.0,multidepot,0,1,1,True,0.86,0.896372103557122,0.8270426388847699,0.9019607843137255,0,stage_a,False,False,150,IsuzuNRREV,1
1,0,0,100.0,multidepot,0,0,1,True,0.0,0.0,0.0,0.0,0,stage_a,False,False,200,IsuzuNRREV,1
0,0,0,100.0,threeshift,0,1,1,True,0.94,0.9311728257477823,0.9153631392320253,0.9375,0,stage_a,False,False,50,IsuzuNRREV,1
1,0,0,100.0,threeshift,0,0,1,True,0.0,0.0,0.0,0.0,0,stage_a,False,False,75,IsuzuNRREV,1
1,0,0,100.0,threeshift,0,0,1,True,0.0,0.0,0.0,0.0,0,stage_a,False,False,100,IsuzuNRREV,1
0,0,0,100.0,threeshift,0,1,1,True,0.8,0.8320674154136662,0.6852146857198895,0.84,0,stage_a,False,False,150,IsuzuNRREV,1
0,0,0,100.0,threeshift,0,1,1,True,0.87,0.8994872691891419,0.8280045690944647,0.9104477611940298,0,stage_a,False,False,200,IsuzuNRREV,1
0,0,1,100.0,vanilla,0,0,1,True,0.7,0.7563040028213719,0.6201117786576292,0.75,0,stage_a,True,False,10,IsuzuNRREV,1
0,0,1,100.0,vanilla,0,0,1,True,0.2,0.21263332871588864,0.11534773171498758,0.2,0,stage_a,True,False,15,IsuzuNRREV,1
0,0,1,100.0,vanilla,0,0,1,True,0.4,0.49732963042085027,0.3438848262338189,0.5,0,stage_a,True,False,20,IsuzuNRREV,1
0,0,1,100.0,vanilla,0,0,1,True,0.6,0.7046839299314547,0.5879245589460484,0.7142857142857143,0,stage_a,True,False,25,IsuzuNRREV,1
0,0,0,100.0,vanilla,0,1,1,True,0.76,0.7930035457926143,0.7531123231734501,0.8235294117647058,0,stage_a,False,False,50,IsuzuNRREV,1
0,0,1,100.0,vanilla,0,0,1,True,0.5333333333333333,0.559547917464835,0.45504264669902367,0.5925925925925926,0,stage_a,True,False,75,IsuzuNRREV,1
0,0,1,100.0,vanilla,0,0,1,True,0.58,0.6131972991970011,0.5215701234895974,0.6470588235294118,0,stage_a,True,False,100,IsuzuNRREV,1
0,0,0,100.0,vanilla,0,1,1,True,0.8533333333333334,0.8607017990855945,0.7590575348177492,0.8627450980392157,0,stage_a,False,False,150,IsuzuNRREV,1
1,0,0,100.0,vanilla,0,0,1,True,0.0,0.0,0.0,0.0,0,stage_a,False,False,200,IsuzuNRREV,1
0,1,0,113.0,multidepot,0,0,1,True,1.0,1.0,1.0,1.0,0,stage_a,False,False,10,MercedesESprinter,1
0,0,1,113.0,multidepot,0,0,1,True,0.6,0.62418617537055,0.43387378048217173,0.6,0,stage_a,True,False,15,MercedesESprinter,1
0,0,0,113.0,multidepot,0,1,1,True,0.85,0.8506729331339458,0.7343566514226715,0.8571428571428571,0,stage_a,False,False,20,MercedesESprinter,1
0,0,0,113.0,multidepot,0,1,1,True,0.8,0.8535795887281036,0.6721325420601498,0.875,0,stage_a,False,False,25,MercedesESprinter,1
0,1,0,113.0,multidepot,0,0,1,True,1.0,1.0,1.0,1.0,0,stage_a,False,False,50,MercedesESprinter,1
0,0,0,113.0,multidepot,0,1,1,True,0.88,0.9142904055607246,0.8499970626376392,0.9230769230769231,0,stage_a,False,False,75,MercedesESprinter,1
0,0,0,113.0,multidepot,0,1,1,True,0.84,0.8736927304095934,0.7610208628186008,0.8787878787878788,0,stage_a,False,False,100,MercedesESprinter,1
0,1,0,113.0,multidepot,0,0,1,True,1.0,1.0,1.0,1.0,0,stage_a,False,False,150,MercedesESprinter,1
0,0,0,113.0,multidepot,0,1,1,True,0.945,0.9537528820816864,0.9066231504691376,0.9594594594594594,0,stage_a,False,False,200,MercedesESprinter,1
0,0,0,113.0,threeshift,0,1,1,True,0.92,0.9348281549502965,0.8950316263875746,0.9375,0,stage_a,False,False,50,MercedesESprinter,1
1,0,0,113.0,threeshift,0,0,1,True,0.0,0.0,0.0,0.0,0,stage_a,False,False,75,MercedesESprinter,1
0,0,0,113.0,threeshift,0,1,1,True,0.82,0.8635892583581148,0.8254766472922592,0.8823529411764706,0,stage_a,False,False,100,MercedesESprinter,1
0,0,0,113.0,threeshift,0,1,1,True,0.8466666666666667,0.8688753293970097,0.7453595751093656,0.8823529411764706,0,stage_a,False,False,150,MercedesESprinter,1
0,0,0,113.0,threeshift,0,1,1,True,0.945,0.9663390582807666,0.9424920572429369,0.9714285714285714,0,stage_a,False,False,200,MercedesESprinter,1
1,0,0,113.0,vanilla,0,0,1,True,0.0,0.0,0.0,0.0,0,stage_a,False,False,10,MercedesESprinter,1
0,0,1,113.0,vanilla,0,0,1,True,0.3333333333333333,0.4326083945144757,0.3296902611616007,0.4,0,stage_a,True,False,15,MercedesESprinter,1
0,0,1,113.0,vanilla,0,0,1,True,0.4,0.5033112582781457,0.3241994802444527,0.5,0,stage_a,True,False,20,MercedesESprinter,1
0,0,0,113.0,vanilla,0,1,1,True,0.76,0.8595773038842346,0.8152098216352952,0.875,0,stage_a,False,False,25,MercedesESprinter,1
0,0,0,113.0,vanilla,0,1,1,True,0.84,0.8620167776528582,0.8299907065697656,0.875,0,stage_a,False,False,50,MercedesESprinter,1
0,0,1,113.0,vanilla,0,0,1,True,0.6,0.6321493076459964,0.5606510483204922,0.6538461538461539,0,stage_a,True,False,75,MercedesESprinter,1
0,0,1,113.0,vanilla,0,0,1,True,0.53,0.5807578436175425,0.5053668938885907,0.6060606060606061,0,stage_a,True,False,100,MercedesESprinter,1
0,1,0,113.0,vanilla,0,0,1,True,1.0,1.0,1.0,1.0,0,stage_a,False,False,150,MercedesESprinter,1
0,0,1,113.0,vanilla,0,0,1,True,0.5,0.5308176877470355,0.5385999119020916,0.5774647887323944,0,stage_a,True,False,200,MercedesESprinter,1
0,1,0,123.9,multidepot,0,0,1,True,1.0,1.0,1.0,1.0,0,stage_a,False,True,10,FusoECanter,1
0,0,1,123.9,multidepot,0,0,1,True,0.5333333333333333,0.609918271228702,0.43315580300291207,0.6,0,stage_a,True,True,15,FusoECanter,1
0,0,0,123.9,multidepot,0,1,1,True,0.85,0.8506729331339458,0.7343566514226715,0.8571428571428571,0,stage_a,False,True,20,FusoECanter,1
0,0,0,123.9,multidepot,0,1,1,True,0.8,0.8535795887281036,0.6721325420601498,0.875,0,stage_a,False,True,25,FusoECanter,1
0,0,0,123.9,multidepot,0,1,1,True,0.86,0.8717893280290582,0.7814224854412429,0.875,0,stage_a,False,True,50,FusoECanter,1
0,1,0,123.9,multidepot,0,0,1,True,1.0,1.0,1.0,1.0,0,stage_a,False,True,75,FusoECanter,1
0,0,0,123.9,multidepot,0,1,1,True,0.88,0.9162921467975889,0.8214607952396231,0.9090909090909091,0,stage_a,False,True,100,FusoECanter,1
0,0,0,123.9,multidepot,0,1,1,True,0.7933333333333333,0.8110040058318116,0.8397774095702115,0.8363636363636363,0,stage_a,False,True,150,FusoECanter,1
0,0,0,123.9,multidepot,0,1,1,True,0.975,0.9840147397891963,0.9713650539235051,0.9864864864864865,0,stage_a,False,True,200,FusoECanter,1
0,0,0,123.9,threeshift,0,1,1,True,0.94,0.9313065573039718,0.8954375569210853,0.9375,0,stage_a,False,True,50,FusoECanter,1
0,0,0,123.9,threeshift,0,1,1,True,0.96,0.9556095469486923,0.921772722022266,0.9615384615384616,0,stage_a,False,True,75,FusoECanter,1
0,0,0,123.9,threeshift,0,1,1,True,0.92,0.9392403352257367,0.923057466800096,0.9393939393939394,0,stage_a,False,True,100,FusoECanter,1
0,0,0,123.9,threeshift,0,1,1,True,0.8866666666666667,0.8908445246114172,0.7903531659525104,0.9038461538461539,0,stage_a,False,True,150,FusoECanter,1
0,0,1,123.9,threeshift,0,0,1,True,0.675,0.6972483082069727,0.7773181267880135,0.7323943661971831,0,stage_a,True,True,200,FusoECanter,1
0,0,1,123.9,vanilla,0,0,1,True,0.7,0.7545406453888203,0.6493442543727527,0.75,0,stage_a,True,True,10,FusoECanter,1
0,0,1,123.9,vanilla,0,0,1,True,0.3333333333333333,0.4326083945144757,0.3296902611616007,0.4,0,stage_a,True,True,15,FusoECanter,1
0,0,0,123.9,vanilla,0,1,1,True,0.85,0.8506729331339458,0.7835055290213226,0.8571428571428571,0,stage_a,False,True,20,FusoECanter,1
0,0,0,123.9,vanilla,0,1,1,True,0.76,0.8657654226961158,0.8149315094453078,0.875,0,stage_a,False,True,25,FusoECanter,1
0,0,0,123.9,vanilla,0,1,1,True,0.9,0.9314191818732163,0.9134247293842157,0.9375,0,stage_a,False,True,50,FusoECanter,1
0,0,0,123.9,vanilla,0,1,1,True,0.8,0.7979858792622189,0.75083347609508,0.8148148148148148,0,stage_a,False,True,75,FusoECanter,1
0,0,0,123.9,vanilla,0,1,1,True,0.8,0.8418709663677607,0.7870334353692988,0.8529411764705882,0,stage_a,False,True,100,FusoECanter,1
0,0,1,123.9,vanilla,0,0,1,True,0.7,0.7605135391453282,0.7861218907091476,0.7924528301886793,0,stage_a,True,True,150,FusoECanter,1
0,0,0,123.9,vanilla,0,1,1,True,0.98,0.9835824275362319,0.9782398603966271,0.9863013698630136,0,stage_a,False,True,200,FusoECanter,1
0,1,0,140.0,multidepot,0,0,1,True,1.0,1.0,1.0,1.0,0,stage_a,False,False,10,IsuzuNRREV,1
0,0,0,140.0,multidepot,0,1,1,True,0.8,0.7926305582490649,0.7278694611925719,0.8333333333333334,0,stage_a,False,False,15,IsuzuNRREV,1
0,0,0,140.0,multidepot,0,1,1,True,0.8,0.8383892330698569,0.7351429717370075,0.8571428571428571,0,stage_a,False,False,20,IsuzuNRREV,1
0,0,0,140.0,multidepot,0,1,1,True,0.8,0.8535795887281036,0.6721325420601498,0.875,0,stage_a,False,False,25,IsuzuNRREV,1
0,0,0,140.0,multidepot,0,1,1,True,0.9,0.9350082158609357,0.8911302970209383,0.9375,0,stage_a,False,False,50,IsuzuNRREV,1
0,0,0,140.0,multidepot,0,1,1,True,0.9466666666666667,0.9623994307919654,0.9361363958444553,0.9642857142857143,0,stage_a,False,False,75,IsuzuNRREV,1
0,0,0,140.0,multidepot,0,1,1,True,0.96,0.9698396131972992,0.9212737098118179,0.9714285714285714,0,stage_a,False,False,100,IsuzuNRREV,1
1,0,0,140.0,multidepot,0,0,1,True,0.0,0.0,0.0,0.0,0,stage_a,False,False,150,IsuzuNRREV,1
0,0,1,140.0,multidepot,0,0,1,True,0.77,0.7700922266139657,0.7307208684890634,0.7972972972972973,0,stage_a,True,False,200,IsuzuNRREV,1
0,0,0,140.0,threeshift,0,1,1,True,0.92,0.928721080550974,0.898367758128573,0.9375,0,stage_a,False,False,50,IsuzuNRREV,1
0,0,0,140.0,threeshift,0,1,1,True,0.9466666666666667,0.9564670573102758,0.9170226138144072,0.9642857142857143,0,stage_a,False,False,75,IsuzuNRREV,1
0,0,0,140.0,threeshift,0,1,1,True,0.96,0.9649004235378931,0.9575133955114449,0.9696969696969697,0,stage_a,False,False,100,IsuzuNRREV,1
0,0,0,140.0,threeshift,0,1,1,True,0.8666666666666667,0.8945506813409805,0.810965501730903,0.9056603773584906,0,stage_a,False,False,150,IsuzuNRREV,1
0,1,0,140.0,threeshift,0,0,1,True,1.0,1.0,1.0,1.0,0,stage_a,False,False,200,IsuzuNRREV,1
0,0,1,140.0,vanilla,0,0,1,True,0.7,0.7545406453888203,0.6493442543727527,0.75,0,stage_a,True,False,10,IsuzuNRREV,1
0,0,0,140.0,vanilla,0,1,1,True,0.8,0.7926305582490649,0.7928933396571236,0.8333333333333334,0,stage_a,False,False,15,IsuzuNRREV,1
0,0,0,140.0,vanilla,0,1,1,True,0.85,0.8506729331339458,0.7846681058734033,0.8571428571428571,0,stage_a,False,False,20,IsuzuNRREV,1
0,1,0,140.0,vanilla,0,0,1,True,1.0,1.0,1.0,1.0,0,stage_a,False,False,25,IsuzuNRREV,1
0,0,0,140.0,vanilla,0,1,1,True,0.84,0.8619302949061662,0.8251722802005311,0.875,0,stage_a,False,False,50,IsuzuNRREV,1
0,0,0,140.0,vanilla,0,1,1,True,0.8,0.836106398117235,0.7947675594379814,0.8461538461538461,0,stage_a,False,False,75,IsuzuNRREV,1
0,0,0,140.0,vanilla,0,1,1,True,0.86,0.8666851264137682,0.818938703832407,0.875,0,stage_a,False,False,100,IsuzuNRREV,1
0,0,0,140.0,vanilla,0,1,1,True,0.98,0.9777060597052953,0.9659144677512043,0.9814814814814815,0,stage_a,False,False,150,IsuzuNRREV,1
0,0,1,140.0,vanilla,0,0,1,True,0.595,0.6456789361001317,0.6588136525303839,0.6805555555555556,0,stage_a,True,False,200,IsuzuNRREV,1
0,1,0,141.0,multidepot,0,0,1,True,1.0,1.0,1.0,1.0,0,stage_a,False,False,10,DAFXBElectric,1
