battery_kwh,category,cv_shell_composition,cv_shell_cost,cv_shell_ev_customer_share,cv_shell_ev_demand_share,cv_shell_ev_distance_share,cv_shell_ev_route_share,ev_shell_composition,ev_shell_cost,ev_shell_ev_customer_share,ev_shell_ev_demand_share,ev_shell_ev_distance_share,ev_shell_ev_route_share,free_mixed_composition,free_mixed_cost,free_mixed_ev_customer_share,free_mixed_ev_demand_share,free_mixed_ev_distance_share,free_mixed_ev_route_share,instance,phase,seed,size,winner_composition,winner_cv_route_count,winner_ev_customer_share,winner_ev_demand_share,winner_ev_distance_share,winner_ev_route_count,winner_ev_route_share,winner_route_count,winner_status,winner_total_cost,winner_total_customer_count,winner_total_demand,winner_total_distance_m,winner_variant
81.0,threeshift,all_cv,8525.481461998606,0.0,0.0,0.0,0.0,,,,,,,balanced_mixed,7428.049146672753,0.7133333333333334,0.7522088975945211,0.571221072791294,0.7692307692307693,e2-threeshift-150c-01,stage_a,1,150,balanced_mixed,12,0.7133333333333334,0.7522088975945211,0.571221072791294,40,0.7692307692307693,52,OK,7428.049146672753,150.0,70963.0,5892362.141147324,free_mixed
81.0,threeshift,all_cv,9537.791917774082,0.0,0.0,0.0,0.0,,,,,,,balanced_mixed,10833.701179035295,0.385,0.4321588262946726,0.31210234885768673,0.4426229508196721,e2-threeshift-200c-01,stage_a,1,200,all_cv,64,0.0,0.0,0.0,0,0.0,64,OK,9537.791917774082,200.0,91471.0,6860645.369830304,cv_shell
81.0,threeshift,all_cv,2462.8943357576422,0.0,0.0,0.0,0.0,,,,,,,balanced_mixed,2424.301018720493,0.62,0.6975437970846521,0.5771887244708666,0.7058823529411765,e2-threeshift-50c-01,stage_a,1,50,balanced_mixed,5,0.62,0.6975437970846521,0.5771887244708666,12,0.7058823529411765,17,OK,2424.301018720493,50.0,22433.0,1960672.5738059285,free_mixed
81.0,threeshift,all_cv,3960.5538278976487,0.0,0.0,0.0,0.0,,,,,,,balanced_mixed,3986.4533071518563,0.49333333333333335,0.5279977133057024,0.360795253624853,0.56,e2-threeshift-75c-01,stage_a,1,75,all_cv,26,0.0,0.0,0.0,0,0.0,26,OK,3960.5538278976487,75.0,34985.0,2922079.9653189136,cv_shell
81.0,vanilla,all_cv,5826.874187184658,0.0,0.0,0.0,0.0,,,,,,,balanced_mixed,5599.128377508635,0.36,0.41532301007476197,0.298487988769793,0.4375,e2-vanilla-100c-01,stage_a,1,100,balanced_mixed,18,0.36,0.41532301007476197,0.298487988769793,14,0.4375,32,OK,5599.128377508635,100.0,46949.0,5036572.32640243,free_mixed
81.0,vanilla,all_cv,725.5299337929874,0.0,0.0,0.0,0.0,,,,,,,balanced_mixed,710.5876196728672,0.2,0.2616822429906542,0.13513895558375247,0.25,e2-vanilla-10c-01,stage_a,1,10,balanced_mixed,3,0.2,0.2616822429906542,0.13513895558375247,1,0.25,4,OK,710.5876196728672,10.0,5671.0,631302.9144218598,free_mixed
81.0,vanilla,all_cv,7592.641707650496,0.0,0.0,0.0,0.0,,,,,,,balanced_mixed,7553.769997231217,0.68,0.7303636389372514,0.570930779087938,0.7547169811320755,e2-vanilla-150c-01,stage_a,1,150,balanced_mixed,13,0.68,0.7303636389372514,0.570930779087938,40,0.7547169811320755,53,OK,7553.769997231217,150.0,70647.0,5966913.617675135,free_mixed
81.0,vanilla,all_cv,1050.287293367975,0.0,0.0,0.0,0.0,,,,,,,balanced_mixed,1029.235559065975,0.2,0.21263332871588864,0.11534773171498758,0.2,e2-vanilla-15c-01,stage_a,1,15,balanced_mixed,4,0.2,0.21263332871588864,0.11534773171498758,1,0.2,5,OK,1029.235559065975,15.0,7219.0,1009898.8528128364,free_mixed
81.0,vanilla,all_cv,11164.214856565932,0.0,0.0,0.0,0.0,,,,,,,balanced_mixed,11555.711998637376,0.535,0.5672554347826086,0.44604328230506246,0.6266666666666667,e2-vanilla-200c-01,stage_a,1,200,all_cv,67,0.0,0.0,0.0,0,0.0,67,OK,11164.214856565932,200.0,97152.0,9012332.491091257,cv_shell
81.0,vanilla,all_cv,1301.9615626919804,0.0,0.0,0.0,0.0,,,,,,,balanced_mixed,1228.1580353142908,0.25,0.33433027130954923,0.21465832831541967,0.3333333333333333,e2-vanilla-20c-01,stage_a,1,20,balanced_mixed,4,0.25,0.33433027130954923,0.21465832831541967,2,0.3333333333333333,6,OK,1228.1580353142908,20.0,9362.0,1224344.1713622499,free_mixed
