pair_id,instance,condition,seed,fixed_total_cost,shared_total_cost,saving_pct,strict_win,cross_site_customer_count,delta_cost_fix,delta_cost_km,delta_cost_fuel,delta_cost_elec,delta_total_cost
L-main-threeshift-150c-01__mixed__seed2,L-main-threeshift-150c-01,mixed,2,12620.766157504931,12024.711803329126,4.722806418700356,True,82,1200.0,-963.7928260816489,-820.1379757494599,-12.123552344695668,-596.0543541758052
L-main-threeshift-150c-01__mixed__seed3,L-main-threeshift-150c-01,mixed,3,12556.957271697429,11278.619078090058,10.180318097351998,True,103,880.0,-1195.169218213432,-921.8737057940662,-41.29526959987436,-1278.338193607371
L-main-threeshift-15c-01__geographic__seed1,L-main-threeshift-15c-01,geographic,1,960.3843259112914,968.6016333086101,-0.8556269792847173,False,2,80.0,-37.11179319677967,-36.83385077588406,2.162951369982501,8.217307397318677
L-main-threeshift-15c-01__geographic__seed2,L-main-threeshift-15c-01,geographic,2,948.9432137786561,948.5218848516135,0.04439980400563628,True,2,0.0,-16.540762147826854,38.42240640302663,-22.30297318224224,-0.42132892704250935
L-main-threeshift-15c-01__geographic__seed3,L-main-threeshift-15c-01,geographic,3,966.675238855624,1004.405401167174,-3.9030856274146375,False,3,80.0,-22.648346954913848,-19.162643893754165,-0.4588468397820691,37.730162311549975
L-main-threeshift-15c-01__mixed__seed1,L-main-threeshift-15c-01,mixed,1,1287.6923987176747,948.5203332446264,26.339525325365493,True,13,-80.0,-150.85379220231738,-98.29304759857263,-10.02522567215832,-339.1720654730483
L-main-threeshift-15c-01__mixed__seed2,L-main-threeshift-15c-01,mixed,2,1287.6923987176747,987.3415663532088,23.324734436855017,True,13,-80.0,-130.37949273274245,-78.02247050426513,-11.948869127458352,-300.3508323644659
L-main-threeshift-15c-01__mixed__seed3,L-main-threeshift-15c-01,mixed,3,1299.6324297535016,948.6776565186062,27.00415634453352,True,13,-80.0,-153.10348847584487,-115.22983400200744,-2.6214507570431778,-350.95477323489536
L-main-threeshift-200c-01__geographic__seed1,L-main-threeshift-200c-01,geographic,1,13033.366039041317,13020.005646358464,0.10250914953843727,True,1,0.0,-11.614266229670648,4.786373151846419,-6.532499605029216,-13.360392682852762
L-main-threeshift-200c-01__geographic__seed2,L-main-threeshift-200c-01,geographic,2,13033.366039041317,13020.005646358464,0.10250914953843727,True,1,0.0,-11.614266229670648,4.786373151846419,-6.532499605029216,-13.360392682852762
L-main-threeshift-200c-01__geographic__seed3,L-main-threeshift-200c-01,geographic,3,13033.366039041317,12796.567291647656,1.8168656253828266,True,2,1840.0,-956.3071041775938,-1324.642600684162,204.1509574680972,-236.79874739366096
L-main-threeshift-200c-01__mixed__seed1,L-main-threeshift-200c-01,mixed,1,17507.576843483952,15922.89511418694,9.051405248504196,True,123,1840.0,-1880.0656960233036,-1516.1728053903275,-28.443227883379222,-1584.6817292970118
L-main-threeshift-200c-01__mixed__seed2,L-main-threeshift-200c-01,mixed,2,17507.576843483952,14890.664799205073,14.947311485043418,True,146,1760.0,-2573.299833184644,-1532.749671429844,-270.8625396643905,-2616.912044278879
L-main-threeshift-200c-01__mixed__seed3,L-main-threeshift-200c-01,mixed,3,17507.576843483952,16922.13160243679,3.3439535709652137,True,88,1840.0,-1289.2116615626537,-1154.4674749825454,18.23389549803983,-585.4452410471604
L-main-threeshift-20c-01__geographic__seed1,L-main-threeshift-20c-01,geographic,1,1293.5636210804867,1175.4686462356642,9.129429192371704,True,7,-80.0,-28.80011246351421,-0.07602709686622688,-9.218835284441951,-118.09497484482245
L-main-threeshift-20c-01__geographic__seed2,L-main-threeshift-20c-01,geographic,2,1296.6595865227787,1219.1100386486135,5.980717582332308,True,4,-80.0,-17.815148165106223,41.97616747587219,-21.710567184931236,-77.54954787416523
L-main-threeshift-20c-01__geographic__seed3,L-main-threeshift-20c-01,geographic,3,1312.6735312064106,1167.7639064811483,11.039273763072176,True,5,-80.0,-39.653104348785575,-19.29252194204338,-5.96399843443362,-144.90962472526235
L-main-threeshift-20c-01__mixed__seed1,L-main-threeshift-20c-01,mixed,1,1529.991310607535,1156.9670298291576,24.380810413247087,True,22,-80.0,-175.82686538985854,-99.6765033319945,-17.520912056524793,-373.0242807783775
L-main-threeshift-20c-01__mixed__seed2,L-main-threeshift-20c-01,mixed,2,1851.9278725529193,1181.8201259799582,36.18433290542813,True,18,-240.0,-255.74529387579412,-157.07310489452217,-17.289347802644897,-670.1077465729611
L-main-threeshift-20c-01__mixed__seed3,L-main-threeshift-20c-01,mixed,3,1661.1419057543517,1299.7211326095087,21.75736894559384,True,22,-160.0,-128.31278273493876,-54.7972481921621,-18.31074221774223,-361.420773144843
L-main-threeshift-25c-01__geographic__seed1,L-main-threeshift-25c-01,geographic,1,1313.7194438165589,1221.4090128703413,7.026647232840025,True,4,-80.0,3.3208468606295583,-29.986793529171337,14.355515722323993,-92.3104309462176
L-main-threeshift-25c-01__geographic__seed2,L-main-threeshift-25c-01,geographic,2,1290.4222971827946,1177.5752605164869,8.744969527624523,True,6,-80.0,-29.7737349814534,13.593573732722717,-16.666875417577103,-112.84703666630776
L-main-threeshift-25c-01__geographic__seed3,L-main-threeshift-25c-01,geographic,3,1328.6569216743083,1289.146897866698,2.9736814043629565,True,6,0.0,-24.022820923535164,-13.018811551351916,-2.468391332723016,-39.510023807610196
L-main-threeshift-25c-01__mixed__seed1,L-main-threeshift-25c-01,mixed,1,1750.1521371733222,1210.6216586623718,30.827633041225106,True,23,-80.0,-266.2825622752781,-186.84418122408186,-6.403735011590669,-539.5304785109504
L-main-threeshift-25c-01__mixed__seed2,L-main-threeshift-25c-01,mixed,2,1875.223665977626,1374.6877573846348,26.692064401397296,True,25,-160.0,-194.4346274159975,-143.47573940871484,-2.6255417682789357,-500.5359085929913
L-main-threeshift-25c-01__mixed__seed3,L-main-threeshift-25c-01,mixed,3,1682.2030991883623,1203.7141917401723,28.44418178037205,True,26,-160.0,-205.4117823757701,-75.09424028624355,-37.982884786176456,-478.48890744819005
L-main-threeshift-50c-01__geographic__seed1,L-main-threeshift-50c-01,geographic,1,3066.4617281717306,2646.795585681918,13.68568009945533,True,20,-160.0,-213.7997435112983,43.50256907359909,-89.36896805211364,-419.6661424898125
L-main-threeshift-50c-01__geographic__seed2,L-main-threeshift-50c-01,geographic,2,2911.6312604517466,2829.8636344383,2.80830979953005,True,11,0.0,-47.718200906842185,-31.942929099554703,-2.106496007049344,-81.76762601344672
L-main-threeshift-50c-01__geographic__seed3,L-main-threeshift-50c-01,geographic,3,3062.310340848378,2830.2211351214623,7.57889240130437,True,12,-160.0,-86.22694258338481,70.8418127955897,-56.70407593912043,-232.08920572691568
L-main-threeshift-50c-01__mixed__seed1,L-main-threeshift-50c-01,mixed,1,4223.5655139928,3789.601874695077,10.274817280801932,True,40,-80.0,-250.3786804553083,-33.80887687526092,-69.77608196715357,-433.96363929772315
L-main-threeshift-50c-01__mixed__seed2,L-main-threeshift-50c-01,mixed,2,4635.6962410624465,3166.2565812017265,31.698359500879242,True,48,-160.0,-736.1644535744963,-553.3796170054886,-19.895589280734555,-1469.43965986072
L-main-threeshift-50c-01__mixed__seed3,L-main-threeshift-50c-01,mixed,3,4562.365323237078,2574.637268879581,43.56792833387505,True,52,-320.0,-971.9872828711331,-632.6327712393477,-63.10800024701609,-1987.728054357497
L-main-threeshift-75c-01__geographic__seed1,L-main-threeshift-75c-01,geographic,1,5265.486632625766,4315.947503937985,18.033264443295526,True,4,-400.0,-359.17687505787944,-118.18986229397979,-72.17239133592136,-949.5391286877812
L-main-threeshift-75c-01__geographic__seed2,L-main-threeshift-75c-01,geographic,2,4338.0186024868235,4073.1873696157336,6.104889285612378,True,2,-160.0,-64.87625206349594,-27.403973791339297,-12.551007016254573,-264.8312328710899
L-main-threeshift-75c-01__geographic__seed3,L-main-threeshift-75c-01,geographic,3,4619.987025131212,4670.339810252558,-1.0898901847005873,False,2,0.0,59.16993194639258,-56.05734694349587,47.240200118450616,50.35278512134573
L-main-threeshift-75c-01__mixed__seed1,L-main-threeshift-75c-01,mixed,1,6906.179744658802,6705.651927756096,2.903599737000663,True,29,480.0,-359.2768149282001,-330.3111427238432,9.060140749337108,-200.52781690270604
L-main-threeshift-75c-01__mixed__seed2,L-main-threeshift-75c-01,mixed,2,6906.179744658802,6294.989776151229,8.849899526294012,True,53,720.0,-766.4598175624951,-503.64511465420014,-61.085036290877326,-611.1899685075723
L-main-threeshift-75c-01__mixed__seed3,L-main-threeshift-75c-01,mixed,3,6906.179744658802,5066.368945690986,26.64006537609616,True,73,480.0,-1305.4513941434427,-958.2438640545938,-56.11554076977984,-1839.8107989678156
