algorithm,seed,step,eval,best_cost,current_cost,operator,time_seconds
LNS,1,11,31,5303.620082891119,5346.287263863426,lns_vehicle_type_mutation,2.3667786669975612
LNS,1,12,34,5234.453126805899,5303.620082891119,lns_vehicle_type_mutation,2.769608792004874
LNS,1,13,36,5205.390723131386,5234.453126805899,lns_vehicle_type_mutation,2.9335916669951985
LNS,1,14,37,5174.345121253789,5205.390723131386,lns_vehicle_type_mutation,2.943417499991483
PSO,1,0,0,5803.553350198798,5803.553350198798,shared_warm_start,0.0
PSO,1,1,2,5754.2044385732115,5803.553350198798,pso_initial_particle,0.11130454200610984
PSO,1,2,5,5711.537257600905,5754.2044385732115,pso_initial_particle,0.41712366699357517
PSO,1,3,8,5673.431219010961,5711.537257600905,pso_initial_particle,0.49951620800129604
PSO,1,4,11,5631.954433381246,5673.431219010961,pso_initial_particle,0.7966175420006039
PSO,1,5,14,5608.633357005522,5631.954433381246,pso_initial_particle,0.9781832080043387
PSO,1,6,17,5552.994172916403,5608.633357005522,pso_initial_particle,1.152847457997268
PSO,1,7,20,5482.497645158651,5552.994172916403,pso_initial_particle,1.392623708001338
PSO,1,8,23,5413.330689073431,5482.497645158651,pso_initial_particle,1.4778668329963693
PSO,1,9,26,5384.268285398918,5413.330689073431,pso_initial_particle,1.7829432919970714
PSO,1,10,29,5336.51435633441,5384.268285398918,pso_initial_particle,1.938267999998061
PSO,1,11,32,5295.01844894352,5336.51435633441,pso_initial_particle,2.113496332996874
PSO,1,12,35,5252.103320667997,5295.01844894352,pso_initial_particle,2.3534211670048535
PSO,1,13,38,5205.390723131386,5252.103320667997,pso_initial_particle,2.4331436249922263
PSO,1,14,41,5174.345121253789,5205.390723131386,pso_initial_particle,2.7140334169962443
VNS,1,0,0,5803.553350198798,5803.553350198798,shared_warm_start,0.0
VNS,1,1,1,5780.232273823075,5803.553350198798,vns_vehicle_type_construction,0.0034932499984279275
VNS,1,2,2,5682.002914063342,5780.232273823075,vns_local_vehicle_type,0.01864933299657423
VNS,1,3,3,5639.08778578782,5780.232273823075,vns_local_vehicle_type,0.026828374990145676
VNS,1,4,5,5600.981747197877,5780.232273823075,vns_local_vehicle_type,0.1572646669956157
VNS,1,5,8,5530.485219440126,5780.232273823075,vns_local_vehicle_type,0.25310137499764096
VNS,1,6,12,5487.818038467818,5780.232273823075,vns_local_vehicle_type,0.4240646249963902
VNS,1,7,16,5440.064109403309,5780.232273823075,vns_local_vehicle_type,0.6133156249998137
VNS,1,8,18,5398.587323773595,5780.232273823075,vns_local_vehicle_type,0.6819979579886422
VNS,1,9,22,5342.948139684475,5780.232273823075,vns_local_vehicle_type,0.901812832991709
VNS,1,10,23,5293.599228058888,5780.232273823075,vns_local_vehicle_type,0.9120265829988057
VNS,1,11,26,5246.886630522276,5780.232273823075,vns_local_vehicle_type,1.0766027919889893
VNS,1,12,28,5205.390723131386,5780.232273823075,vns_local_vehicle_type,1.1543803329986986
VNS,1,13,30,5174.345121253789,5780.232273823075,vns_local_vehicle_type,1.2663129169959575
GA,2,0,0,5803.553350198798,5803.553350198798,shared_warm_start,0.0
GA,2,1,2,5747.91416610968,5803.553350198798,ga_vehicle_type_initialization,0.12009837501682341
GA,2,2,5,5677.417638351927,5747.91416610968,ga_vehicle_type_initialization,0.42990116600412875
GA,2,3,8,5639.311599761984,5677.417638351927,ga_vehicle_type_initialization,0.5407845829904545
GA,2,4,11,5596.396471486461,5639.311599761984,ga_vehicle_type_initialization,0.8384835830074735
GA,2,5,14,5527.229515401242,5596.396471486461,ga_vehicle_type_initialization,1.0134336659975816
GA,2,6,17,5498.16711172673,5527.229515401242,ga_vehicle_type_initialization,1.2052764580002986
GA,2,7,20,5451.454514190118,5498.16711172673,ga_vehicle_type_initialization,1.446131458011223
GA,2,8,23,5409.958606799228,5451.454514190118,ga_vehicle_type_initialization,1.5359372080129106
GA,2,9,26,5367.29142582692,5409.958606799228,ga_vehicle_type_initialization,1.8396108330052812
GA,2,10,29,5336.2458239493235,5367.29142582692,ga_vehicle_type_initialization,2.019174082990503
GA,2,11,32,5286.896912323737,5336.2458239493235,ga_vehicle_type_initialization,2.2064494999940507
GA,2,12,35,5239.1429832592285,5286.896912323737,ga_vehicle_type_initialization,2.4518425409914926
GA,2,13,38,5215.821906883504,5239.1429832592285,ga_vehicle_type_initialization,2.552278999995906
GA,2,14,41,5174.345121253789,5215.821906883504,ga_vehicle_type_initialization,2.8486005000013392
LNS,2,0,0,5803.553350198798,5803.553350198798,shared_warm_start,0.0
LNS,2,1,5,5747.91416610968,5803.553350198798,lns_vehicle_type_mutation,0.31625733300461434
LNS,2,2,12,5698.565254484092,5747.91416610968,lns_vehicle_type_mutation,0.685541667000507
LNS,2,3,16,5628.068726726339,5698.565254484092,lns_vehicle_type_mutation,0.8982411250035511
LNS,2,4,17,5586.5919410966235,5628.068726726339,lns_vehicle_type_mutation,0.9065451670030598
LNS,2,5,19,5543.676812821102,5586.5919410966235,lns_vehicle_type_mutation,1.0171863750001648
LNS,2,6,21,5474.509856735882,5543.676812821102,lns_vehicle_type_mutation,1.111566292005591
LNS,2,7,24,5427.797259199271,5474.509856735882,lns_vehicle_type_mutation,1.3420883750077337
LNS,2,8,31,5386.301351808381,5427.797259199271,lns_vehicle_type_mutation,2.12606950000918
LNS,2,9,35,5357.238948133868,5386.301351808381,lns_vehicle_type_mutation,2.5461818750045495
LNS,2,10,36,5319.132909543925,5357.238948133868,lns_vehicle_type_mutation,2.556333333006478
LNS,2,11,37,5295.811833168202,5319.132909543925,lns_vehicle_type_mutation,2.567000833005295
LNS,2,12,40,5248.057904103693,5295.811833168202,lns_vehicle_type_mutation,2.8923436670011142
LNS,2,13,41,5217.012302226096,5248.057904103693,lns_vehicle_type_mutation,2.9046550830098568
LNS,2,14,42,5174.345121253789,5217.012302226096,lns_vehicle_type_mutation,2.914728917006869
PSO,2,0,0,5803.553350198798,5803.553350198798,shared_warm_start,0.0
PSO,2,1,2,5760.638221923276,5803.553350198798,pso_initial_particle,0.12354141600371804
PSO,2,2,5,5713.925624386666,5760.638221923276,pso_initial_particle,0.4447622909938218
PSO,2,3,8,5682.880022509069,5713.925624386666,pso_initial_particle,0.5381320000014966
PSO,2,4,11,5627.24083841995,5682.880022509069,pso_initial_particle,0.841655416006688
PSO,2,5,14,5598.178434745438,5627.24083841995,pso_initial_particle,1.0198186250054277
PSO,2,6,17,5550.424505680929,5598.178434745438,pso_initial_particle,1.194362624999485
PSO,2,7,20,5512.318467090986,5550.424505680929,pso_initial_particle,1.4289854160015238
PSO,2,8,23,5488.997390715263,5512.318467090986,pso_initial_particle,1.5081386249948991
PSO,2,9,26,5418.5008629575095,5488.997390715263,pso_initial_particle,1.804303583005094
PSO,2,10,29,5377.00495556662,5418.5008629575095,pso_initial_particle,1.9822246660041856
PSO,2,11,32,5307.837999481399,5377.00495556662,pso_initial_particle,2.166413208004087
PSO,2,12,35,5258.489087855812,5307.837999481399,pso_initial_particle,2.4023627910064533
PSO,2,13,38,5217.012302226096,5258.489087855812,pso_initial_particle,2.493660624997574
PSO,2,14,41,5174.345121253789,5217.012302226096,pso_initial_particle,2.7916900830023224
VNS,2,0,0,5803.553350198798,5803.553350198798,shared_warm_start,0.0
VNS,2,1,2,5731.011840930311,5803.553350198798,vns_local_vehicle_type,0.14424624999810476
VNS,2,2,3,5688.344659958005,5803.553350198798,vns_local_vehicle_type,0.15335587499430403
VNS,2,3,7,5659.282256283493,5803.553350198798,vns_local_vehicle_type,0.4045764170004986
VNS,2,4,11,5609.933344657905,5803.553350198798,vns_local_vehicle_type,0.5776745420007501
VNS,2,5,15,5554.294160568786,5803.553350198798,vns_local_vehicle_type,0.7733179999922868
VNS,2,6,18,5516.188121978843,5803.553350198798,vns_local_vehicle_type,0.9179124579968629
VNS,2,7,19,5492.86704560312,5803.553350198798,vns_local_vehicle_type,0.9278194999933476
VNS,2,8,24,5422.3705178453665,5803.553350198798,vns_local_vehicle_type,1.2161021669890033
VNS,2,9,29,5375.657920308756,5803.553350198798,vns_local_vehicle_type,1.552855041998555
VNS,2,10,33,5332.742792033233,5803.553350198798,vns_local_vehicle_type,1.7974639999883948
VNS,2,11,36,5284.988862968726,5803.553350198798,vns_local_vehicle_type,1.9795749579934636
VNS,2,12,38,5215.821906883504,5803.553350198798,vns_local_vehicle_type,2.082066541988752
VNS,2,13,42,5174.345121253789,5803.553350198798,vns_local_vehicle_type,2.448950166988652
