cap_cv,cap_ev,common_start_canonical_sha256,common_start_sha256,condition,customer_count,depot_id,distance_matrix_max_abs_error,global_cap_cv,global_cap_ev,instance,ownership_sha256,status,subbundle_carbon_sha256,subbundle_instance_sha256,subbundle_matrix_sha256
4,5,b7c06e430c31c95ebe2353616837c25ab592c0164977b0b5f87b3de637080534,b7c06e430c31c95ebe2353616837c25ab592c0164977b0b5f87b3de637080534,geographic,84,D0,0.0,8,9,L-main-threeshift-75c-01,78e60955353d9bbbf746fd3844a4b8efe8ff566b1748fdd74fdae0e6f96d042a,PASS,f552d7b082593582369ab0dfd938983eeadd38a76a0b0a3e79d3410c00421433,0020cf684ce34438e161e25e43324c08dbeb8aeab04f1e392bf414c55dffa627,a30291262fa9491314e72b40e0b1d3b90c99ca30597ac7ba3bb9c596c0a4ad78
4,4,b7c06e430c31c95ebe2353616837c25ab592c0164977b0b5f87b3de637080534,b7c06e430c31c95ebe2353616837c25ab592c0164977b0b5f87b3de637080534,geographic,79,D1,0.0,8,9,L-main-threeshift-75c-01,78e60955353d9bbbf746fd3844a4b8efe8ff566b1748fdd74fdae0e6f96d042a,PASS,f552d7b082593582369ab0dfd938983eeadd38a76a0b0a3e79d3410c00421433,f0149b5999109d1ca232cdd96cc9b77be21130683cbf4070b795c94ab9368e90,748e015250ec7868a16584019b816304aa77dcbb498efbca1f1c32e20a87016b
4,5,2880469d2f7f62de3c537fb37487717b05ef05e5ce45d888217dadb426fa04ba,2880469d2f7f62de3c537fb37487717b05ef05e5ce45d888217dadb426fa04ba,mixed,84,D0,0.0,8,9,L-main-threeshift-75c-01,85fc0ecea0cf52193c70864683578c54a2f2b66bc39f0bf3dc9fed924c899509,PASS,f552d7b082593582369ab0dfd938983eeadd38a76a0b0a3e79d3410c00421433,fa171c74e0b24c0118fdaae92aafec897fcaf64e58ef36d9d2391ba4b825691e,e0f4225d6989375a6ffa78ee62573fe6a6da66ab9c46e4b2ad738a24112f0c11
4,4,2880469d2f7f62de3c537fb37487717b05ef05e5ce45d888217dadb426fa04ba,2880469d2f7f62de3c537fb37487717b05ef05e5ce45d888217dadb426fa04ba,mixed,79,D1,0.0,8,9,L-main-threeshift-75c-01,85fc0ecea0cf52193c70864683578c54a2f2b66bc39f0bf3dc9fed924c899509,PASS,f552d7b082593582369ab0dfd938983eeadd38a76a0b0a3e79d3410c00421433,693d0818a1064acebfaa5d8b9e34a54fafb730a9451cf26ab6f819e96a568dde,941e26dfe552cef553d23bda8bd6109e83ff08c924e94b849b9bc2a53df559e5
5,5,fdb18c03aa75277434c69c57ab5a4cf5cc863f3bbb3cb42a157880970cff029c,fdb18c03aa75277434c69c57ab5a4cf5cc863f3bbb3cb42a157880970cff029c,geographic,119,D0,0.0,10,10,L-main-threeshift-100c-01,224661a81d2e79b34a649b124596af0764894bea836f05327e1ce99dd66d2202,PASS,f552d7b082593582369ab0dfd938983eeadd38a76a0b0a3e79d3410c00421433,72912a976e3b32184e3ee640fe9687e77552d1c19991ac64fbfb251f665d16d4,cbdb520d3da5a8b652f6278013158b92e7e8d0f9d962e6411937ac2b00d43a8d
5,5,fdb18c03aa75277434c69c57ab5a4cf5cc863f3bbb3cb42a157880970cff029c,fdb18c03aa75277434c69c57ab5a4cf5cc863f3bbb3cb42a157880970cff029c,geographic,102,D1,0.0,10,10,L-main-threeshift-100c-01,224661a81d2e79b34a649b124596af0764894bea836f05327e1ce99dd66d2202,PASS,f552d7b082593582369ab0dfd938983eeadd38a76a0b0a3e79d3410c00421433,1db86eac6e6107775a6fb7c1ae335d0a2f6698150bf0633529b0876003f43003,6eb42731dccd9216baa05b337d4433e29b6a74de23fa4aa1c5a87482b51b9425
5,5,c6df4dc07b4521ccd61cbd45e6eaef5e6a75969cfecc438ce960ab753fc1dcf3,c6df4dc07b4521ccd61cbd45e6eaef5e6a75969cfecc438ce960ab753fc1dcf3,mixed,119,D0,0.0,10,10,L-main-threeshift-100c-01,c2028d75bb370121c2616e70ead87c1b7765b278bc6b5b723b07196682177edc,PASS,f552d7b082593582369ab0dfd938983eeadd38a76a0b0a3e79d3410c00421433,214b5b93fb5f6d9b13e973e4375769e9491175f766059705c4472b8bf97374ae,3c63a53a3d5af4decc815b390cd45d4e162d86e798c3853a0f805d25d70766ca
5,5,c6df4dc07b4521ccd61cbd45e6eaef5e6a75969cfecc438ce960ab753fc1dcf3,c6df4dc07b4521ccd61cbd45e6eaef5e6a75969cfecc438ce960ab753fc1dcf3,mixed,102,D1,0.0,10,10,L-main-threeshift-100c-01,c2028d75bb370121c2616e70ead87c1b7765b278bc6b5b723b07196682177edc,PASS,f552d7b082593582369ab0dfd938983eeadd38a76a0b0a3e79d3410c00421433,33e2c94de7d5ab379cdc2706cfff73efe2770aba8694858a2391c80fe25ce33b,4033700573c563a6b1894be59d7a435cc19bbbd21ecea936e57e17e4df4c33c0
8,9,a38a4e98db2e47c24ca4bc97f9cf7bff2c52aba83a4f1b5caebb5fcfb8665b0c,a38a4e98db2e47c24ca4bc97f9cf7bff2c52aba83a4f1b5caebb5fcfb8665b0c,geographic,168,D0,0.0,14,16,L-main-threeshift-150c-01,e4ce0243614129af51b1d94139fe673f33aab3aa2a8f02d30e0b35f16dd0b2a5,PASS,f552d7b082593582369ab0dfd938983eeadd38a76a0b0a3e79d3410c00421433,02f49d9adfa28a50bc18534d70fc97f23fab64b44ca3d0d28197a85be1e19fb2,65bab3f7520d01d72213345d61dc24e3aeff9d5d3717681d9484544adad64777
6,7,a38a4e98db2e47c24ca4bc97f9cf7bff2c52aba83a4f1b5caebb5fcfb8665b0c,a38a4e98db2e47c24ca4bc97f9cf7bff2c52aba83a4f1b5caebb5fcfb8665b0c,geographic,154,D1,0.0,14,16,L-main-threeshift-150c-01,e4ce0243614129af51b1d94139fe673f33aab3aa2a8f02d30e0b35f16dd0b2a5,PASS,f552d7b082593582369ab0dfd938983eeadd38a76a0b0a3e79d3410c00421433,34c92b715ac024e97877688f1e26514fa421f1be73f4162c5f4aae898a756e0b,3bb1881dfc72dddbd14246a27c3409b84f2569df0363f7e8606e8eb2565748d5
8,9,ce571afe0c6551f1519dd53dcf3edf3fc7432046954d20daa7c4d178ee049444,ce571afe0c6551f1519dd53dcf3edf3fc7432046954d20daa7c4d178ee049444,mixed,168,D0,0.0,14,16,L-main-threeshift-150c-01,55dccbeaddf6f18ff4d50d774e7839393b7c22361155e0769905e441abfb7543,PASS,f552d7b082593582369ab0dfd938983eeadd38a76a0b0a3e79d3410c00421433,374f16a5fdd5ddd137db57aff7d2c38627c296f64e70fe6f54eb912bf61052b8,9414153ac1b849e70f61c080f62a9d9ad52601fe2cae304c7f6fadcd323dce84
6,7,ce571afe0c6551f1519dd53dcf3edf3fc7432046954d20daa7c4d178ee049444,ce571afe0c6551f1519dd53dcf3edf3fc7432046954d20daa7c4d178ee049444,mixed,154,D1,0.0,14,16,L-main-threeshift-150c-01,55dccbeaddf6f18ff4d50d774e7839393b7c22361155e0769905e441abfb7543,PASS,f552d7b082593582369ab0dfd938983eeadd38a76a0b0a3e79d3410c00421433,45c4571b39a08f54385452b22887f945468374cb80f87805e36d67826807867f,a788f0502ae19d4104d529c2ad105b80b85298b6ba75b26a335082d4d7435706
10,12,2c6c4fc7b8cede70bf52f37533b6f08a23440d7d505c74970c7ead695ada38c9,2c6c4fc7b8cede70bf52f37533b6f08a23440d7d505c74970c7ead695ada38c9,geographic,230,D0,0.0,18,22,L-main-threeshift-200c-01,724f8b09ee458f161d7c5860ada72c7096c46ecdb9c1560d418494709c201c74,PASS,f552d7b082593582369ab0dfd938983eeadd38a76a0b0a3e79d3410c00421433,dc94d015123751ac8f27dd0078bbeaccacc37a10c70dce7b95d5c05d25e1a428,afd4eb380d183f75fc468b15238e6351197b8ff1192789a03e543cbf1a9011bd
8,10,2c6c4fc7b8cede70bf52f37533b6f08a23440d7d505c74970c7ead695ada38c9,2c6c4fc7b8cede70bf52f37533b6f08a23440d7d505c74970c7ead695ada38c9,geographic,219,D1,0.0,18,22,L-main-threeshift-200c-01,724f8b09ee458f161d7c5860ada72c7096c46ecdb9c1560d418494709c201c74,PASS,f552d7b082593582369ab0dfd938983eeadd38a76a0b0a3e79d3410c00421433,68b6715aa38a4eb0d7b3ce23a89e7ceeed5b448d3291b34a576d09e9b0911812,b154f3c105495a79529b34ede039052b54ee251b71227b8eb5a931809da6e8e6
10,12,8e05fcc8b85aaf6761750d87c91f6d62ab68e8e2c895a39a5132e5ddf0d1a6c1,8e05fcc8b85aaf6761750d87c91f6d62ab68e8e2c895a39a5132e5ddf0d1a6c1,mixed,230,D0,0.0,18,22,L-main-threeshift-200c-01,c41bf36015fb401da6ea90e8ea808b2b2fb3d155e6024f8f699928bc562e2ba7,PASS,f552d7b082593582369ab0dfd938983eeadd38a76a0b0a3e79d3410c00421433,ccb4a0698d47a8c85b164f24ae03bfdc1c14ab2b3e74467cd710c31a3f9dada7,f86c3f87525afbc8d3a887c489ae2b47632cf2904c3d349039295a484cf9902d
8,10,8e05fcc8b85aaf6761750d87c91f6d62ab68e8e2c895a39a5132e5ddf0d1a6c1,8e05fcc8b85aaf6761750d87c91f6d62ab68e8e2c895a39a5132e5ddf0d1a6c1,mixed,219,D1,0.0,18,22,L-main-threeshift-200c-01,c41bf36015fb401da6ea90e8ea808b2b2fb3d155e6024f8f699928bc562e2ba7,PASS,f552d7b082593582369ab0dfd938983eeadd38a76a0b0a3e79d3410c00421433,9792fcde54d1b231021639fa0aa241e94e2de8645941ab72d4d86e5849524ed2,0213b3c0e41986675f87a8cd255619d3771e55aa3aa806902088b2a213808476
