condition,independent_total_cost,instance,no_loss_adopted_source,no_loss_both_depots_no_worse,no_loss_cross_site_customer_count,no_loss_minimum_profit_ratio,no_loss_saving_vs_independent_pct,no_loss_search_total_cost,no_loss_total_cost,participation_cost_pct_points,seed,spec_id,unrestricted_adopted_source,unrestricted_both_depots_no_worse,unrestricted_cross_site_customer_count,unrestricted_minimum_profit_ratio,unrestricted_saving_vs_independent_pct,unrestricted_search_total_cost,unrestricted_total_cost
mixed,1311.8524009929222,L-main-threeshift-15c-01,unrestricted,True,15,1.071478406387865,27.027926780972006,979.5731732917626,957.2858945781319,0.0,3,L-main-threeshift-15c-01__mixed__seed3,unrestricted,True,15,1.071478406387865,27.027926780972006,957.2858945781319,957.2858945781319
geographic,1317.482257671821,L-main-threeshift-20c-01,independent,True,0,1.0,0.0,1317.482257671821,1317.482257671821,6.496280015017108,1,L-main-threeshift-20c-01__geographic__seed1,unrestricted,False,7,0.681121512059023,6.496280015017108,1231.8949210652902,1231.8949210652902
geographic,1299.8966877079822,L-main-threeshift-20c-01,no_loss,True,1,1.0035555648491103,0.9727916008351319,1287.2514019104249,1287.2514019104249,8.105853159711176,2,L-main-threeshift-20c-01__geographic__seed2,unrestricted,False,4,0.9618686091733766,9.078644760546307,1181.8836851768665,1181.8836851768665
geographic,1302.7324256667443,L-main-threeshift-20c-01,unrestricted,True,4,1.0255700233076352,8.916055170668837,1293.8462960450836,1186.580083868105,0.0,3,L-main-threeshift-20c-01__geographic__seed3,unrestricted,True,4,1.0255700233076352,8.916055170668837,1186.580083868105,1186.580083868105
mixed,1537.9093841625777,L-main-threeshift-20c-01,no_loss,True,14,1.0222939437413334,6.085301788138237,1444.3229569081866,1444.3229569081866,10.576174310268234,1,L-main-threeshift-20c-01__mixed__seed1,unrestricted,False,21,0.8384414322920396,16.661476098406467,1281.6709797051797,1281.6709797051797
mixed,1528.5563404247873,L-main-threeshift-20c-01,unrestricted,True,19,1.0711077614788358,16.184661012067814,1335.6442532513167,1281.1646783485662,0.0,2,L-main-threeshift-20c-01__mixed__seed2,unrestricted,True,19,1.0711077614788358,16.184661012067814,1281.1646783485662,1281.1646783485662
mixed,1557.0823082314662,L-main-threeshift-20c-01,unrestricted,True,24,1.1588213760605002,22.488427513098134,1295.6466347669927,1206.9189820255576,0.0,3,L-main-threeshift-20c-01__mixed__seed3,unrestricted,True,24,1.1588213760605002,22.488427513098134,1206.9189820255576,1206.9189820255576
geographic,1301.7096531428106,L-main-threeshift-25c-01,no_loss,True,4,1.002545076847669,1.9675998479185712,1276.0972159872313,1276.0972159872313,4.916695960733099,1,L-main-threeshift-25c-01__geographic__seed1,unrestricted,False,3,0.9236524102668717,6.884295808651671,1212.0961100506859,1212.0961100506859
geographic,1302.1862171578096,L-main-threeshift-25c-01,no_loss,True,0,1.0004106604538028,0.12421097501832752,1300.5687589609236,1300.5687589609236,3.41322107566422,2,L-main-threeshift-25c-01__geographic__seed2,unrestricted,False,9,0.932791908813604,3.537432050682547,1256.1222645524986,1256.1222645524986
geographic,1284.6754022925534,L-main-threeshift-25c-01,independent,True,0,1.0,0.0,1284.6754022925534,1284.6754022925534,2.452513405089535,3,L-main-threeshift-25c-01__geographic__seed3,unrestricted,False,2,0.9639567737697193,2.452513405089535,1253.1685658394406,1253.1685658394406
mixed,1534.3778238859431,L-main-threeshift-25c-01,unrestricted,True,20,1.0144401526590754,15.07237501257078,1425.1447528418066,1303.110644160131,0.0,1,L-main-threeshift-25c-01__mixed__seed1,unrestricted,True,20,1.0144401526590754,15.07237501257078,1303.110644160131,1303.110644160131
mixed,1617.0680155666512,L-main-threeshift-25c-01,unrestricted,True,21,1.0547599883421723,22.54911334471603,1311.8238068104024,1252.4335158753768,0.0,2,L-main-threeshift-25c-01__mixed__seed2,unrestricted,True,21,1.0547599883421723,22.54911334471603,1252.4335158753768,1252.4335158753768
mixed,1513.0010547050645,L-main-threeshift-25c-01,no_loss,True,23,1.0433914989806374,9.207626360403555,1373.6895707588571,1373.6895707588571,3.8939185017239164,3,L-main-threeshift-25c-01__mixed__seed3,unrestricted,False,31,0.9002303404680954,13.10154486212747,1314.7745427584186,1314.7745427584186
geographic,2606.176036937966,L-main-threeshift-50c-01,no_loss,True,0,1.0,0.29413981825546565,2598.510235479499,2598.510235479499,0.0,1,L-main-threeshift-50c-01__geographic__seed1,no_loss,True,0,1.0,0.29413981825546565,2601.726593453574,2598.510235479499
geographic,2623.136161901782,L-main-threeshift-50c-01,unrestricted,True,0,1.0,0.15897504364519893,2618.9660300435257,2618.9660300435257,0.0,2,L-main-threeshift-50c-01__geographic__seed2,unrestricted,True,0,1.0,0.15897504364519893,2618.9660300435257,2618.9660300435257
geographic,2650.1904708551524,L-main-threeshift-50c-01,no_loss,True,1,1.0005843686391394,1.485245073234429,2610.828647455448,2610.828647455448,0.0,3,L-main-threeshift-50c-01__geographic__seed3,no_loss,True,1,1.0005843686391394,1.485245073234429,2650.1904708551524,2610.828647455448
mixed,3292.6836115086444,L-main-threeshift-50c-01,unrestricted,True,59,1.0310544601958824,17.64535455221171,3173.3411145193,2711.677913975375,0.0,1,L-main-threeshift-50c-01__mixed__seed1,unrestricted,True,59,1.0310544601958824,17.64535455221171,2711.677913975375,2711.677913975375
mixed,3172.4569777633824,L-main-threeshift-50c-01,independent,True,0,1.0,0.0,3172.4569777633824,3172.4569777633824,3.808601698204329,2,L-main-threeshift-50c-01__mixed__seed2,unrestricted,False,37,0.8779198785670629,3.808601698204329,3051.6307274334845,3051.6307274334845
mixed,3765.7256769460623,L-main-threeshift-50c-01,no_loss,True,56,1.0949461622628531,26.40768776744178,2771.284597999763,2771.284597999763,0.0,3,L-main-threeshift-50c-01__mixed__seed3,no_loss,True,56,1.0949461622628531,26.40768776744178,3039.9494556522486,2771.284597999763
geographic,4217.174778828452,L-main-threeshift-75c-01,no_loss,True,1,1.014997949949067,5.382130155949935,3990.200943328011,3990.200943328011,0.0,1,L-main-threeshift-75c-01__geographic__seed1,no_loss,True,1,1.014997949949067,5.382130155949935,4217.174778828452,3990.200943328011
geographic,4429.187111496569,L-main-threeshift-75c-01,no_loss,True,3,1.0252175112853334,7.753285010064223,4085.779611113209,4085.779611113209,0.0,2,L-main-threeshift-75c-01__geographic__seed2,no_loss,True,3,1.0252175112853334,7.753285010064223,4240.8273032868165,4085.779611113209
geographic,4369.37535519988,L-main-threeshift-75c-01,no_loss,True,0,1.0,0.01938834167509157,4368.528205776946,4368.528205776946,1.0292973217741208,3,L-main-threeshift-75c-01__geographic__seed3,unrestricted,False,3,0.999509426503793,1.0486856634492123,4323.5543422676155,4323.5543422676155
mixed,5446.783136752684,L-main-threeshift-75c-01,unrestricted,True,70,1.0394799915474155,16.707929146724915,5446.476947901261,4536.738469488285,0.0,1,L-main-threeshift-75c-01__mixed__seed1,unrestricted,True,70,1.0394799915474155,16.707929146724915,4536.738469488285,4536.738469488285
mixed,6605.592558553902,L-main-threeshift-75c-01,no_loss,True,80,1.157287700533394,28.765026393022836,4705.492115670319,4705.492115670319,0.0,2,L-main-threeshift-75c-01__mixed__seed2,no_loss,True,80,1.157287700533394,28.765026393022836,5044.755452549414,4705.492115670319
mixed,5201.054374772928,L-main-threeshift-75c-01,no_loss,True,0,1.0,0.2619158197120338,5187.431990573573,5187.431990573573,10.190786512228767,3,L-main-threeshift-75c-01__mixed__seed3,unrestricted,False,74,0.9206245291263466,10.452702331940799,4657.403642855529,4657.403642855529
geographic,6058.818401851069,L-main-threeshift-100c-01,no_loss,True,4,1.0175908733726773,4.099678469730506,5810.426328310311,5810.426328310311,0.0,1,L-main-threeshift-100c-01__geographic__seed1,no_loss,True,4,1.0175908733726773,4.099678469730506,6048.384077620327,5810.426328310311
geographic,5576.330855693681,L-main-threeshift-100c-01,no_loss,True,0,1.0000000000000002,1.5932614847076028,5487.485323910048,5487.485323910048,0.0,2,L-main-threeshift-100c-01__geographic__seed2,no_loss,True,0,1.0000000000000002,1.5932614847076028,5576.330855693681,5487.485323910048
geographic,5537.718667815269,L-main-threeshift-100c-01,no_loss,True,1,1.0038673684844297,3.9875939781220087,5316.896931692129,5316.896931692129,0.0,3,L-main-threeshift-100c-01__geographic__seed3,no_loss,True,1,1.0038673684844297,3.9875939781220087,5537.718667815269,5316.896931692129
mixed,7539.316595270622,L-main-threeshift-100c-01,unrestricted,True,113,1.0495318470728687,13.877553236927254,7474.606612412582,6493.04392106145,0.0,1,L-main-threeshift-100c-01__mixed__seed1,unrestricted,True,113,1.0495318470728687,13.877553236927254,6493.04392106145,6493.04392106145
mixed,8329.358950099626,L-main-threeshift-100c-01,unrestricted,True,101,1.1524023772349332,21.526561533836066,6571.792967978292,6536.334370332348,0.0,2,L-main-threeshift-100c-01__mixed__seed2,unrestricted,True,101,1.1524023772349332,21.526561533836066,6536.334370332348,6536.334370332348
mixed,6989.747780276041,L-main-threeshift-100c-01,independent,True,0,1.0,0.0,6989.747780276041,6989.747780276041,6.555475347750325,3,L-main-threeshift-100c-01__mixed__seed3,unrestricted,False,123,0.9707557356385013,6.555475347750325,6531.53658767012,6531.53658767012
geographic,10077.768698650048,L-main-threeshift-150c-01,no_loss,True,3,1.0054790202535286,4.217131776045383,9652.775912542922,9652.775912542922,1.6976272327951638,1,L-main-threeshift-150c-01__geographic__seed1,unrestricted,False,18,0.9804360711085391,5.914759008840546,9481.692966656532,9481.692966656532
geographic,9450.555298084786,L-main-threeshift-150c-01,no_loss,True,24,1.0113794889626166,4.5081175091127985,9024.513159983439,9024.513159983439,0.0,2,L-main-threeshift-150c-01__geographic__seed2,no_loss,True,24,1.0113794889626166,4.5081175091127985,9450.555298084786,9024.513159983439
geographic,9148.935333146095,L-main-threeshift-150c-01,no_loss,True,12,1.0203495399973461,7.758664743441712,8439.100113053008,8439.100113053008,0.0,3,L-main-threeshift-150c-01__geographic__seed3,no_loss,True,12,1.0203495399973461,7.758664743441712,9003.369096373111,8439.100113053008
mixed,11302.172147500734,L-main-threeshift-150c-01,unrestricted,True,154,1.0509288817809834,14.230859409199784,10400.043786190286,9693.775919004169,0.0,1,L-main-threeshift-150c-01__mixed__seed1,unrestricted,True,154,1.0509288817809834,14.230859409199784,9693.775919004169,9693.775919004169
mixed,10820.12173230317,L-main-threeshift-150c-01,no_loss,True,71,1.0036290917664077,7.714389358714747,9985.415412786393,9985.415412786393,2.9152756492058596,2,L-main-threeshift-150c-01__mixed__seed2,unrestricted,False,176,0.8624753925004116,10.629665007920606,9669.979038710127,9669.979038710127
mixed,11184.05730663413,L-main-threeshift-150c-01,unrestricted,True,165,1.0619241082807762,17.09219418399721,9399.278787943782,9272.456514134696,0.0,3,L-main-threeshift-150c-01__mixed__seed3,unrestricted,True,165,1.0619241082807762,17.09219418399721,9272.456514134696,9272.456514134696
geographic,12681.97056535835,L-main-threeshift-200c-01,no_loss,True,36,1.0163582125155157,3.309372874137353,12262.276871562297,12262.276871562297,0.0,1,L-main-threeshift-200c-01__geographic__seed1,no_loss,True,36,1.0163582125155157,3.309372874137353,12675.221267046149,12262.276871562297
geographic,12645.12544391429,L-main-threeshift-200c-01,no_loss,True,17,1.001889307087655,2.837176046342272,12286.360973789622,12286.360973789622,0.0,2,L-main-threeshift-200c-01__geographic__seed2,no_loss,True,17,1.001889307087655,2.837176046342272,12645.12544391429,12286.360973789622
geographic,12464.587257846379,L-main-threeshift-200c-01,no_loss,True,2,1.0103707486084077,2.9878426533640012,12092.16500319067,12092.16500319067,0.0,3,L-main-threeshift-200c-01__geographic__seed3,no_loss,True,2,1.0103707486084077,2.9878426533640012,12464.587257846379,12092.16500319067
mixed,16398.654239090465,L-main-threeshift-200c-01,no_loss,True,192,1.1039416276677751,15.986805556724907,13777.033271967446,13777.033271967446,0.0,1,L-main-threeshift-200c-01__mixed__seed1,no_loss,True,192,1.1039416276677751,15.986805556724907,13793.85204638398,13777.033271967446
mixed,17507.576843483952,L-main-threeshift-200c-01,unrestricted,True,228,1.1695775918373945,22.893181657233225,16776.22471957715,13499.535472925472,0.0,2,L-main-threeshift-200c-01__mixed__seed2,unrestricted,True,228,1.1695775918373945,22.893181657233225,13499.535472925472,13499.535472925472
mixed,17131.188310068435,L-main-threeshift-200c-01,no_loss,True,243,1.1494532575414753,22.641208482969287,13252.480249175778,13252.480249175778,0.0,3,L-main-threeshift-200c-01__mixed__seed3,no_loss,True,243,1.1494532575414753,22.641208482969287,13765.853261292348,13252.480249175778
