unit_id,action_index,vehicle_id,station_id,charge_start_second,charge_day_offset,energy_kwh,start_energy_kwh,end_energy_kwh,source_occupancy_minutes,m17_occupancy_minutes,duration_increase_seconds,source_curve_id,execution_curve_id,enters_taper
cn-prd-100c-02-V2-LOCATIONS__seed2__P22__B24,1,SP-EV-0008,S_guangzhou,23498.9,0,6.154942109064985,10.322024544970935,16.47696665403592,16.78620575199541,16.835576945383643,2.9622716032939422,L100_control,M17_22KW_NORMAL_PWL,False
cn-prd-100c-02-V2-LOCATIONS__seed3__P22__B16,1,SP-EV-0003,S_guangzhou,50441.63732,0,9.864082201512764,3.4422450440931214,13.306327245605885,26.902042367762085,26.981166021784915,4.7474192413697835,L100_control,M17_22KW_NORMAL_PWL,False
cn-prd-100c-02-V2-LOCATIONS__seed3__P22__B16,2,SP-EV-0008,S_guangzhou,23498.9,0,11.199963283180288,2.413038202129975,13.613001485310264,30.54535440867351,30.67276415492648,7.6445847751781315,L100_control,M17_22KW_NORMAL_PWL,True
cn-prd-100c-02-V2-LOCATIONS__seed3__P22__B16,3,SP-EV-0011,S_shenzhen,22899.3,0,3.804193425964913,7.546616786341817,11.35081021230673,10.375072979904306,10.405587900433439,1.830895231747931,L100_control,M17_22KW_NORMAL_PWL,False
cn-prd-100c-02-V2-LOCATIONS__seed3__P22__B20,1,SP-EV-0001,S_guangzhou,23498.9,0,9.676791101176134,6.322024544970935,15.998815646147069,26.391248457753093,26.468869776746484,4.657279139603432,L100_control,M17_22KW_NORMAL_PWL,False
cn-prd-100c-02-V2-LOCATIONS__seed3__P22__B20,2,SP-EV-0010,S_guangzhou,43200.0,0,7.199963283180288,6.413038202129975,13.613001485310264,19.6362634995826,19.694017215757853,3.4652229705151427,L100_control,M17_22KW_NORMAL_PWL,False
cn-prd-100c-02-V2-LOCATIONS__seed3__P22__B24,1,SP-EV-0008,S_guangzhou,23498.9,0,5.676791101176134,10.322024544970935,15.998815646147069,15.482157548662185,15.527693306158252,2.732145449764012,L100_control,M17_22KW_NORMAL_PWL,False
cn-prd-100c-02-V2-LOCATIONS__seed3__P22__B28,1,SP-EV-0006,S_guangzhou,23498.9,0,1.6767911011761338,14.322024544970935,15.998815646147069,4.573066639571274,4.586516835570015,0.8070117599244853,L100_control,M17_22KW_NORMAL_PWL,False
cn-prd-50c-01-V2-LOCATIONS__seed1__P22__B16,1,SP-EV-0009,S_guangzhou,23498.9,0,10.656578164823578,2.411738007027701,13.06831617185128,29.063394994973397,29.14887556848802,5.128834410877374,L100_control,M17_22KW_NORMAL_PWL,False
cn-prd-50c-01-V2-LOCATIONS__seed1__P22__B20,1,CH81-0004,S_guangzhou,23498.9,0,6.6565781648235784,6.411738007027701,13.06831617185128,18.154304085882487,18.207699097899784,3.2037007210378476,L100_control,M17_22KW_NORMAL_PWL,False
cn-prd-50c-01-V2-LOCATIONS__seed2__P22__B16,1,SP-EV-0002,S_shenzhen,22899.3,0,3.734759014592699,7.546616786341817,11.281375800934516,10.185706403434631,10.215664363444736,1.7974776006062854,L100_control,M17_22KW_NORMAL_PWL,False
cn-prd-50c-01-V2-LOCATIONS__seed2__P22__B16,2,SP-EV-0009,S_guangzhou,23498.9,0,11.46311855840194,2.684778978504818,14.147897536906758,31.263050613823474,32.938263498013804,100.5127730514198,L100_control,M17_22KW_NORMAL_PWL,True
cn-prd-50c-01-V2-LOCATIONS__seed2__P22__B28,1,SP-EV-0009,S_guangzhou,23498.9,0,4.207701947208834,14.322024544970935,18.52972649217977,11.475550765115,11.5093023850124,2.0250971938439832,L100_control,M17_22KW_NORMAL_PWL,False
cn-prd-50c-01-V2-LOCATIONS__seed3__P22__B16,1,SP-EV-0003,S_guangzhou,23498.9,0,10.656578164823578,2.411738007027701,13.06831617185128,29.063394994973397,29.14887556848802,5.128834410877374,L100_control,M17_22KW_NORMAL_PWL,False
cn-prd-50c-01-V2-LOCATIONS__seed3__P22__B16,2,SP-EV-0009,S_shenzhen,22899.3,0,3.734759014592699,7.546616786341817,11.281375800934516,10.185706403434631,10.215664363444736,1.7974776006062854,L100_control,M17_22KW_NORMAL_PWL,False
cn-prd-50c-01-V2-LOCATIONS__seed3__P22__B20,1,SP-EV-0001,S_guangzhou,44182.27982,0,11.02691799738735,6.37953876409096,17.40645676147831,30.073412720147314,31.336404428596097,75.77950250692702,L100_control,M17_22KW_NORMAL_PWL,True
