instance_id,source,source_kind,source_objective,route_first,route_second,source_adjacent,fallback_columns,fallback_objective,generated_segments,generated_options_before_dedup,columns_after_dedup,selected_routes,mip_status_class,mip_gap,mip_seconds,local_delta,exact_evaluated,candidate_objective,exact_improvement
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,3,7,False,2,587.8801175071405,72,444,224,2,OPTIMAL,0.0,0.007524416025262326,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,3,8,False,2,581.1384913443862,114,780,392,2,OPTIMAL,0.0,0.010542667005211115,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,3,9,False,2,600.6651558724761,98,628,316,2,OPTIMAL,0.0,0.012319999979808927,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,3,10,False,2,588.486884720902,114,744,374,2,OPTIMAL,0.0,0.010447499982547015,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,3,11,False,2,576.4774747971876,98,628,316,2,OPTIMAL,0.0,0.00900583399925381,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,3,12,False,2,583.4240407999887,84,528,266,2,OPTIMAL,0.0,0.007435166975483298,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,3,13,False,2,597.6447624616756,114,756,380,2,OPTIMAL,0.0,0.010448749992065132,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,3,14,False,2,569.9924326948367,72,456,230,2,OPTIMAL,0.0,0.006907750037498772,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,4,5,True,2,630.3996806369429,128,820,412,2,OPTIMAL,0.0,0.013388833031058311,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,4,6,False,2,555.1068156738094,114,792,398,2,OPTIMAL,0.0,0.009600125020369887,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,4,7,False,2,586.95677244532,102,624,314,2,OPTIMAL,0.0,0.009303166007157415,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,4,8,False,2,580.2151462825657,144,960,482,2,OPTIMAL,0.0,0.011986499943304807,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,4,9,False,2,599.7418108106556,128,808,406,2,OPTIMAL,0.0,0.009892041969578713,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,4,10,False,2,587.5635396590815,144,924,464,2,OPTIMAL,0.0,0.012385250010993332,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,4,11,False,2,575.554129735367,128,808,406,2,OPTIMAL,0.0,0.010011666046921164,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,4,12,False,2,582.5006957381681,114,708,356,2,OPTIMAL,0.0,0.011515250022057444,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,4,13,False,2,596.721417399855,144,936,470,2,OPTIMAL,0.0,0.012807499966584146,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,4,14,False,2,569.0690876330161,102,636,320,2,OPTIMAL,0.0,0.008438916993327439,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,5,6,True,2,570.1046429169561,98,700,352,2,OPTIMAL,0.0,0.007743916008621454,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,5,7,False,2,601.9545996884667,86,532,268,2,OPTIMAL,0.0,0.007630458974745125,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,5,8,False,2,595.2129735257124,128,868,436,2,OPTIMAL,0.0,0.011280458013061434,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,5,9,False,2,614.7396380538023,112,716,360,2,OPTIMAL,0.0,0.009272082999814302,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,5,10,False,2,602.5613669022282,128,832,418,2,OPTIMAL,0.0,0.010865084012039006,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,5,11,False,2,590.5519569785138,112,716,360,2,OPTIMAL,0.0,0.010587249998934567,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,5,12,False,2,597.4985229813149,98,616,310,2,OPTIMAL,0.0,0.009334250004030764,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,5,13,False,2,611.7192446430017,128,844,424,2,OPTIMAL,0.0,0.012240749958436936,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,5,14,False,2,584.0669148761629,86,544,274,2,OPTIMAL,0.0,0.008026292023714632,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,6,7,True,2,526.6617347253331,72,504,254,2,OPTIMAL,0.0,0.006490624975413084,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,6,8,False,2,519.9201085625789,114,840,422,2,OPTIMAL,0.0,0.008298249973449856,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,6,9,False,2,539.4467730906688,98,688,346,2,OPTIMAL,0.0,0.006618208019062877,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,6,10,False,2,527.2685019390947,114,804,404,2,OPTIMAL,0.0,0.008617874991614372,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,6,11,False,2,515.2590920153802,98,688,346,2,OPTIMAL,0.0,0.007203374989330769,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,6,12,False,2,522.2056580181812,84,588,296,2,OPTIMAL,0.0,0.005622208002023399,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,6,13,False,2,536.4263796798682,114,816,410,2,OPTIMAL,0.0,0.009129833022598177,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,6,14,False,2,508.7740499130292,72,516,260,2,OPTIMAL,0.0,0.005774207995273173,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,7,8,True,2,551.7700653340894,102,672,338,2,OPTIMAL,0.0,0.009391457948368043,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,7,9,False,2,571.2967298621794,86,520,262,2,OPTIMAL,0.0,0.011097332986537367,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,7,10,False,2,559.1184587106053,102,636,320,2,OPTIMAL,0.0,0.009417292021680623,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,7,11,False,2,547.1090487868908,86,520,262,2,OPTIMAL,0.0,0.009374832967296243,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,7,12,False,2,554.0556147896918,74,436,228,2,OPTIMAL,0.0,0.008370166004169732,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,7,13,False,2,568.2763364513788,102,648,326,2,OPTIMAL,0.0,0.010352834011428058,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,7,14,False,2,540.6240066845398,60,348,176,2,OPTIMAL,0.0,0.005186750029679388,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,8,9,True,2,564.5551036994252,128,856,430,2,OPTIMAL,0.0,0.012924375012516975,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,8,10,False,2,552.3768325478511,144,972,488,2,OPTIMAL,0.0,0.011900791025254875,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,8,11,False,2,540.3674226241366,128,856,430,2,OPTIMAL,0.0,0.01745966699672863,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,8,12,False,2,547.3139886269375,114,756,380,2,OPTIMAL,0.0,0.010769041022285819,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,8,13,False,2,561.5347102886246,144,984,494,2,OPTIMAL,0.0,0.013470666017383337,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,8,14,False,2,533.8823805217855,102,684,344,2,OPTIMAL,0.0,0.008759082993492484,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,9,10,True,2,571.903497075941,128,820,412,2,OPTIMAL,0.0,0.013307749992236495,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,9,11,False,2,559.8940871522266,112,704,354,2,OPTIMAL,0.0,0.015156790963374078,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,9,12,False,2,566.8406531550276,98,604,304,2,OPTIMAL,0.0,0.009613667032681406,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,9,13,False,2,581.0613748167145,128,832,418,2,OPTIMAL,0.0,0.012064417009241879,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,9,14,False,2,553.4090450498755,86,532,268,2,OPTIMAL,0.0,0.0113488330389373,0.0,False,,False
