status,channel,error_type,error,count
REJECTED_CHARGING,route_order,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_chengdu_1#T1 misses C014's time window,36
REJECTED_CHARGING,route_order,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_chengdu_1#T1 misses C016's time window,58
REJECTED_CHARGING,route_order,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_chengdu_1#T1 misses C017's time window,24
REJECTED_CHARGING,route_order,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_chongqing_1#T1 misses C034's time window,130
REJECTED_CHARGING,route_order,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_chongqing_1#T1 misses C038's time window,18
REJECTED_CHARGING,route_order,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_chongqing_1#T1 misses C043's time window,57
REJECTED_CHARGING,route_order,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_chongqing_1#T1 misses C049's time window,70
REJECTED_CHARGING,route_order,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_chongqing_1#T1 misses C050's time window,76
REJECTED_CHARGING,whole_duty_type_exchange,ValueError,no feasible depot charging window,38
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: CV_D_chengdu_1 has overlap or incomplete recharge,97
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: CV_D_chongqing_1 has overlap or incomplete recharge,12
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_1#T1 has no feasible departure time,2111
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_1#T1 misses C006's time window,418
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_1#T1 misses C010's time window,33
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_1#T1 misses C013's time window,322
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_1#T1 misses C015's time window,14
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_1#T1 misses C017's time window,120
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_1#T1 misses C022's time window,52
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_1#T1 misses C023's time window,57
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_1#T1 misses C024's time window,71
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_1#T1 misses C025's time window,38
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_1#T1 misses C026's time window,57
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_1#T1 misses C027's time window,71
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_1#T1 misses C028's time window,52
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_1#T1 misses C029's time window,76
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_1#T1 misses C030's time window,71
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_1#T1 misses C031's time window,38
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_1#T1 misses C032's time window,38
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_1#T1 misses C033's time window,38
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_1#T1 misses C034's time window,19
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_1#T1 misses C035's time window,31
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_1#T1 misses C036's time window,76
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_1#T1 misses C037's time window,38
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_1#T1 misses C038's time window,19
