category,instance,size,replicate,bundle_dir,customers,depots,stations,num_cv,num_ev,total_vehicle_cap,total_demand_kg,current_q_kg,current_capacity_total_kg,current_capacity_surplus_kg,current_demand_lower_bound_routes,current_capacity_bound_feasible,goeke_q_kg,goeke_capacity_total_kg,goeke_capacity_surplus_kg,goeke_demand_lower_bound_routes,goeke_capacity_bound_feasible,route_vehicle_assumption,source_consistent
vanilla,e2-vanilla-200c-02,200,2,models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-200c-02,200,1,21,12,12,24,85390.0,1600.0,38400.0,-46990.0,54,False,3650.0,87600.0,2210.0,24,True,one dispatched route consumes one vehicle slot in current checker,True
vanilla,e2-vanilla-200c-03,200,3,models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-200c-03,200,1,21,14,13,27,95957.0,1600.0,43200.0,-52757.0,60,False,3650.0,98550.0,2593.0,27,True,one dispatched route consumes one vehicle slot in current checker,True
multidepot,e2-multidepot-10c-01,10,1,models/data_bundle/generated_instances/e2_benchmark/multidepot/e2-multidepot-10c-01,10,2,2,1,1,2,5671.0,1600.0,3200.0,-2471.0,4,False,3650.0,7300.0,1629.0,2,True,one dispatched route consumes one vehicle slot in current checker,True
multidepot,e2-multidepot-10c-02,10,2,models/data_bundle/generated_instances/e2_benchmark/multidepot/e2-multidepot-10c-02,10,2,2,1,1,2,4458.0,1600.0,3200.0,-1258.0,3,False,3650.0,7300.0,2842.0,2,True,one dispatched route consumes one vehicle slot in current checker,True
multidepot,e2-multidepot-10c-03,10,3,models/data_bundle/generated_instances/e2_benchmark/multidepot/e2-multidepot-10c-03,10,2,2,1,1,2,5541.0,1600.0,3200.0,-2341.0,4,False,3650.0,7300.0,1759.0,2,True,one dispatched route consumes one vehicle slot in current checker,True
multidepot,e2-multidepot-15c-01,15,1,models/data_bundle/generated_instances/e2_benchmark/multidepot/e2-multidepot-15c-01,15,2,2,2,0,2,7219.0,1600.0,3200.0,-4019.0,5,False,3650.0,7300.0,81.0,2,True,one dispatched route consumes one vehicle slot in current checker,True
multidepot,e2-multidepot-15c-02,15,2,models/data_bundle/generated_instances/e2_benchmark/multidepot/e2-multidepot-15c-02,15,2,2,1,1,2,5627.0,1600.0,3200.0,-2427.0,4,False,3650.0,7300.0,1673.0,2,True,one dispatched route consumes one vehicle slot in current checker,True
multidepot,e2-multidepot-15c-03,15,3,models/data_bundle/generated_instances/e2_benchmark/multidepot/e2-multidepot-15c-03,15,2,2,2,1,3,7076.0,1600.0,4800.0,-2276.0,5,False,3650.0,10950.0,3874.0,2,True,one dispatched route consumes one vehicle slot in current checker,True
multidepot,e2-multidepot-20c-01,20,1,models/data_bundle/generated_instances/e2_benchmark/multidepot/e2-multidepot-20c-01,20,2,3,2,1,3,9362.0,1600.0,4800.0,-4562.0,6,False,3650.0,10950.0,1588.0,3,True,one dispatched route consumes one vehicle slot in current checker,True
multidepot,e2-multidepot-20c-02,20,2,models/data_bundle/generated_instances/e2_benchmark/multidepot/e2-multidepot-20c-02,20,2,3,2,1,3,8763.0,1600.0,4800.0,-3963.0,6,False,3650.0,10950.0,2187.0,3,True,one dispatched route consumes one vehicle slot in current checker,True
multidepot,e2-multidepot-20c-03,20,3,models/data_bundle/generated_instances/e2_benchmark/multidepot/e2-multidepot-20c-03,20,2,3,2,1,3,8957.0,1600.0,4800.0,-4157.0,6,False,3650.0,10950.0,1993.0,3,True,one dispatched route consumes one vehicle slot in current checker,True
multidepot,e2-multidepot-25c-01,25,1,models/data_bundle/generated_instances/e2_benchmark/multidepot/e2-multidepot-25c-01,25,2,3,2,1,3,10504.0,1600.0,4800.0,-5704.0,7,False,3650.0,10950.0,446.0,3,True,one dispatched route consumes one vehicle slot in current checker,True
multidepot,e2-multidepot-25c-02,25,2,models/data_bundle/generated_instances/e2_benchmark/multidepot/e2-multidepot-25c-02,25,2,3,2,2,4,12103.0,1600.0,6400.0,-5703.0,8,False,3650.0,14600.0,2497.0,4,True,one dispatched route consumes one vehicle slot in current checker,True
multidepot,e2-multidepot-25c-03,25,3,models/data_bundle/generated_instances/e2_benchmark/multidepot/e2-multidepot-25c-03,25,2,3,2,1,3,10520.0,1600.0,4800.0,-5720.0,7,False,3650.0,10950.0,430.0,3,True,one dispatched route consumes one vehicle slot in current checker,True
multidepot,e2-multidepot-50c-01,50,1,models/data_bundle/generated_instances/e2_benchmark/multidepot/e2-multidepot-50c-01,50,2,6,4,3,7,23126.0,1600.0,11200.0,-11926.0,15,False,3650.0,25550.0,2424.0,7,True,one dispatched route consumes one vehicle slot in current checker,True
multidepot,e2-multidepot-50c-02,50,2,models/data_bundle/generated_instances/e2_benchmark/multidepot/e2-multidepot-50c-02,50,2,6,4,3,7,22375.0,1600.0,11200.0,-11175.0,14,False,3650.0,25550.0,3175.0,7,True,one dispatched route consumes one vehicle slot in current checker,True
multidepot,e2-multidepot-50c-03,50,3,models/data_bundle/generated_instances/e2_benchmark/multidepot/e2-multidepot-50c-03,50,2,6,4,3,7,24090.0,1600.0,11200.0,-12890.0,16,False,3650.0,25550.0,1460.0,7,True,one dispatched route consumes one vehicle slot in current checker,True
multidepot,e2-multidepot-75c-01,75,1,models/data_bundle/generated_instances/e2_benchmark/multidepot/e2-multidepot-75c-01,75,2,8,6,5,11,36542.0,1600.0,17600.0,-18942.0,23,False,3650.0,40150.0,3608.0,11,True,one dispatched route consumes one vehicle slot in current checker,True
multidepot,e2-multidepot-75c-02,75,2,models/data_bundle/generated_instances/e2_benchmark/multidepot/e2-multidepot-75c-02,75,2,8,6,5,11,37125.0,1600.0,17600.0,-19525.0,24,False,3650.0,40150.0,3025.0,11,True,one dispatched route consumes one vehicle slot in current checker,True
multidepot,e2-multidepot-75c-03,75,3,models/data_bundle/generated_instances/e2_benchmark/multidepot/e2-multidepot-75c-03,75,2,8,5,5,10,32700.0,1600.0,16000.0,-16700.0,21,False,3650.0,36500.0,3800.0,9,True,one dispatched route consumes one vehicle slot in current checker,True
multidepot,e2-multidepot-100c-01,100,1,models/data_bundle/generated_instances/e2_benchmark/multidepot/e2-multidepot-100c-01,100,2,11,7,7,14,46949.0,1600.0,22400.0,-24549.0,30,False,3650.0,51100.0,4151.0,13,True,one dispatched route consumes one vehicle slot in current checker,True
multidepot,e2-multidepot-100c-02,100,2,models/data_bundle/generated_instances/e2_benchmark/multidepot/e2-multidepot-100c-02,100,2,11,7,6,13,43824.0,1600.0,20800.0,-23024.0,28,False,3650.0,47450.0,3626.0,13,True,one dispatched route consumes one vehicle slot in current checker,True
multidepot,e2-multidepot-100c-03,100,3,models/data_bundle/generated_instances/e2_benchmark/multidepot/e2-multidepot-100c-03,100,2,11,7,6,13,44210.0,1600.0,20800.0,-23410.0,28,False,3650.0,47450.0,3240.0,13,True,one dispatched route consumes one vehicle slot in current checker,True
multidepot,e2-multidepot-150c-01,150,1,models/data_bundle/generated_instances/e2_benchmark/multidepot/e2-multidepot-150c-01,150,2,16,10,10,20,70647.0,1600.0,32000.0,-38647.0,45,False,3650.0,73000.0,2353.0,20,True,one dispatched route consumes one vehicle slot in current checker,True
multidepot,e2-multidepot-150c-02,150,2,models/data_bundle/generated_instances/e2_benchmark/multidepot/e2-multidepot-150c-02,150,2,16,10,10,20,70279.0,1600.0,32000.0,-38279.0,44,False,3650.0,73000.0,2721.0,20,True,one dispatched route consumes one vehicle slot in current checker,True
multidepot,e2-multidepot-150c-03,150,3,models/data_bundle/generated_instances/e2_benchmark/multidepot/e2-multidepot-150c-03,150,2,16,10,9,19,67429.0,1600.0,30400.0,-37029.0,43,False,3650.0,69350.0,1921.0,19,True,one dispatched route consumes one vehicle slot in current checker,True
multidepot,e2-multidepot-200c-01,200,1,models/data_bundle/generated_instances/e2_benchmark/multidepot/e2-multidepot-200c-01,200,2,21,14,14,28,97152.0,1600.0,44800.0,-52352.0,61,False,3650.0,102200.0,5048.0,27,True,one dispatched route consumes one vehicle slot in current checker,True
multidepot,e2-multidepot-200c-02,200,2,models/data_bundle/generated_instances/e2_benchmark/multidepot/e2-multidepot-200c-02,200,2,21,12,12,24,85390.0,1600.0,38400.0,-46990.0,54,False,3650.0,87600.0,2210.0,24,True,one dispatched route consumes one vehicle slot in current checker,True
multidepot,e2-multidepot-200c-03,200,3,models/data_bundle/generated_instances/e2_benchmark/multidepot/e2-multidepot-200c-03,200,2,21,14,13,27,95957.0,1600.0,43200.0,-52757.0,60,False,3650.0,98550.0,2593.0,27,True,one dispatched route consumes one vehicle slot in current checker,True
threeshift,e2-threeshift-50c-01,50,1,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-50c-01,50,2,6,4,3,7,22433.0,1600.0,11200.0,-11233.0,15,False,3650.0,25550.0,3117.0,7,True,one dispatched route consumes one vehicle slot in current checker,True
threeshift,e2-threeshift-50c-02,50,2,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-50c-02,50,2,6,4,3,7,23260.0,1600.0,11200.0,-12060.0,15,False,3650.0,25550.0,2290.0,7,True,one dispatched route consumes one vehicle slot in current checker,True
threeshift,e2-threeshift-50c-03,50,3,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-50c-03,50,2,6,4,3,7,24511.0,1600.0,11200.0,-13311.0,16,False,3650.0,25550.0,1039.0,7,True,one dispatched route consumes one vehicle slot in current checker,True
threeshift,e2-threeshift-75c-01,75,1,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-75c-01,75,2,8,6,5,11,34985.0,1600.0,17600.0,-17385.0,22,False,3650.0,40150.0,5165.0,10,True,one dispatched route consumes one vehicle slot in current checker,True
threeshift,e2-threeshift-75c-02,75,2,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-75c-02,75,2,8,6,5,11,33508.0,1600.0,17600.0,-15908.0,21,False,3650.0,40150.0,6642.0,10,True,one dispatched route consumes one vehicle slot in current checker,True
threeshift,e2-threeshift-75c-03,75,3,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-75c-03,75,2,8,5,5,10,33676.0,1600.0,16000.0,-17676.0,22,False,3650.0,36500.0,2824.0,10,True,one dispatched route consumes one vehicle slot in current checker,True
threeshift,e2-threeshift-100c-01,100,1,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-100c-01,100,2,11,7,7,14,44388.0,1600.0,22400.0,-21988.0,28,False,3650.0,51100.0,6712.0,13,True,one dispatched route consumes one vehicle slot in current checker,True
threeshift,e2-threeshift-100c-02,100,2,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-100c-02,100,2,11,7,6,13,43625.0,1600.0,20800.0,-22825.0,28,False,3650.0,47450.0,3825.0,12,True,one dispatched route consumes one vehicle slot in current checker,True
threeshift,e2-threeshift-100c-03,100,3,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-100c-03,100,2,11,7,6,13,46903.0,1600.0,20800.0,-26103.0,30,False,3650.0,47450.0,547.0,13,True,one dispatched route consumes one vehicle slot in current checker,True
threeshift,e2-threeshift-150c-01,150,1,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-150c-01,150,2,16,10,10,20,70963.0,1600.0,32000.0,-38963.0,45,False,3650.0,73000.0,2037.0,20,True,one dispatched route consumes one vehicle slot in current checker,True
threeshift,e2-threeshift-150c-02,150,2,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-150c-02,150,2,16,10,10,20,68715.0,1600.0,32000.0,-36715.0,43,False,3650.0,73000.0,4285.0,19,True,one dispatched route consumes one vehicle slot in current checker,True
threeshift,e2-threeshift-150c-03,150,3,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-150c-03,150,2,16,10,9,19,66942.0,1600.0,30400.0,-36542.0,42,False,3650.0,69350.0,2408.0,19,True,one dispatched route consumes one vehicle slot in current checker,True
threeshift,e2-threeshift-200c-01,200,1,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-200c-01,200,2,21,14,14,28,91471.0,1600.0,44800.0,-46671.0,58,False,3650.0,102200.0,10729.0,26,True,one dispatched route consumes one vehicle slot in current checker,True
threeshift,e2-threeshift-200c-02,200,2,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-200c-02,200,2,21,12,12,24,93401.0,1600.0,38400.0,-55001.0,59,False,3650.0,87600.0,-5801.0,26,False,one dispatched route consumes one vehicle slot in current checker,True
threeshift,e2-threeshift-200c-03,200,3,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-200c-03,200,2,21,14,13,27,96754.0,1600.0,43200.0,-53554.0,61,False,3650.0,98550.0,1796.0,27,True,one dispatched route consumes one vehicle slot in current checker,True
