category,instance,profile,algorithm,display_algorithm,seed,run_id,status,gate_status,eval_budget,actual_evals,raw_best_cost,raw_route_count,raw_feasible,identity_cluster_class,replay_status,replay_violation_count,total_cost,best_cost_abs_diff,route_count,cv_route_count,ev_route_count,cost_fix,cost_km,cost_fuel,cost_elec,cost_occ,cost_transship,cost_carbon,E_total,E_cv_direct,E_ev_indirect,distance_total,distance_cv,distance_ev,fuel_liters,electricity_kwh,delta_vs_lns_total_cost,delta_vs_lns_route_count,delta_vs_lns_cost_fix,delta_vs_lns_cost_km,delta_vs_lns_cost_fuel,delta_vs_lns_cost_elec,delta_vs_lns_cost_occ,delta_vs_lns_cost_carbon,delta_vs_lns_E_total,delta_vs_lns_distance_total,delta_vs_lns_electricity_kwh,gap_vs_lns
multidepot,e2-multidepot-20c-01,A2_RELAXED_ROUTE_COMPRESSION_LOCAL_SEARCH,alns_component_stack,alns_e2_throughput+RELAXED_ROUTE_COMPRESSION+LOCAL_SEARCH,3,ROUTE_COMPRESSION_PROBE__formal_goeke80__multidepot__e2-multidepot-20c-01__alns_component_stack__RELAXED_ROUTE_COMPRESSION-LOCAL_SEARCH__seed3,OK,OK,16000,16000,705.750850756463,3,True,,OK,0,705.750850756463,0.0,3,3,0,240.0,249.6258482782549,198.2244813210952,0.0,0.0,0.0,17.900521157113015,355.5923948572311,355.5923948572311,0.0,713216.7093664426,713216.7093664426,0,138.31866675116544,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multidepot,e2-multidepot-20c-01,A0_CURRENT,t3_main_alns,alns_e2_throughput+LOCAL_SEARCH,1,D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-20c-01__t3_main_alns__seed1,OK,OK,16000,16000,707.0076075763136,3,True,,OK,0,707.0076075763136,0.0,3,3,0,240.0,250.27142160943333,198.7850436283009,0.0,0.0,0.0,17.951142338579302,356.59798050415776,356.59798050415776,0.0,715061.204598381,715061.204598381,0,138.70982040911375,0,6.514232411203807,0.0,0.0,-5.988307874606278,24.79634701032228,-14.29810340901287,0.0,2.004296684500691,39.8151903953256,-17109.45107030368,-77.1619180194974,-0.009299491818417797
multidepot,e2-multidepot-20c-01,A0_CURRENT,t3_main_alns,alns_e2_throughput+LOCAL_SEARCH,2,D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-20c-01__t3_main_alns__seed2,OK,OK,16000,16000,705.750850756463,3,True,SECONDARY_ATTRACTOR,OK,0,705.750850756463,0.0,3,3,0,240.0,249.6258482782549,198.2244813210952,0.0,0.0,0.0,17.900521157113015,355.5923948572311,355.5923948572311,0.0,713216.7093664426,713216.7093664426,0,138.31866675116544,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multidepot,e2-multidepot-20c-01,A0_CURRENT,t3_main_alns,alns_e2_throughput+LOCAL_SEARCH,3,D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-20c-01__t3_main_alns__seed3,OK,OK,16000,16000,705.750850756463,3,True,SECONDARY_ATTRACTOR,OK,0,705.750850756463,0.0,3,3,0,240.0,249.6258482782549,198.2244813210952,0.0,0.0,0.0,17.900521157113015,355.5923948572311,355.5923948572311,0.0,713216.7093664426,713216.7093664426,0,138.31866675116544,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multidepot,e2-multidepot-50c-01,LNS_REFERENCE,LNS,LNS,1,D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-50c-01__LNS__seed1,OK,OK,16000,16000,1224.9465153636193,7,True,,OK,0,1224.9465153636193,0.0,7,4,3,560.0,387.58944646635007,216.582790264691,40.529939029612734,0.0,0.0,20.244339602965457,402.1521573890635,388.52513353448666,13.62702385457687,1107398.418475286,774338.7137820343,333059.7046932517,151.12887465263483,218.72606060233534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multidepot,e2-multidepot-50c-01,LNS_REFERENCE,LNS,LNS,2,D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-50c-01__LNS__seed2,OK,OK,16000,16000,1192.7479646155844,7,True,,OK,0,1192.7479646155844,0.0,7,4,3,560.0,365.23720114364113,213.8216365647873,33.86151156193509,0.0,0.0,19.82761534522097,393.8739639495624,383.57193476623155,10.302029183330847,1043534.8604104032,761870.9196395794,281663.94077082386,149.2021747015472,182.73886433855955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multidepot,e2-multidepot-50c-01,LNS_REFERENCE,LNS,LNS,3,D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-50c-01__LNS__seed3,OK,OK,16000,16000,1191.9803676825516,7,True,,OK,0,1191.9803676825516,0.0,7,4,3,560.0,366.922401147894,209.30046798907097,36.28399006484116,0.0,0.0,19.47350848074532,386.8396599274,375.46146752889774,11.378192398502305,1048349.7175654116,747473.6334216694,300876.0841437422,146.0473574691724,195.8121428215929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multidepot,e2-multidepot-50c-01,A1_RELAXED_ROUTE_COMPRESSION,alns_component_RELAXED_ROUTE_COMPRESSION,alns_e2_throughput+RELAXED_ROUTE_COMPRESSION,1,ROUTE_COMPRESSION_PROBE__formal_goeke80__multidepot__e2-multidepot-50c-01__alns_component_RELAXED_ROUTE_COMPRESSION__RELAXED_ROUTE_COMPRESSION__seed1,OK,OK,16000,16000,1193.224915940164,7,True,,OK,0,1193.224915940164,0.0,7,4,3,560.0,364.63061492433246,214.74383764762769,33.93976912652116,0.0,0.0,19.910694241682627,395.52431946131554,385.2262596478083,10.298059813507237,1041801.7569266642,761870.9196395794,279930.8372870847,149.84567556180843,183.16119334334144,-31.721599423455245,0.0,0.0,-22.958831542017606,-1.8389526170633133,-6.590169903091571,0.0,-0.33364536128283007,-6.627837927747976,-65596.66154862195,-35.5648672589939,0.02589631385990665
multidepot,e2-multidepot-50c-01,A1_RELAXED_ROUTE_COMPRESSION,alns_component_RELAXED_ROUTE_COMPRESSION,alns_e2_throughput+RELAXED_ROUTE_COMPRESSION,2,ROUTE_COMPRESSION_PROBE__formal_goeke80__multidepot__e2-multidepot-50c-01__alns_component_RELAXED_ROUTE_COMPRESSION__RELAXED_ROUTE_COMPRESSION__seed2,OK,OK,16000,16000,1194.0946733852552,7,True,,OK,0,1194.0946733852552,0.0,7,4,3,560.0,365.23720114364113,215.056804381086,33.86151156193509,0.0,0.0,19.939156298593048,396.08971590371567,385.78768672038484,10.302029183330847,1043534.8604104032,761870.9196395794,281663.94077082386,150.06405999657107,182.73886433855955,1.3467087696708404,0.0,0.0,0.0,1.2351678162987128,0.0,0.0,0.11154095337207792,2.2157519541532906,0.0,0.0,-0.0011290807527010761
multidepot,e2-multidepot-50c-01,A1_RELAXED_ROUTE_COMPRESSION,alns_component_RELAXED_ROUTE_COMPRESSION,alns_e2_throughput+RELAXED_ROUTE_COMPRESSION,3,ROUTE_COMPRESSION_PROBE__formal_goeke80__multidepot__e2-multidepot-50c-01__alns_component_RELAXED_ROUTE_COMPRESSION__RELAXED_ROUTE_COMPRESSION__seed3,OK,OK,16000,16000,1191.9803676825516,7,True,,OK,0,1191.9803676825516,0.0,7,4,3,560.0,366.922401147894,209.30046798907097,36.28399006484116,0.0,0.0,19.47350848074532,386.8396599274,375.46146752889774,11.378192398502303,1048349.7175654116,747473.6334216694,300876.0841437422,146.0473574691724,195.8121428215929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
