instance,display_name,class,bks_vehicles,bks_distance,reference_code,comment,solution_url,max_vehicles,capacity,computed_vehicles,computed_distance_double,computed_distance_rounded_2,vehicle_match,distance_match,solution_feasible,solution_sha256,search_evaluations
R108,R108,R1,9,960.88,BBB,Detailed solution from BVH,https://www.sintef.no/contentassets/adf48e65e3a84dd6871eb7586707675d/r108.txt,25,200,9,960.875779166051,960.88,1,1,1,4e0a4acab80bf5133b0d0ecc45a65d97d0f4c9b5f1c8ef3553a11857965bd48d,0
R109,R109,R1,11,1194.73,HG,Detailed solution by Shobb,https://www.sintef.no/contentassets/adf48e65e3a84dd6871eb7586707675d/r109_11_1194.734093.txt,25,200,11,1194.734097544604,1194.73,1,1,1,352f95d41c5d4bfa083c5be20ef0a904464da8ed5b39e81aad70661df5558f2f,0
R110,R110,R1,10,1118.84,MBD,See note below,https://www.sintef.no/contentassets/adf48e65e3a84dd6871eb7586707675d/r110.txt,25,200,10,1118.838588495717,1118.84,1,1,1,0ff2a50bab557da168df076bab46c682bcbec17bc04a2e26efe5b0f37f9f3cd3,0
R111,R111,R1,10,1096.73,RGP,"Detailed solution by Shobb, see note about distance below",https://www.sintef.no/contentassets/adf48e65e3a84dd6871eb7586707675d/r111_10_1096.726525.txt,25,200,10,1096.726583050076,1096.73,1,1,1,fefd99f86c6f28139653add50b7f8612617de102735f85fb810a3e36764541cb,0
R112,R112,R1,9,982.14,GTA,Detailed solution by Victor Allis,https://www.sintef.no/contentassets/adf48e65e3a84dd6871eb7586707675d/r112.txt,25,200,9,982.139679479306,982.14,1,1,1,08de7727a5e195b3ff10171433db6ff7eaa8c3017cfa498a15af4a54b0dd62cb,0
R201,R201,R2,4,1252.37,HG,Detailed solution by SAM::OPT,https://www.sintef.no/contentassets/adf48e65e3a84dd6871eb7586707675d/r201.txt,25,1000,4,1252.371221588721,1252.37,1,1,1,8c77279a8be3ca2d07bd76ad346bbab2836b0c57bab3dca13d32eca01f20e213,0
R202,R202,R2,3,1191.7,RGP,Detailed solution by Shobb,https://www.sintef.no/contentassets/adf48e65e3a84dd6871eb7586707675d/r202_3_1191.7029648.txt,25,1000,3,1191.702968704970,1191.70,1,1,1,58616d39226374a08e70a8d517315971ab4173005c6f9bb20e29c3807ebc9278,0
R203,R203,R2,3,939.5,WL,Detailed solution by Victor Allis,https://www.sintef.no/contentassets/adf48e65e3a84dd6871eb7586707675d/r203.txt,25,1000,3,939.503319632731,939.50,1,1,1,ca9a464ac0e5988a835d47a77d41eda9100e686bcab58e3c9108c6ca4ee9fc0a,0
R204,R204,R2,2,825.52,BVH,,https://www.sintef.no/contentassets/adf48e65e3a84dd6871eb7586707675d/r204.txt,25,1000,2,825.519293120560,825.52,1,1,1,faeacdc86687a6acfd0a969d9d1a21e5bcb9055c8ebcebf76fc96e04b88e92eb,0
R205,R205B,R2,3,994.43,RGP,994.42 reported by RGP is believed to result from a rounding error,https://www.sintef.no/contentassets/adf48e65e3a84dd6871eb7586707675d/r205.txt,25,1000,3,994.427656827072,994.43,1,1,1,9e25e38608ba7a992a6573df994170da0f9e113206decf1991fc39a9407a21fd,0
R206,R206,R2,3,906.14,SSSD,Detailed solution by SAM::OPT,https://www.sintef.no/contentassets/adf48e65e3a84dd6871eb7586707675d/r206.txt,25,1000,3,906.142079273420,906.14,1,1,1,4d24a716047bb4b1b6b1c48207e3c61787ee5d9db9d10c4bfad9e257f63cf0ff,0
R207,R207,R2,2,890.61,RP,Detailed solution by Victor Allis,https://www.sintef.no/contentassets/adf48e65e3a84dd6871eb7586707675d/r207.txt,25,1000,2,890.608295314325,890.61,1,1,1,3ae816f4e6c75247c879c3e9867788e8d5ed2ca897784105103ec099c167ffff,0
R208,R208,R2,2,726.82,MBD,See note below,https://www.sintef.no/contentassets/adf48e65e3a84dd6871eb7586707675d/r208.txt,25,1000,2,726.822785682217,726.82,1,1,1,d69f32cc74f87a073d38d2c7905609f804f8cf41b58142dda58cdd6396d8988a,0
R209,R209,R2,3,909.16,H,Detailed solution from BVH,https://www.sintef.no/contentassets/adf48e65e3a84dd6871eb7586707675d/r209.txt,25,1000,3,909.163356160689,909.16,1,1,1,b4c4bcf34440bb8168dabec5a91371298b89c4fb7aa5f2c04367610eb72569c8,0
R210,R210,R2,3,939.37,MBD,See note below,https://www.sintef.no/contentassets/adf48e65e3a84dd6871eb7586707675d/r210.txt,25,1000,3,939.372680213868,939.37,1,1,1,471b84ba53e3fd8363fb90d0c6b6ee87b4bb8cc8a26e565b619c50a726b8659f,0
R211,R211,R2,2,885.71,WL,Detailed solution by Victor Allis,https://www.sintef.no/contentassets/adf48e65e3a84dd6871eb7586707675d/r211.txt,25,1000,2,885.711390242386,885.71,1,1,1,3f9a114a53b2c6521fa0086fd6b33233d57c41f6cc07341662bbacb3d806934d,0
RC101,RC101B,RC1,14,1696.95,TBGGP,1696.94 reported by TBGGP is believed to result from a rounding error,https://www.sintef.no/contentassets/adf48e65e3a84dd6871eb7586707675d/rc101.txt,25,200,14,1696.949157005520,1696.95,1,1,1,d5da64b15763f850c865cd42f27a795c62d137f6f79beae3b6a6967c9a495b76,0
RC102,RC102,RC1,12,1554.75,TBGGP,Detailed solution by Shobb,https://www.sintef.no/contentassets/adf48e65e3a84dd6871eb7586707675d/rc102_12_1554.747199.txt,25,200,12,1554.747242409085,1554.75,1,1,1,1a0e83017bbbfad85bdb29045b94221ef12556c5ab4983284b4a413d90872399,0
RC103,RC103,RC1,11,1261.67,S98,Detailed solution by Shobb,https://www.sintef.no/contentassets/adf48e65e3a84dd6871eb7586707675d/rc103_11_1261.671806.txt,25,200,11,1261.671855811006,1261.67,1,1,1,6977965ddbc157a7fe655e4cfc5e191d5ff3034cf18d27fffd67f828f4a27cb2,0
RC104,RC104,RC1,10,1135.48,CLM,Detailed solution by Shobb,https://www.sintef.no/contentassets/adf48e65e3a84dd6871eb7586707675d/rc104_10_1135.479358.txt,25,200,10,1135.479396140690,1135.48,1,1,1,955c8da1d9d180c1cc9d4690fd91c2c073357ee5259b6cb2f72e284a077ceb19,0
RC105,RC105,RC1,13,1629.44,BBB,Detailed solution from BVH,https://www.sintef.no/contentassets/adf48e65e3a84dd6871eb7586707675d/rc105.txt,25,200,13,1629.436352411105,1629.44,1,1,1,42586869e8424a1b010e20f89ec5f68a59e7cb11f82cfe8c2130fa2e343e89e1,0
RC106,RC106,RC1,11,1424.73,BBB,Detailed solution from BVH,https://www.sintef.no/contentassets/adf48e65e3a84dd6871eb7586707675d/rc106.txt,25,200,11,1424.733683786682,1424.73,1,1,1,d8bf829247cc6d1a780d6b2ebd48a16baad8b79802473c788a006c989b5ac424,0
RC107,RC107,RC1,11,1230.48,S97,Detailed solution by Victor Allis,https://www.sintef.no/contentassets/adf48e65e3a84dd6871eb7586707675d/rc107.txt,25,200,11,1230.477450144820,1230.48,1,1,1,b730be084e85d6f2e22e4aba23ec0900a2d6cb23e2c710e3618a1cf479f9590a,0
RC108,RC108,RC1,10,1139.82,TBGGP,Detailed solution by Shobb,https://www.sintef.no/contentassets/adf48e65e3a84dd6871eb7586707675d/rc108_10_1139.821392.txt,25,200,10,1139.821433062584,1139.82,1,1,1,67c28f12fbd9e168e3bc42e89784ede2616e8c4aa2c3d9fd0270fa853fd04605,0
RC201,RC201,RC2,4,1406.94,MBD,See note below,https://www.sintef.no/contentassets/adf48e65e3a84dd6871eb7586707675d/rc201.txt,25,1000,4,1406.940087691185,1406.94,1,1,1,5e016034e23568321f17d972a4ce77ab88e4da5a95eaa46300ed640fa693bd1b,0
RC202,RC202,RC2,3,1365.65,GCC,Detailed solution by Victor Allis,https://www.sintef.no/contentassets/adf48e65e3a84dd6871eb7586707675d/rc202.txt,25,1000,3,1365.645031168387,1365.65,1,1,1,0859da130bd19bedb85d63789a3d54c75842d8f0b4756e4ca26540582414e267,0
RC203,RC203,RC2,3,1049.62,CC,Detailed solution by Victor Allis,https://www.sintef.no/contentassets/adf48e65e3a84dd6871eb7586707675d/rc203.txt,25,1000,3,1049.624236739795,1049.62,1,1,1,838b80e0b8d6919b3d641e5036c8f74b327732108d81fb821ce38786c8e57151,0
RC204,RC204,RC2,3,798.46,MBD,See note below,https://www.sintef.no/contentassets/adf48e65e3a84dd6871eb7586707675d/rc204.txt,25,1000,3,798.463580692793,798.46,1,1,1,4e73bd24a6d1951b9d41e64d730b04c741a9dc78c8cb5aec8c31c7044a573148,0
RC205,RC205,RC2,4,1297.65,MBD,See note below,https://www.sintef.no/contentassets/adf48e65e3a84dd6871eb7586707675d/rc205.txt,25,1000,4,1297.647746371060,1297.65,1,1,1,72872b05c39a76094a3809c69e1d11b6f7e18f7e578dd46f15dd8e72890e1c41,0
RC206,RC206,RC2,3,1146.32,H,Detailed solution from BVH,https://www.sintef.no/contentassets/adf48e65e3a84dd6871eb7586707675d/rc206.txt,25,1000,3,1146.317229262314,1146.32,1,1,1,447515f440894e5eebdb4d2e484d806c1a8f0a7c99ebbe8e080c91616ad85279,0
RC207,RC207,RC2,3,1061.14,BVH,,https://www.sintef.no/contentassets/adf48e65e3a84dd6871eb7586707675d/rc207.txt,25,1000,3,1061.144555118564,1061.14,1,1,1,6a2c783d7ac0b27ebcf1fe2a7a837fc67dad52041b7cdf8fb4062d1cd30f6f0b,0
RC208,RC208,RC2,3,828.14,IKMUY,Detailed solution from BVH,https://www.sintef.no/contentassets/adf48e65e3a84dd6871eb7586707675d/rc208.txt,25,1000,3,828.141442290874,828.14,1,1,1,390d49b42587bc3a728a5fe0e55632b455236e448d989fbbdc6e8901f1f50165,0
