approx_kl,best_checkpoint_saved,clip_fraction,entropy,episode_index,epoch_count,group_index,kl_early_stop,learning_rate,minibatch_count,policy_loss,pomo_rollouts,target_kl,update_index,validation_gain_pct_vs_initial,validation_mean_obj,validation_zero_violations,value_loss
0.0009870566427707672,False,0.0,23.520148277282715,115,1,28,False,8.987951807228915e-05,8,-0.00020763510838150978,4,0.08,28,,,,6466.4490966796875
0.0005868338048458099,False,0.0,23.46522545814514,119,1,29,False,8.951807228915663e-05,8,-0.005371892126277089,4,0.08,29,6.456707361741653,791.9421529836218,True,7235.176452636719
0.0015049874782562256,False,0.0,24.968001127243042,123,1,30,False,8.91566265060241e-05,8,-0.0034010022063739598,4,0.08,30,,,,7640.5286865234375
0.0009830910712480545,False,0.0,23.276278734207153,127,1,31,False,8.879518072289157e-05,8,0.002524294424802065,4,0.08,31,,,,9446.948364257812
0.003448106348514557,False,0.0,23.253681659698486,131,1,32,False,8.843373493975905e-05,8,0.018423342844471335,4,0.08,32,,,,2747.5806579589844
0.002335231751203537,False,0.0,24.427420377731323,135,1,33,False,8.80722891566265e-05,8,-0.009973598178476095,4,0.08,33,,,,12416.48193359375
0.0010931957513093948,False,0.0,23.2758047580719,139,1,34,False,8.771084337349398e-05,8,0.001826130785048008,4,0.08,34,,,,8321.983337402344
0.0018822494894266129,False,0.0,23.763693809509277,143,1,35,False,8.734939759036145e-05,8,0.0013761757872998714,4,0.08,35,,,,7504.1475830078125
0.0017459448426961899,False,0.0,23.33295512199402,147,1,36,False,8.698795180722892e-05,8,0.018609207589179277,4,0.08,36,,,,5157.4984130859375
0.0020720288157463074,False,0.0,23.634603023529053,151,1,37,False,8.66265060240964e-05,8,0.02061924012377858,4,0.08,37,,,,12601.585205078125
0.003604646772146225,False,0.017578125,23.65048599243164,155,1,38,False,8.626506024096386e-05,8,0.0008619963191449642,4,0.08,38,,,,3655.158447265625
0.004470672458410263,True,0.037109375,23.057554960250854,159,1,39,False,8.590361445783133e-05,8,0.0048844944685697556,4,0.08,39,12.071601780805983,744.4061784674662,True,6777.478271484375
