actual_evals,algorithm,best_obj,bundle,candidate_scores,current_obj,eval_budget,feasible,pomo_group,pomo_rollout,repair_delta_count,reward_sum,scale,seed,steps,violation_count,wall_time_seconds,worker_integrity_ok,worker_numpy_version,worker_python_executable
120,learned_destroy,506.18172162783213,models/data_bundle/generated_instances/E-UK25_03__curric_d2_s3_seed3_24h,120,506.18172162783213,120,True,7,0,23089,41.0,25c,29,120,0,5.437000000034459,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,491.06702434642335,models/data_bundle/generated_instances/E-UK25_03__curric_d2_s3_seed3_24h,120,491.06702434642335,120,True,7,1,21801,95.0,25c,30,120,0,5.297000000020489,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,557.0281665426776,models/data_bundle/generated_instances/E-UK25_03__curric_d2_s3_seed3_24h,120,557.050017596615,120,True,7,2,31775,73.0,25c,31,120,0,6.594000000040978,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,489.4663717664625,models/data_bundle/generated_instances/E-UK25_03__curric_d2_s3_seed3_24h,120,489.4663717664625,120,True,7,3,28296,134.0,25c,32,120,0,6.217999999993481,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,471.53933335579967,models/data_bundle/generated_instances/E-UK25_04__curric_d2_s3_seed4_24h,120,471.53933335579967,120,True,8,0,27918,42.0,25c,33,120,0,6.202999999979511,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,471.53933335579967,models/data_bundle/generated_instances/E-UK25_04__curric_d2_s3_seed4_24h,120,471.53933335579967,120,True,8,1,23630,75.0,25c,34,120,0,5.5,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,471.53933335579967,models/data_bundle/generated_instances/E-UK25_04__curric_d2_s3_seed4_24h,120,477.7854433919888,120,True,8,2,25079,66.0,25c,35,120,0,6.077999999979511,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,470.91713693960816,models/data_bundle/generated_instances/E-UK25_04__curric_d2_s3_seed4_24h,120,470.91713693960816,120,True,8,3,23378,37.0,25c,36,120,0,8.094000000040978,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,598.0654190411148,models/data_bundle/generated_instances/E-UK25_05__curric_d2_s3_seed5_24h,120,598.0654190411148,120,True,9,0,27091,73.0,25c,37,120,0,7.702999999979511,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,595.2043686905523,models/data_bundle/generated_instances/E-UK25_05__curric_d2_s3_seed5_24h,120,595.2043686905523,120,True,9,1,27366,104.0,25c,38,120,0,5.952999999979511,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,608.8393916433463,models/data_bundle/generated_instances/E-UK25_05__curric_d2_s3_seed5_24h,120,611.4831288242558,120,True,9,2,32868,130.0,25c,39,120,0,6.703000000095926,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,597.0876030776216,models/data_bundle/generated_instances/E-UK25_05__curric_d2_s3_seed5_24h,120,597.1432059537052,120,True,9,3,31701,121.0,25c,40,120,0,6.608999999938533,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,528.9636755242785,models/data_bundle/generated_instances/E-UK25_06__curric_d2_s3_seed6_24h,120,528.9636755242785,120,True,10,0,29356,74.0,25c,41,120,0,6.031000000075437,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,528.8596826629409,models/data_bundle/generated_instances/E-UK25_06__curric_d2_s3_seed6_24h,120,528.8596826629409,120,True,10,1,30108,98.0,25c,42,120,0,6.327999999979511,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,539.2087438257066,models/data_bundle/generated_instances/E-UK25_06__curric_d2_s3_seed6_24h,120,540.902605148427,120,True,10,2,31360,84.0,25c,43,120,0,6.531000000075437,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,524.6560391376499,models/data_bundle/generated_instances/E-UK25_06__curric_d2_s3_seed6_24h,120,524.6560391376499,120,True,10,3,30680,105.0,25c,44,120,0,7.343999999924563,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,543.7937869430259,models/data_bundle/generated_instances/E-UK25_07__curric_d2_s3_seed7_24h,120,543.7937869430259,120,True,11,0,23966,76.0,25c,45,120,0,5.51500000001397,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,523.434846413447,models/data_bundle/generated_instances/E-UK25_07__curric_d2_s3_seed7_24h,120,523.434846413447,120,True,11,1,22580,79.0,25c,46,120,0,5.280999999959022,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,517.8544279013609,models/data_bundle/generated_instances/E-UK25_07__curric_d2_s3_seed7_24h,120,518.6081385745103,120,True,11,2,25328,127.0,25c,47,120,0,5.907000000006519,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,506.4770956784431,models/data_bundle/generated_instances/E-UK25_07__curric_d2_s3_seed7_24h,120,506.4770956784431,120,True,11,3,23867,133.0,25c,48,120,0,5.60999999998603,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,580.0348872908723,models/data_bundle/generated_instances/E-UK25_02__curric_d2_s3_seed2_24h,120,580.0348872908723,120,True,12,0,27007,65.0,25c,49,120,0,7.672000000020489,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,599.496443728531,models/data_bundle/generated_instances/E-UK25_02__curric_d2_s3_seed2_24h,120,601.0555086092502,120,True,12,1,28275,95.0,25c,50,120,0,5.98499999998603,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,589.1976654367713,models/data_bundle/generated_instances/E-UK25_02__curric_d2_s3_seed2_24h,120,592.4610851641748,120,True,12,2,29483,69.0,25c,51,120,0,8.35999999998603,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,599.496443728531,models/data_bundle/generated_instances/E-UK25_02__curric_d2_s3_seed2_24h,120,601.686972880096,120,True,12,3,31395,73.0,25c,52,120,0,6.422000000020489,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,488.6653179172746,models/data_bundle/generated_instances/E-UK25_03__curric_d2_s3_seed3_24h,120,490.98690257696217,120,True,13,0,22658,111.0,25c,53,120,0,5.391000000061467,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,491.02738749090764,models/data_bundle/generated_instances/E-UK25_03__curric_d2_s3_seed3_24h,120,491.02738749090764,120,True,13,1,24985,87.0,25c,54,120,0,5.577999999979511,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,521.8310519418635,models/data_bundle/generated_instances/E-UK25_03__curric_d2_s3_seed3_24h,120,523.0787306064211,120,True,13,2,25282,84.0,25c,55,120,0,5.812999999965541,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,496.8766893698567,models/data_bundle/generated_instances/E-UK25_03__curric_d2_s3_seed3_24h,120,496.8766893698567,120,True,13,3,24067,124.0,25c,56,120,0,6.125,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,471.53933335579967,models/data_bundle/generated_instances/E-UK25_04__curric_d2_s3_seed4_24h,120,471.53933335579967,120,True,14,0,24666,94.0,25c,57,120,0,5.765999999945052,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,476.6538579805703,models/data_bundle/generated_instances/E-UK25_04__curric_d2_s3_seed4_24h,120,476.6538579805703,120,True,14,1,23086,41.0,25c,58,120,0,5.438000000081956,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
