instance,arm,seed,requested_iterations,iterations,runtime_seconds,cost,route_sha256,complete,feasible,completed_clients,total_clients,completed_delivery,total_delivery,no_duplicate_clients,compound_calls,compound_accepted_calls,compound_route_slot_evaluations,compound_rotations_evaluated,compound_assignments_changed,compound_rotations_changed,compound_cache_hits,compound_cache_misses,compound_runtime_seconds
PR16A,integrated_with_compound,11,1000,1000,99.18573633400956,15114747,719a7aecbb42aa76d00b7aa6f7976d24486dbf90e0ad7ccb606f0c696d320f7e,True,True,960,960,12309000,12309000,True,370,307,3181152,531432,965,6,76212,46140,2.3866208738763817
PR16B,copied_loop,11,1000,1000,78.22115216695238,11962518,196dbbca4be07ddc9d326bede93f16810ac1ed25696b55c2a44535dde225f357,True,True,960,960,12005000,12005000,True,0,0,0,0,0,0,0,0,0.0
PR16B,integrated_with_compound,11,1000,1000,86.92331824998837,11839722,cb09c2ce93c608e04f8fc02bc299a4f2474426aa1bfd679da71d2d6bd7837dfc,True,True,960,960,12005000,12005000,True,372,284,2492372,538064,866,195,66964,41400,2.385278594738338
PR17A,copied_loop,11,1000,1000,15.897542999999132,6538843,66bd278a1481656ab779a02c9f60dc20f06e23bb211a06d68e79797fee11ddf5,True,True,360,360,4814000,4814000,True,0,0,0,0,0,0,0,0,0.0
PR17A,integrated_with_compound,11,1000,1000,17.977664999954868,6419470,b3c69579bab6e3369d0a5a98459ebd67de1b7208b34d535104b71e1a4fa60810,True,True,360,360,4814000,4814000,True,397,353,536004,310356,1090,0,48222,28350,1.0605051228194498
PR17B,copied_loop,11,1000,1000,13.796764124999754,4875434,d0d1cc73dc7a143014524ed23b057332f1082a4aa196a92f5fe182226f4c914a,True,True,360,360,4691000,4691000,True,0,0,0,0,0,0,0,0,0.0
PR17B,integrated_with_compound,11,1000,1000,16.345192959008273,4925935,e843c1851680c6e563836252d57af9766c1375c82c0b7e40dbdd2d9b6f693ae6,True,True,360,360,4691000,4691000,True,472,404,458136,325248,916,40,51852,24504,1.1733827856951393
PR18A,copied_loop,11,1000,1000,25.98814562498592,8519924,28ccec4ef2eadd6ff1480083ec6ce565c92afc18b2b8d03a248f805bc033c314,True,True,520,520,6838000,6838000,True,0,0,0,0,0,0,0,0,0.0
PR18A,integrated_with_compound,11,1000,1000,34.608264125010464,8552445,7bf38a32d36eea666db99707e1e8d7e483ef8e13fde8b8f0e6b6e7e843c3f27e,True,True,520,520,6838000,6838000,True,423,352,1122180,344520,1046,30,82872,29346,1.5880326111218892
PR18B,copied_loop,11,1000,1000,28.36067824997008,6627337,ff2d14678ac7d341e149a5e996b55504347116d2ccaa4ceb0a3c5af2e3a4706c,True,True,520,520,6830000,6830000,True,0,0,0,0,0,0,0,0,0.0
PR18B,integrated_with_compound,11,1000,1000,33.14282541698776,6667413,78704038fbaf624cb88d4267f508bdadad212a3aea4241bbd91d000f8bd3b600,True,True,520,520,6830000,6830000,True,464,341,996300,612612,981,69,63342,47358,2.2918250741786323
PR19A,copied_loop,11,1000,1000,52.033767792047,11124574,b5732d6bff3c9f021a99527f5fd455bdecef998b47b561029fcd68005f9b11d4,True,True,700,700,9137000,9137000,True,0,0,0,0,0,0,0,0,0.0
PR19A,integrated_with_compound,11,1000,1000,57.2224637499894,11094930,156532a4e9691496d53e289df1e9fa2d0fe45a8ff9d0baf26e72ff0c8e56729e,True,True,700,700,9137000,9137000,True,350,277,1622244,539268,934,0,78318,46470,2.009289755660575
PR19B,copied_loop,11,1000,1000,45.37302674999228,8422272,dccab4708773b91b6a1082461ba3f79b065f01306874be71fb811092d409b50c,True,True,700,700,8905000,8905000,True,0,0,0,0,0,0,0,0,0.0
PR19B,integrated_with_compound,11,1000,1000,49.7465829589637,8419180,dc75cd2f66823b401ff6a7990f6537c0cb3f85598bed3c218c6f8dc5774c6a7c,True,True,700,700,8905000,8905000,True,414,270,1567224,600738,660,116,85254,45348,2.3638491162564605
PR20A,copied_loop,11,1000,1000,72.51748587505426,12365910,678930d6c3313e7223c999e9149394482f1f9ffd8f263128587e1d5c5037dab9,True,True,880,880,11112000,11112000,True,0,0,0,0,0,0,0,0,0.0
PR20A,integrated_with_compound,11,1000,1000,81.7419149169582,12443476,55a0df3539dd8bcfb0e490bd24164f944275d97ca275304b850243f5f5d4448f,True,True,880,880,11112000,11112000,True,392,334,2745792,816450,1279,0,103482,68130,2.9709649371216074
PR20B,copied_loop,11,1000,1000,73.11826016701525,10573092,4ddff034b1e52864c322d3acb456c5ebbb50bfab591d7deac700e554514675da,True,True,880,880,11112000,11112000,True,0,0,0,0,0,0,0,0,0.0
PR20B,integrated_with_compound,11,1000,1000,75.08848991699051,10559694,fa5bbc89191bb17f13e085ac4053e4a0b6385d35ca294a1f38ab17f972704c40,True,True,880,880,11112000,11112000,True,396,310,2436750,727560,1118,267,105138,57312,2.960532416589558
PR21A,copied_loop,11,1000,1000,21.13779758400051,6540984,d54d5b3c7d43f59be77153f67ec0c7a21aa4f707923622a2f7f15388f365f7fe,True,True,420,420,5299000,5299000,True,0,0,0,0,0,0,0,0,0.0
PR21A,integrated_with_compound,11,1000,1000,24.188015416963026,6472027,6f988d89dd98dd25ddd47b3f9558520198020151008172ac9dc957070ba63c65,True,True,420,420,5299000,5299000,True,375,308,658608,667224,1370,2,108444,56208,2.178623048879672
PR21B,copied_loop,11,1000,1000,18.941150541999377,5044144,d49016dab8d6b7feff08e2216ff124cb9984c65921d1bd866f507d0d1fdea21f,True,True,420,420,5299000,5299000,True,0,0,0,0,0,0,0,0,0.0
PR21B,integrated_with_compound,11,1000,1000,24.39861125004245,4971701,584e5e53c4174846c2d0fee3a3ad00840b48e7d758a936e3a1828980f9de0a66,True,True,420,420,5299000,5299000,True,511,437,762720,890892,1563,146,125340,65340,2.9454792566830292
PR22A,copied_loop,11,1000,1000,37.53384229098447,8302128,ee162ae1a90a8247dfa0c27b70467671d26adf2760f0347958b045d143e33265,True,True,600,600,7575000,7575000,True,0,0,0,0,0,0,0,0,0.0
PR22A,integrated_with_compound,11,1000,1000,58.85641070798738,8424450,a43488a005bf1ec8aa796cd5257f11b126ac05e993cb81027f580f724cafdbb6,True,True,600,600,7575000,7575000,True,339,311,1215072,1155828,1804,5,107952,94560,4.770546408777591
PR22B,copied_loop,11,1000,1000,37.685138583008666,6669759,975b4ef51c75e8bb2b8571c04fdfc4602767046fb0d2fccf7e37d9f1c70f8bee,True,True,600,600,7575000,7575000,True,0,0,0,0,0,0,0,0,0.0
PR22B,integrated_with_compound,11,1000,1000,55.75840320799034,6692376,47570057191ad25256d4c37044f59650941f0cc7691cdb30b87232e6b83ea5b7,True,True,600,600,7575000,7575000,True,455,322,1445472,1157736,1140,189,156372,84540,5.142791536287405
PR23A,copied_loop,11,1000,1000,74.45323016599286,10343936,8c1daeae6410ecebca14086e9918d9992ea8dd94efe288503aef2d0443753f6f,True,True,780,780,9956000,9956000,True,0,0,0,0,0,0,0,0,0.0
PR23A,integrated_with_compound,11,1000,1000,76.65106000000378,10367072,92f1b8b69ed73ed33361020fbf649ccde45c4051e76ba209b0c55b71d1015268,True,True,780,780,9956000,9956000,True,452,421,2781120,1778484,2971,25,202116,145524,5.792690300790127
PR23B,copied_loop,11,1000,1000,68.89848674996756,8768221,8a60fbe5719b8e84342e3f7c21bc2aab5ee6c31b9270aee7a00b2b825a2a5f66,True,True,780,780,9956000,9956000,True,0,0,0,0,0,0,0,0,0.0
PR23B,integrated_with_compound,11,1000,1000,77.63349933299469,8737235,c4ddbbba2a80f2cff1deea66df3677c2b4f402014848c96300787650c24909be,True,True,780,780,9956000,9956000,True,429,387,2122932,1697052,2356,535,174108,129168,5.767293126671575
PR24A,copied_loop,11,1000,1000,85.5571760830353,12334592,33c17fa4fcf00fec1e09dbcd23606914e9384c0ac2e34d0f59d824097e698471,True,True,960,960,12524000,12524000,True,0,0,0,0,0,0,0,0,0.0
PR24A,integrated_with_compound,11,1000,1000,81.85563170799287,12536266,86ec82fe5ac5f3b645163058534813e6310ad910faa4f33a4789fa23d035dc66,True,True,960,960,12524000,12524000,True,418,403,4119000,2010912,2692,18,240012,171888,5.5066736184526235
PR24B,copied_loop,11,1000,1000,82.51285512500908,11045693,a355b995ef1dedc63255c35ce97dba99b65949ddd3d80aefe197c8110effbad1,True,True,960,960,12524000,12524000,True,0,0,0,0,0,0,0,0,0.0
PR24B,integrated_with_compound,11,1000,1000,78.02466262498638,10921903,c607d32ceed764acc8b055e138dfbd7d1d4918540311d72912431faaad4152d0,True,True,960,960,12524000,12524000,True,397,331,2933760,1969740,2174,460,208068,158652,5.762280386581551
