actual_evals,algorithm,best_obj,bundle,candidate_k_evaluated,candidate_scores,control_mode,current_obj,eval_budget,feasible,repair_delta_count,scale,seed,steps,trace_destroy_id,trace_repair_id,violation_count,wall_time_seconds,worker_integrity_ok,worker_numpy_version,worker_python_executable
80,worst_removal_fixed,555.0435163686476,models/data_bundle/generated_instances/E-UK25_08__curric_d2_s3_seed8_24h,0,80,block_ppo,555.0435163686476,80,,,25c,12,80,random_customer_removal,regret2_insert_repair,0,2.937000000034459,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
80,best_of_k_destroy,504.96636318243554,models/data_bundle/generated_instances/E-UK25_08__curric_d2_s3_seed8_24h,4,80,best_of_k_destroy,504.96636318243554,80,,,25c,12,10,best_of_k_destroy,greedy_insert_repair,0,2.280999999959022,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
80,operator_select,952.6948911322077,models/data_bundle/generated_instances/E-UK50_01__curric_d2_s3_seed1_24h,,80,,952.797974845548,80,True,138122,50c,11,80,,,0,15.030999999959022,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
80,worst_removal_fixed,979.7646515563746,models/data_bundle/generated_instances/E-UK50_01__curric_d2_s3_seed1_24h,0,80,block_ppo,980.7715859375253,80,,,50c,11,80,random_customer_removal,greedy_insert_repair,0,10.98499999998603,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
80,best_of_k_destroy,1027.28332931027,models/data_bundle/generated_instances/E-UK50_01__curric_d2_s3_seed1_24h,4,80,best_of_k_destroy,1029.1647281955675,80,,,50c,11,10,best_of_k_destroy,greedy_insert_repair,0,9.109000000054948,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
80,operator_select,940.3924969795954,models/data_bundle/generated_instances/E-UK50_01__curric_d2_s3_seed1_24h,,80,,941.386871863764,80,True,127121,50c,12,80,,,0,16.32799999997951,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
80,worst_removal_fixed,966.7943684960055,models/data_bundle/generated_instances/E-UK50_01__curric_d2_s3_seed1_24h,0,80,block_ppo,970.2458441928461,80,,,50c,12,80,random_customer_removal,regret2_insert_repair,0,10.875,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
80,best_of_k_destroy,987.5423883085989,models/data_bundle/generated_instances/E-UK50_01__curric_d2_s3_seed1_24h,4,80,best_of_k_destroy,987.5423883085989,80,,,50c,12,10,best_of_k_destroy,greedy_insert_repair,0,8.797000000020489,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
80,operator_select,944.4141831054515,models/data_bundle/generated_instances/E-UK50_04__curric_d2_s3_seed4_24h,,80,,944.4141831054515,80,True,102456,50c,11,80,,,0,15.530999999959022,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
80,worst_removal_fixed,1009.5594066188308,models/data_bundle/generated_instances/E-UK50_04__curric_d2_s3_seed4_24h,0,80,block_ppo,1009.634357106063,80,,,50c,11,80,random_customer_removal,regret3_insert_repair,0,10.672000000020489,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
80,best_of_k_destroy,1048.062529378365,models/data_bundle/generated_instances/E-UK50_04__curric_d2_s3_seed4_24h,4,80,best_of_k_destroy,1048.062529378365,80,,,50c,11,10,best_of_k_destroy,greedy_insert_repair,0,7.265999999945052,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
80,operator_select,993.571615725154,models/data_bundle/generated_instances/E-UK50_04__curric_d2_s3_seed4_24h,,80,,993.9255769330907,80,True,110646,50c,12,80,,,0,18.906000000075437,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
80,worst_removal_fixed,1032.139951251998,models/data_bundle/generated_instances/E-UK50_04__curric_d2_s3_seed4_24h,0,80,block_ppo,1032.378814383421,80,,,50c,12,80,random_customer_removal,greedy_insert_repair,0,10.640999999945052,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
80,best_of_k_destroy,1058.9528976960894,models/data_bundle/generated_instances/E-UK50_04__curric_d2_s3_seed4_24h,4,80,best_of_k_destroy,1058.9528976960894,80,,,50c,12,10,best_of_k_destroy,greedy_insert_repair,0,9.09299999999348,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
80,operator_select,2416.0601894487863,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,,80,,2416.0601894487863,80,True,266348,100c,11,80,,,0,28.90700000000652,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
80,worst_removal_fixed,2416.0601894487863,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,0,80,block_ppo,2416.0601894487863,80,,,100c,11,80,shaw_related_removal,regret2_insert_repair,0,27.984000000054948,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
80,best_of_k_destroy,2416.0601894487863,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,4,80,best_of_k_destroy,2416.0601894487863,80,,,100c,11,10,best_of_k_destroy,greedy_insert_repair,0,28.95299999997951,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
80,operator_select,2416.0601894487863,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,,80,,2416.0601894487863,80,True,251374,100c,12,80,,,0,27.07799999997951,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
80,worst_removal_fixed,2416.0601894487863,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,0,80,block_ppo,2416.0601894487863,80,,,100c,12,80,shaw_related_removal,regret2_insert_repair,0,28.390999999945052,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
80,best_of_k_destroy,2416.0601894487863,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,4,80,best_of_k_destroy,2416.0601894487863,80,,,100c,12,10,best_of_k_destroy,greedy_insert_repair,0,29.094000000040978,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
80,operator_select,2541.3369999662887,models/data_bundle/generated_instances/E-UK100_03__u0_seed3_24h_20251113,,80,,2541.3369999662887,80,True,245676,100c,11,80,,,0,28.765999999945052,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
80,worst_removal_fixed,2541.3369999662887,models/data_bundle/generated_instances/E-UK100_03__u0_seed3_24h_20251113,0,80,block_ppo,2541.3369999662887,80,,,100c,11,80,shaw_related_removal,regret2_insert_repair,0,30.703000000095926,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
80,best_of_k_destroy,2541.3369999662887,models/data_bundle/generated_instances/E-UK100_03__u0_seed3_24h_20251113,4,80,best_of_k_destroy,2541.3369999662887,80,,,100c,11,10,best_of_k_destroy,greedy_insert_repair,0,27.983999999938533,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
80,operator_select,2541.3369999662887,models/data_bundle/generated_instances/E-UK100_03__u0_seed3_24h_20251113,,80,,2541.3369999662887,80,True,227020,100c,12,80,,,0,26.04700000002049,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
80,worst_removal_fixed,2541.3369999662887,models/data_bundle/generated_instances/E-UK100_03__u0_seed3_24h_20251113,0,80,block_ppo,2541.3369999662887,80,,,100c,12,80,shaw_related_removal,regret2_insert_repair,0,29.42200000002049,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
80,best_of_k_destroy,2541.3369999662887,models/data_bundle/generated_instances/E-UK100_03__u0_seed3_24h_20251113,4,80,best_of_k_destroy,2541.3369999662887,80,,,100c,12,10,best_of_k_destroy,greedy_insert_repair,0,26.031000000075437,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
