task_id,instance_id,region,tier,seed,HGS-F_cost,HGS-F_cpu_seconds,HGS-E_cost,HGS-E_cpu_seconds,HGS-M_cost,HGS-M_cpu_seconds,MV-HGS-SP_cost,MV-HGS-SP_cpu_seconds,HGS-F_emissions_kg,HGS-E_emissions_kg,HGS-M_emissions_kg,MV-HGS-SP_emissions_kg,complete_candidate_attempts,wallclock_safety_triggered,all_charging_on_registered_date,all_depot_charging_finishes_before_departure,mip_status,mip_status_class,mip_message,mip_incumbent_available,mip_objective,mip_dual_bound,mip_gap,mip_node_count,mip_time_limit_seconds,mip_optimality_proven,selected_source,witness_sha256,input_manifest_sha256,responsibility_map_sha256,status
D6-E2__cn-cy-100c-03-V2-LOCATIONS__seed1,cn-cy-100c-03-V2-LOCATIONS,cy,100,1,4848.9493719384445,33.38563062499452,4861.207968760968,38.1395932079904,4864.180271404574,39.3444098750042,4848.9493719384445,112.21465208299924,423.12314156649916,425.40179581113676,426.13481814301946,423.12314156649916,80,False,True,True,0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,4848.9493719384445,4848.9493719384445,0.0,1,5.0,True,best_exact_hgs_parent,2676ba00cee9a8788a607533a23cfaa222afc72fbd5e1e6bef3433d7b708bd96,af774e74f237207e091e4226c4e082c5d5288365a99fecbb6e5bcf1392152616,42bda529b1ac47cf5b53cf47eb9e57015369ad724df6874e9158ecbf7c03c9ae,PASS
D6-E2__cn-cy-100c-03-V2-LOCATIONS__seed2,cn-cy-100c-03-V2-LOCATIONS,cy,100,2,4850.01620280291,30.305112791989814,4859.873845099277,39.77194795799733,4860.054107235976,38.991920083994046,4848.9493719384445,110.45089970799745,423.4101061338207,425.14707915903824,425.51140494880013,423.12314156649916,80,False,True,True,0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,4848.9493719384445,4848.9493719384445,0.0,1,5.0,True,time_limited_mip_recombination,0a1af06c0fe3f72875bd0a54d4488f386b091864e93e535ecc2407f2ca11c6d9,af774e74f237207e091e4226c4e082c5d5288365a99fecbb6e5bcf1392152616,42bda529b1ac47cf5b53cf47eb9e57015369ad724df6874e9158ecbf7c03c9ae,PASS
D6-E2__cn-cy-100c-03-V2-LOCATIONS__seed3,cn-cy-100c-03-V2-LOCATIONS,cy,100,3,4848.9493719384445,31.216594291996444,4860.054107235976,40.256127665998065,4859.919604861769,39.60671433398966,4848.9493719384445,112.47879912500503,423.12314156649916,425.51140494880013,425.1933986012806,423.12314156649916,80,False,True,True,0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,4848.9493719384445,4848.9493719384445,0.0,1,5.0,True,best_exact_hgs_parent,21aa4248f4f73021ea8b600288bb0b6d4d50bb3d02c37e4e190e14bbf480129a,af774e74f237207e091e4226c4e082c5d5288365a99fecbb6e5bcf1392152616,42bda529b1ac47cf5b53cf47eb9e57015369ad724df6874e9158ecbf7c03c9ae,PASS
D6-E2__cn-cy-100c-03-V2-LOCATIONS__seed4,cn-cy-100c-03-V2-LOCATIONS,cy,100,4,4848.9493719384445,37.08014091599034,4860.054107235976,43.08151349998661,4862.097190475354,38.649460291999276,4848.9493719384445,120.32583020901075,423.12314156649916,425.51140494880013,425.72096373679193,423.12314156649916,80,False,True,True,0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,4848.9493719384445,4848.9493719384445,0.0,1,5.0,True,best_exact_hgs_parent,bb3663f4bf43a2596bcac1f1ff66bec09b1784fe731f484e8b5cae014e33236e,af774e74f237207e091e4226c4e082c5d5288365a99fecbb6e5bcf1392152616,42bda529b1ac47cf5b53cf47eb9e57015369ad724df6874e9158ecbf7c03c9ae,PASS
D6-E2__cn-cy-100c-03-V2-LOCATIONS__seed5,cn-cy-100c-03-V2-LOCATIONS,cy,100,5,4848.9493719384445,34.9918872499984,4860.141137896503,44.60320720799791,4861.097080237632,40.09184366599948,4848.9493719384445,121.10563925000315,423.12314156649916,425.11483124381516,425.5770523405778,423.12314156649916,80,False,True,True,0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,4848.9493719384445,4848.9493719384445,0.0,1,5.0,True,best_exact_hgs_parent,973c550970c83952473ef0acb32cf94cc5be08ee7e723ecd88245af491c0f8ae,af774e74f237207e091e4226c4e082c5d5288365a99fecbb6e5bcf1392152616,42bda529b1ac47cf5b53cf47eb9e57015369ad724df6874e9158ecbf7c03c9ae,PASS
D6-E2__cn-cy-10c-01-V2-LOCATIONS__seed1,cn-cy-10c-01-V2-LOCATIONS,cy,10,1,641.695306078121,6.022683000002871,641.3739798839209,6.35973450000165,641.695306078121,6.395187332993373,641.3739798839209,18.80425916700915,59.909730983780804,59.65059096330407,59.909730983780804,59.65059096330407,80,False,True,True,0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,641.3739798839209,641.3739798839209,0.0,0,5.0,True,best_exact_hgs_parent,3bd329ba3a8d0d415f53e12a116893b3e7334bd0f5daae045f85222b0bcce789,afa0f77a0bc01e2fee39ed52825fbc49dc17792567c775e2adc32a47d8344a18,7bcf9ff337ddb0d8cfa7105af1e285f98779d1a4dc975382879e25e5e49ffb8c,PASS
D6-E2__cn-cy-10c-01-V2-LOCATIONS__seed2,cn-cy-10c-01-V2-LOCATIONS,cy,10,2,641.695306078121,6.251755791003234,641.3739798839209,6.398320499996771,641.695306078121,6.760634167003445,641.3739798839209,19.474991958995815,59.909730983780804,59.65059096330407,59.909730983780804,59.65059096330407,80,False,True,True,0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,641.3739798839209,641.3739798839209,0.0,0,5.0,True,best_exact_hgs_parent,3bd329ba3a8d0d415f53e12a116893b3e7334bd0f5daae045f85222b0bcce789,afa0f77a0bc01e2fee39ed52825fbc49dc17792567c775e2adc32a47d8344a18,7bcf9ff337ddb0d8cfa7105af1e285f98779d1a4dc975382879e25e5e49ffb8c,PASS
D6-E2__cn-cy-10c-01-V2-LOCATIONS__seed3,cn-cy-10c-01-V2-LOCATIONS,cy,10,3,641.695306078121,6.001889791994472,641.3739798839209,6.359262624988332,641.695306078121,6.954670291990624,641.3739798839209,19.354784208000638,59.909730983780804,59.65059096330407,59.909730983780804,59.65059096330407,80,False,True,True,0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,641.3739798839209,641.3739798839209,0.0,0,5.0,True,best_exact_hgs_parent,8ea034a25cd9f5cd7035a5ec7b1f9e1175a75996769c671311933825dec49fe9,afa0f77a0bc01e2fee39ed52825fbc49dc17792567c775e2adc32a47d8344a18,7bcf9ff337ddb0d8cfa7105af1e285f98779d1a4dc975382879e25e5e49ffb8c,PASS
D6-E2__cn-cy-10c-01-V2-LOCATIONS__seed4,cn-cy-10c-01-V2-LOCATIONS,cy,10,4,641.695306078121,6.623412125001778,641.3739798839209,6.625461832998553,641.695306078121,6.346955791988876,641.3739798839209,19.63061520800693,59.909730983780804,59.65059096330407,59.909730983780804,59.65059096330407,80,False,True,True,0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,641.3739798839209,641.3739798839209,0.0,0,5.0,True,best_exact_hgs_parent,3bd329ba3a8d0d415f53e12a116893b3e7334bd0f5daae045f85222b0bcce789,afa0f77a0bc01e2fee39ed52825fbc49dc17792567c775e2adc32a47d8344a18,7bcf9ff337ddb0d8cfa7105af1e285f98779d1a4dc975382879e25e5e49ffb8c,PASS
D6-E2__cn-cy-10c-01-V2-LOCATIONS__seed5,cn-cy-10c-01-V2-LOCATIONS,cy,10,5,641.695306078121,6.165720582997892,641.3739798839209,6.602903042003163,641.695306078121,6.191254542005481,641.3739798839209,18.98278841600404,59.909730983780804,59.65059096330407,59.909730983780804,59.65059096330407,80,False,True,True,0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,641.3739798839209,641.3739798839209,0.0,0,5.0,True,best_exact_hgs_parent,3bd329ba3a8d0d415f53e12a116893b3e7334bd0f5daae045f85222b0bcce789,afa0f77a0bc01e2fee39ed52825fbc49dc17792567c775e2adc32a47d8344a18,7bcf9ff337ddb0d8cfa7105af1e285f98779d1a4dc975382879e25e5e49ffb8c,PASS
D6-E2__cn-cy-10c-02-V2-LOCATIONS__seed1,cn-cy-10c-02-V2-LOCATIONS,cy,10,1,647.2193703672735,6.468764374993043,647.2193703672735,6.302982291992521,647.2193703672735,7.189536749996478,647.2193703672735,20.020920791008393,60.333917548725715,60.333917548725715,60.333917548725715,60.333917548725715,80,False,True,True,0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,647.2193703672738,647.2193703672738,0.0,0,5.0,True,best_exact_hgs_parent,73d2ccecfdebb6c7af142463d357adb0fc028ebc4419e1725c53687da24b2595,a3e062f109a757759b05d08521a92bb4e79f76d24cce1d975075f50e62c085d0,7bcf9ff337ddb0d8cfa7105af1e285f98779d1a4dc975382879e25e5e49ffb8c,PASS
D6-E2__cn-cy-10c-02-V2-LOCATIONS__seed2,cn-cy-10c-02-V2-LOCATIONS,cy,10,2,647.2193703672735,8.743149582995102,647.2193703672735,6.6251316249981755,647.2193703672735,6.278337958006887,647.2193703672735,21.668473040990648,60.333917548725715,60.333917548725715,60.333917548725715,60.333917548725715,80,False,True,True,0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,647.2193703672738,647.2193703672738,0.0,0,5.0,True,best_exact_hgs_parent,72154df7bbbb8c2a5c8625c2559456d4ea981d2ed84b4391197b4fa697ceaa2e,a3e062f109a757759b05d08521a92bb4e79f76d24cce1d975075f50e62c085d0,7bcf9ff337ddb0d8cfa7105af1e285f98779d1a4dc975382879e25e5e49ffb8c,PASS
D6-E2__cn-cy-10c-02-V2-LOCATIONS__seed3,cn-cy-10c-02-V2-LOCATIONS,cy,10,3,647.2193703672735,8.758169374996214,647.2193703672735,6.380053583998233,647.2193703672735,6.054985999988276,647.2193703672735,21.2223155410029,60.333917548725715,60.333917548725715,60.333917548725715,60.333917548725715,80,False,True,True,0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,647.2193703672738,647.2193703672738,0.0,0,5.0,True,best_exact_hgs_parent,72154df7bbbb8c2a5c8625c2559456d4ea981d2ed84b4391197b4fa697ceaa2e,a3e062f109a757759b05d08521a92bb4e79f76d24cce1d975075f50e62c085d0,7bcf9ff337ddb0d8cfa7105af1e285f98779d1a4dc975382879e25e5e49ffb8c,PASS
D6-E2__cn-cy-10c-02-V2-LOCATIONS__seed4,cn-cy-10c-02-V2-LOCATIONS,cy,10,4,647.2193703672735,7.752988958003698,647.2193703672735,6.356661083991639,647.2193703672735,6.31840162500157,647.2193703672735,20.471243833992048,60.333917548725715,60.333917548725715,60.333917548725715,60.333917548725715,80,False,True,True,0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,647.2193703672738,647.2193703672738,0.0,0,5.0,True,best_exact_hgs_parent,73d2ccecfdebb6c7af142463d357adb0fc028ebc4419e1725c53687da24b2595,a3e062f109a757759b05d08521a92bb4e79f76d24cce1d975075f50e62c085d0,7bcf9ff337ddb0d8cfa7105af1e285f98779d1a4dc975382879e25e5e49ffb8c,PASS
D6-E2__cn-cy-10c-02-V2-LOCATIONS__seed5,cn-cy-10c-02-V2-LOCATIONS,cy,10,5,647.2193703672735,7.28684549999889,647.2193703672735,6.668424417002825,647.2193703672735,6.8179845419945195,647.2193703672735,20.80085641700134,60.333917548725715,60.333917548725715,60.333917548725715,60.333917548725715,80,False,True,True,0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,647.2193703672738,647.2193703672738,0.0,0,5.0,True,best_exact_hgs_parent,73d2ccecfdebb6c7af142463d357adb0fc028ebc4419e1725c53687da24b2595,a3e062f109a757759b05d08521a92bb4e79f76d24cce1d975075f50e62c085d0,7bcf9ff337ddb0d8cfa7105af1e285f98779d1a4dc975382879e25e5e49ffb8c,PASS
D6-E2__cn-cy-10c-03-V2-LOCATIONS__seed1,cn-cy-10c-03-V2-LOCATIONS,cy,10,1,672.3824651586395,6.405820041007246,672.3824651586395,6.354953417001525,672.3824651586395,6.598724915995263,672.3824651586395,19.414886790997116,65.36386778333312,65.36386778333312,65.36386778333312,65.36386778333312,80,False,True,True,0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,672.3824651586395,672.3824651586395,0.0,0,5.0,True,best_exact_hgs_parent,02baf1ef06601f5c9abd9748a4527fa195c76657c6d987b4f18fa1848517e7c2,9e85479ad70cae26abafd3b55a19f18680f482a24c22db0f3d450c8d1b67016f,7bcf9ff337ddb0d8cfa7105af1e285f98779d1a4dc975382879e25e5e49ffb8c,PASS
D6-E2__cn-cy-10c-03-V2-LOCATIONS__seed2,cn-cy-10c-03-V2-LOCATIONS,cy,10,2,672.3824651586395,6.183797707999474,672.3824651586395,6.340782250001212,672.3824651586395,6.9057847919903,672.3824651586395,19.52721579099307,65.36386778333312,65.36386778333312,65.36386778333312,65.36386778333312,80,False,True,True,0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,672.3824651586395,672.3824651586395,0.0,0,5.0,True,best_exact_hgs_parent,616613bf2e78698b0b7bb5312a5e712100c6216df9f3d931110b4837972d4741,9e85479ad70cae26abafd3b55a19f18680f482a24c22db0f3d450c8d1b67016f,7bcf9ff337ddb0d8cfa7105af1e285f98779d1a4dc975382879e25e5e49ffb8c,PASS
D6-E2__cn-cy-10c-03-V2-LOCATIONS__seed3,cn-cy-10c-03-V2-LOCATIONS,cy,10,3,672.3824651586395,5.869402583994088,672.3824651586395,6.236559000011766,672.3824651586395,6.828670208007679,672.3824651586395,18.96343941600935,65.36386778333312,65.36386778333312,65.36386778333312,65.36386778333312,80,False,True,True,0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,672.3824651586395,672.3824651586395,0.0,0,5.0,True,best_exact_hgs_parent,616613bf2e78698b0b7bb5312a5e712100c6216df9f3d931110b4837972d4741,9e85479ad70cae26abafd3b55a19f18680f482a24c22db0f3d450c8d1b67016f,7bcf9ff337ddb0d8cfa7105af1e285f98779d1a4dc975382879e25e5e49ffb8c,PASS
D6-E2__cn-cy-10c-03-V2-LOCATIONS__seed4,cn-cy-10c-03-V2-LOCATIONS,cy,10,4,672.3824651586395,5.775584582996089,672.3824651586395,6.034857624996221,672.3824651586395,6.730972208009916,672.3824651586395,18.566591583003174,65.36386778333312,65.36386778333312,65.36386778333312,65.36386778333312,80,False,True,True,0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,672.3824651586395,672.3824651586395,0.0,0,5.0,True,best_exact_hgs_parent,616613bf2e78698b0b7bb5312a5e712100c6216df9f3d931110b4837972d4741,9e85479ad70cae26abafd3b55a19f18680f482a24c22db0f3d450c8d1b67016f,7bcf9ff337ddb0d8cfa7105af1e285f98779d1a4dc975382879e25e5e49ffb8c,PASS
D6-E2__cn-cy-10c-03-V2-LOCATIONS__seed5,cn-cy-10c-03-V2-LOCATIONS,cy,10,5,672.3824651586395,5.70818116600276,672.3824651586395,6.189444290997926,672.3824651586395,6.722709458001191,672.3824651586395,18.650143999999273,65.36386778333312,65.36386778333312,65.36386778333312,65.36386778333312,80,False,True,True,0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,672.3824651586395,672.3824651586395,0.0,0,5.0,True,best_exact_hgs_parent,616613bf2e78698b0b7bb5312a5e712100c6216df9f3d931110b4837972d4741,9e85479ad70cae26abafd3b55a19f18680f482a24c22db0f3d450c8d1b67016f,7bcf9ff337ddb0d8cfa7105af1e285f98779d1a4dc975382879e25e5e49ffb8c,PASS
D6-E2__cn-cy-150c-01-V2-LOCATIONS__seed1,cn-cy-150c-01-V2-LOCATIONS,cy,150,1,7452.371296630431,57.947951916008606,7471.936997646696,68.57133633400372,7493.815111840372,70.54357912500564,7447.460891470376,199.93386354099493,635.8566411508574,639.589448096033,643.7334563973585,635.2416981369978,80,False,True,True,0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,7447.460891470376,7447.460891470376,0.0,1,5.0,True,time_limited_mip_recombination,ba613d4cfab39e2d2c7d1c3b6a6d17e5168c1b66effceee62e0e03c981540cbe,237326a4bb19874572756fe341a4cb0d2886d7593b25856f9a1d13ab8933d5a3,2e58d04148bf8a2d51d180b54db8bc84098014c7cf56f1a5710739d748873a76,PASS
D6-E2__cn-cy-150c-01-V2-LOCATIONS__seed2,cn-cy-150c-01-V2-LOCATIONS,cy,150,2,7446.485570227615,53.62116199999582,7479.324331487283,70.06267779199698,7485.104082298871,73.4885833330045,7446.485570227615,200.0731214999978,635.1253409182241,641.3560728019186,643.2878064040724,635.1253409182241,80,False,True,True,0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,7446.485570227615,7446.485570227615,0.0,1,5.0,True,best_exact_hgs_parent,eaca7ea837402630874ad5b0486d42741d40428cfe59f1d795d805b77280f8a4,237326a4bb19874572756fe341a4cb0d2886d7593b25856f9a1d13ab8933d5a3,2e58d04148bf8a2d51d180b54db8bc84098014c7cf56f1a5710739d748873a76,PASS
D6-E2__cn-cy-150c-01-V2-LOCATIONS__seed3,cn-cy-150c-01-V2-LOCATIONS,cy,150,3,7450.7977136312875,59.56360566600051,7484.831468688393,68.74947816699569,7485.976214646399,72.54261329199653,7448.511786866599,204.29161420901073,635.903579714676,642.8188507946405,642.5137393088329,635.4433708731054,80,False,True,True,0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,7448.511786866599,7448.511786866598,0.0,1,5.0,True,time_limited_mip_recombination,7c83e2b97e6d43b3b295f158546108c8200d9d2f4ab231f8e893a7cf6486d99c,237326a4bb19874572756fe341a4cb0d2886d7593b25856f9a1d13ab8933d5a3,2e58d04148bf8a2d51d180b54db8bc84098014c7cf56f1a5710739d748873a76,PASS
D6-E2__cn-cy-150c-01-V2-LOCATIONS__seed4,cn-cy-150c-01-V2-LOCATIONS,cy,150,4,7456.27746478548,57.921797500006505,7496.500495631673,75.26114379201317,7487.38848389948,73.05250170899672,7454.418464579748,209.10862345900387,637.6277692323923,644.170980110484,642.7834722292375,636.4738273524795,80,False,True,True,0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,7454.418464579748,7454.418464579748,0.0,1,5.0,True,time_limited_mip_recombination,f3719f18684d288016ec1b19ebe9990f59cd94de09875ec72f7181c355a7fef2,237326a4bb19874572756fe341a4cb0d2886d7593b25856f9a1d13ab8933d5a3,2e58d04148bf8a2d51d180b54db8bc84098014c7cf56f1a5710739d748873a76,PASS
D6-E2__cn-cy-150c-01-V2-LOCATIONS__seed5,cn-cy-150c-01-V2-LOCATIONS,cy,150,5,7455.618562096085,56.29890350000642,7469.730148028688,70.1559185829974,7507.855806000775,74.71167845799937,7448.706319507,204.16048583299562,637.2938540658799,639.590295644891,647.1586807134967,635.3690703754083,80,False,True,True,0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,7448.706319507,7448.706319507,0.0,1,5.0,True,time_limited_mip_recombination,20e10a6c60872e7f173f7b44963a491dd3a9e1845844a6ce4567310a2d316c94,237326a4bb19874572756fe341a4cb0d2886d7593b25856f9a1d13ab8933d5a3,2e58d04148bf8a2d51d180b54db8bc84098014c7cf56f1a5710739d748873a76,PASS
