category,instance,seed,profile,total_attempts,top1_pair_share,top2_pair_share,top3_pair_share,best_improved_count,best_improved_rate,final_gap_vs_lns,outcome_vs_lns
threeshift,e2-threeshift-75c-01,2,A0_MAIN_LOCAL_SEARCH,3982,0.49070818684078354,0.9558011049723757,0.9962330487192366,42,0.01054746358613762,0.010943006236909837,ALNS_BETTER_THAN_LNS
threeshift,e2-threeshift-75c-01,2,A3_BACKEND_LOCAL_SEARCH,3989,0.9639007269992479,0.9824517422913011,0.9947355226873903,83,0.02080721985460015,-0.037872312742546814,ALNS_WORSE_THAN_LNS
threeshift,e2-threeshift-75c-01,3,A0_MAIN_LOCAL_SEARCH,3984,0.9530622489959839,0.981425702811245,0.9962349397590361,68,0.01706827309236948,0.02695271550517461,ALNS_BETTER_THAN_LNS
threeshift,e2-threeshift-75c-01,3,A3_BACKEND_LOCAL_SEARCH,3984,0.983433734939759,0.9959839357429718,0.9962349397590361,37,0.00928714859437751,-0.06953863137923576,ALNS_WORSE_THAN_LNS
vanilla,e2-vanilla-100c-01,1,A0_MAIN_LOCAL_SEARCH,3982,0.9653440482169764,0.9676042189854345,0.9698643897538926,46,0.011551983927674536,0.001405004799638936,ALNS_BETTER_THAN_LNS
vanilla,e2-vanilla-100c-01,1,A3_BACKEND_LOCAL_SEARCH,3985,0.9761606022584692,0.9959849435382685,0.9962358845671268,95,0.02383939774153074,0.00554061412344743,ALNS_BETTER_THAN_LNS
vanilla,e2-vanilla-100c-01,2,A0_MAIN_LOCAL_SEARCH,3985,0.9836888331242158,0.9959849435382685,0.9962358845671268,63,0.015809284818067756,0.003405265276778924,ALNS_BETTER_THAN_LNS
vanilla,e2-vanilla-100c-01,2,A3_BACKEND_LOCAL_SEARCH,3989,0.97743795437453,0.9902231135622963,0.9924793181248434,92,0.023063424417147156,-0.011475842130231942,ALNS_WORSE_THAN_LNS
vanilla,e2-vanilla-100c-01,3,A0_MAIN_LOCAL_SEARCH,3984,0.9568273092369478,0.9738955823293173,0.9866967871485943,60,0.015060240963855422,-0.011912717620466045,ALNS_WORSE_THAN_LNS
vanilla,e2-vanilla-100c-01,3,A3_BACKEND_LOCAL_SEARCH,3984,0.9781626506024096,0.9919678714859438,0.9924698795180723,82,0.020582329317269075,-0.011195977955387074,ALNS_WORSE_THAN_LNS
vanilla,e2-vanilla-150c-01,1,A0_MAIN_LOCAL_SEARCH,3988,0.488716148445336,0.9327983951855566,0.9962387161484454,124,0.031093279839518557,0.07877969869913329,ALNS_BETTER_THAN_LNS
