rank,model_label,checkpoint_update,n,mean_best_obj,std_best_obj,min_best_obj,max_best_obj,model_path
11,checkpoint_0350,350,1,3630.1618243056146,0.0,3630.1618243056146,3630.1618243056146,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot10\train_final\checkpoints\async_block_ppo_update_0350.pt
12,checkpoint_0250,250,1,3631.832998621149,0.0,3631.832998621149,3631.832998621149,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot10\train_final\checkpoints\async_block_ppo_update_0250.pt
13,checkpoint_0240,240,1,3631.832998621149,0.0,3631.832998621149,3631.832998621149,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot10\train_final\checkpoints\async_block_ppo_update_0240.pt
14,checkpoint_0190,190,1,3631.832998621149,0.0,3631.832998621149,3631.832998621149,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot10\train_final\checkpoints\async_block_ppo_update_0190.pt
15,checkpoint_0180,180,1,3631.832998621149,0.0,3631.832998621149,3631.832998621149,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot10\train_final\checkpoints\async_block_ppo_update_0180.pt
16,checkpoint_0170,170,1,3631.832998621149,0.0,3631.832998621149,3631.832998621149,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot10\train_final\checkpoints\async_block_ppo_update_0170.pt
17,checkpoint_0160,160,1,3631.832998621149,0.0,3631.832998621149,3631.832998621149,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot10\train_final\checkpoints\async_block_ppo_update_0160.pt
18,checkpoint_0150,150,1,3652.8995522216073,0.0,3652.8995522216073,3652.8995522216073,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot10\train_final\checkpoints\async_block_ppo_update_0150.pt
19,checkpoint_0040,40,1,3682.1039976252396,0.0,3682.1039976252396,3682.1039976252396,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot10\train_final\checkpoints\async_block_ppo_update_0040.pt
20,checkpoint_0550,550,1,3687.141777381639,0.0,3687.141777381639,3687.141777381639,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot10\train_final\checkpoints\async_block_ppo_update_0550.pt
21,checkpoint_0230,230,1,3688.8846096590055,0.0,3688.8846096590055,3688.8846096590055,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot10\train_final\checkpoints\async_block_ppo_update_0230.pt
22,checkpoint_0220,220,1,3688.8846096590055,0.0,3688.8846096590055,3688.8846096590055,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot10\train_final\checkpoints\async_block_ppo_update_0220.pt
23,checkpoint_0210,210,1,3688.8846096590055,0.0,3688.8846096590055,3688.8846096590055,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot10\train_final\checkpoints\async_block_ppo_update_0210.pt
24,checkpoint_0200,200,1,3688.8846096590055,0.0,3688.8846096590055,3688.8846096590055,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot10\train_final\checkpoints\async_block_ppo_update_0200.pt
25,checkpoint_0270,270,1,3697.0525171183713,0.0,3697.0525171183713,3697.0525171183713,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot10\train_final\checkpoints\async_block_ppo_update_0270.pt
26,checkpoint_0440,440,1,3831.200267138553,0.0,3831.200267138553,3831.200267138553,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot10\train_final\checkpoints\async_block_ppo_update_0440.pt
27,checkpoint_0430,430,1,3831.200267138553,0.0,3831.200267138553,3831.200267138553,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot10\train_final\checkpoints\async_block_ppo_update_0430.pt
28,checkpoint_0390,390,1,3831.200267138553,0.0,3831.200267138553,3831.200267138553,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot10\train_final\checkpoints\async_block_ppo_update_0390.pt
29,checkpoint_0380,380,1,3831.200267138553,0.0,3831.200267138553,3831.200267138553,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot10\train_final\checkpoints\async_block_ppo_update_0380.pt
30,checkpoint_0410,410,1,3832.815424523229,0.0,3832.815424523229,3832.815424523229,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot10\train_final\checkpoints\async_block_ppo_update_0410.pt
31,checkpoint_0400,400,1,3832.815424523229,0.0,3832.815424523229,3832.815424523229,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot10\train_final\checkpoints\async_block_ppo_update_0400.pt
32,checkpoint_0080,80,1,3841.4351289611923,0.0,3841.4351289611923,3841.4351289611923,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot10\train_final\checkpoints\async_block_ppo_update_0080.pt
33,checkpoint_0070,70,1,3841.4351289611923,0.0,3841.4351289611923,3841.4351289611923,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot10\train_final\checkpoints\async_block_ppo_update_0070.pt
34,checkpoint_0530,530,1,3859.636780422779,0.0,3859.636780422779,3859.636780422779,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot10\train_final\checkpoints\async_block_ppo_update_0530.pt
35,checkpoint_0520,520,1,3859.636780422779,0.0,3859.636780422779,3859.636780422779,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot10\train_final\checkpoints\async_block_ppo_update_0520.pt
36,checkpoint_0510,510,1,3859.636780422779,0.0,3859.636780422779,3859.636780422779,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot10\train_final\checkpoints\async_block_ppo_update_0510.pt
37,checkpoint_0500,500,1,3859.636780422779,0.0,3859.636780422779,3859.636780422779,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot10\train_final\checkpoints\async_block_ppo_update_0500.pt
38,checkpoint_0470,470,1,3859.636780422779,0.0,3859.636780422779,3859.636780422779,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot10\train_final\checkpoints\async_block_ppo_update_0470.pt
39,checkpoint_0460,460,1,3877.952818221845,0.0,3877.952818221845,3877.952818221845,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot10\train_final\checkpoints\async_block_ppo_update_0460.pt
40,checkpoint_0450,450,1,3877.952818221845,0.0,3877.952818221845,3877.952818221845,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot10\train_final\checkpoints\async_block_ppo_update_0450.pt
41,checkpoint_0420,420,1,3877.952818221845,0.0,3877.952818221845,3877.952818221845,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot10\train_final\checkpoints\async_block_ppo_update_0420.pt
42,checkpoint_0370,370,1,3877.952818221845,0.0,3877.952818221845,3877.952818221845,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot10\train_final\checkpoints\async_block_ppo_update_0370.pt
43,checkpoint_0360,360,1,3877.952818221845,0.0,3877.952818221845,3877.952818221845,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot10\train_final\checkpoints\async_block_ppo_update_0360.pt
44,checkpoint_0050,50,1,3884.3543897901855,0.0,3884.3543897901855,3884.3543897901855,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot10\train_final\checkpoints\async_block_ppo_update_0050.pt
45,checkpoint_0580,580,1,3891.529458547278,0.0,3891.529458547278,3891.529458547278,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot10\train_final\checkpoints\async_block_ppo_update_0580.pt
46,checkpoint_0570,570,1,3891.529458547278,0.0,3891.529458547278,3891.529458547278,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot10\train_final\checkpoints\async_block_ppo_update_0570.pt
47,checkpoint_0490,490,1,3891.8865238329076,0.0,3891.8865238329076,3891.8865238329076,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot10\train_final\checkpoints\async_block_ppo_update_0490.pt
48,checkpoint_0480,480,1,3891.8865238329076,0.0,3891.8865238329076,3891.8865238329076,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot10\train_final\checkpoints\async_block_ppo_update_0480.pt
49,checkpoint_0590,590,1,4156.442565824069,0.0,4156.442565824069,4156.442565824069,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot10\train_final\checkpoints\async_block_ppo_update_0590.pt
50,checkpoint_0560,560,1,4156.442565824069,0.0,4156.442565824069,4156.442565824069,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot10\train_final\checkpoints\async_block_ppo_update_0560.pt
51,checkpoint_0540,540,1,4156.442565824069,0.0,4156.442565824069,4156.442565824069,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot10\train_final\checkpoints\async_block_ppo_update_0540.pt
52,checkpoint_0340,340,1,4156.442565824069,0.0,4156.442565824069,4156.442565824069,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot10\train_final\checkpoints\async_block_ppo_update_0340.pt
53,checkpoint_0330,330,1,4156.442565824069,0.0,4156.442565824069,4156.442565824069,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot10\train_final\checkpoints\async_block_ppo_update_0330.pt
54,checkpoint_0310,310,1,4166.110421299415,0.0,4166.110421299415,4166.110421299415,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot10\train_final\checkpoints\async_block_ppo_update_0310.pt
55,checkpoint_0300,300,1,4166.110421299415,0.0,4166.110421299415,4166.110421299415,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot10\train_final\checkpoints\async_block_ppo_update_0300.pt
56,checkpoint_0290,290,1,4166.110421299415,0.0,4166.110421299415,4166.110421299415,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot10\train_final\checkpoints\async_block_ppo_update_0290.pt
57,checkpoint_0320,320,1,4166.189791349486,0.0,4166.189791349486,4166.189791349486,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot10\train_final\checkpoints\async_block_ppo_update_0320.pt
58,checkpoint_0280,280,1,4166.189791349486,0.0,4166.189791349486,4166.189791349486,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot10\train_final\checkpoints\async_block_ppo_update_0280.pt
59,checkpoint_0260,260,1,4166.189791349486,0.0,4166.189791349486,4166.189791349486,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot10\train_final\checkpoints\async_block_ppo_update_0260.pt
