algorithm,bundle,seed,eval_budget,best_obj,actual_evals,candidate_scores,repair_delta_count,operator_base_id,control_mode,violation_count,feasible,solution_signature_hash,operator_counts,destroy_counts,repair_counts,q_ratio_counts,worker_python_executable,worker_python_version,worker_numpy_version,elapsed_seconds,runtime_target_seconds,model_label,checkpoint_update,eval_mode,bundle_role,selection_mode,meta_q_ratio,meta_threshold_ratio,meta_exploration_ratio
block_meta_checkpoint,models/data_bundle/generated_instances/E-UK100_03__u0_seed3_24h_20251113,1,600,4156.442565824069,600,600,74573,winner_kernel_v1,block_ppo,0,1,ccee4bfdf3a0216632b321b6084c2821a0b9b1b3a4396484735e4eb2c67b5366,{},"{""alpha_ucb"":19}","{""alpha_ucb"":19}","{""0.300000"":19}",C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,40.56858490000013,0.0,checkpoint_0340,340,cheap,held_out,block_meta_masked,,,
block_meta_checkpoint,models/data_bundle/generated_instances/E-UK100_03__u0_seed3_24h_20251113,1,600,3630.1618243056146,600,600,267669,winner_kernel_v1,block_ppo,0,1,f4615e1585ccfbe4193c3994b3e3dcc14d95fc683124d1dc252bef3e7ef13b3f,{},"{""alpha_ucb"":19}","{""alpha_ucb"":19}","{""0.160000"":18,""0.230000"":1}",C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,62.830974099982996,0.0,checkpoint_0350,350,cheap,held_out,block_meta_masked,,,
block_meta_checkpoint,models/data_bundle/generated_instances/E-UK100_03__u0_seed3_24h_20251113,1,600,3877.952818221845,600,600,173366,winner_kernel_v1,block_ppo,0,1,325cc76fd00a0ac22a18d1fbd5946c08d7a5879bf42b5f068cb3c5a39d4f066c,{},"{""alpha_ucb"":19}","{""alpha_ucb"":19}","{""0.230000"":19}",C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,38.625912600022275,0.0,checkpoint_0360,360,cheap,held_out,block_meta_masked,,,
block_meta_checkpoint,models/data_bundle/generated_instances/E-UK100_03__u0_seed3_24h_20251113,1,600,3877.952818221845,600,600,173366,winner_kernel_v1,block_ppo,0,1,325cc76fd00a0ac22a18d1fbd5946c08d7a5879bf42b5f068cb3c5a39d4f066c,{},"{""alpha_ucb"":19}","{""alpha_ucb"":19}","{""0.230000"":19}",C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,38.26779680000618,0.0,checkpoint_0370,370,cheap,held_out,block_meta_masked,,,
block_meta_checkpoint,models/data_bundle/generated_instances/E-UK100_03__u0_seed3_24h_20251113,1,600,3831.200267138553,600,600,189890,winner_kernel_v1,block_ppo,0,1,3dd60d9375ec057941ed73fec7b7b28dee227cf24a6286993b76e32dca3d861c,{},"{""alpha_ucb"":19}","{""alpha_ucb"":19}","{""0.230000"":19}",C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,35.48429860000033,0.0,checkpoint_0380,380,cheap,held_out,block_meta_masked,,,
block_meta_checkpoint,models/data_bundle/generated_instances/E-UK100_03__u0_seed3_24h_20251113,1,600,3831.200267138553,600,600,189890,winner_kernel_v1,block_ppo,0,1,3dd60d9375ec057941ed73fec7b7b28dee227cf24a6286993b76e32dca3d861c,{},"{""alpha_ucb"":19}","{""alpha_ucb"":19}","{""0.230000"":19}",C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,35.3107949999976,0.0,checkpoint_0390,390,cheap,held_out,block_meta_masked,,,
block_meta_checkpoint,models/data_bundle/generated_instances/E-UK100_03__u0_seed3_24h_20251113,1,600,3832.815424523229,600,600,169994,winner_kernel_v1,block_ppo,0,1,33983dd23dfd2796bfa02587ddc19db7d74362f0a4238d454db66e815a8e132c,{},"{""alpha_ucb"":19}","{""alpha_ucb"":19}","{""0.230000"":19}",C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,34.640113800007384,0.0,checkpoint_0400,400,cheap,held_out,block_meta_masked,,,
block_meta_checkpoint,models/data_bundle/generated_instances/E-UK100_03__u0_seed3_24h_20251113,1,600,3832.815424523229,600,600,169994,winner_kernel_v1,block_ppo,0,1,33983dd23dfd2796bfa02587ddc19db7d74362f0a4238d454db66e815a8e132c,{},"{""alpha_ucb"":19}","{""alpha_ucb"":19}","{""0.230000"":19}",C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,34.80980670003919,0.0,checkpoint_0410,410,cheap,held_out,block_meta_masked,,,
block_meta_checkpoint,models/data_bundle/generated_instances/E-UK100_03__u0_seed3_24h_20251113,1,600,3877.952818221845,600,600,173366,winner_kernel_v1,block_ppo,0,1,325cc76fd00a0ac22a18d1fbd5946c08d7a5879bf42b5f068cb3c5a39d4f066c,{},"{""alpha_ucb"":19}","{""alpha_ucb"":19}","{""0.230000"":19}",C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,39.31937879999168,0.0,checkpoint_0420,420,cheap,held_out,block_meta_masked,,,
block_meta_checkpoint,models/data_bundle/generated_instances/E-UK100_03__u0_seed3_24h_20251113,1,600,3831.200267138553,600,600,189890,winner_kernel_v1,block_ppo,0,1,3dd60d9375ec057941ed73fec7b7b28dee227cf24a6286993b76e32dca3d861c,{},"{""alpha_ucb"":19}","{""alpha_ucb"":19}","{""0.230000"":19}",C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,35.29173240001546,0.0,checkpoint_0430,430,cheap,held_out,block_meta_masked,,,
