task_id,group,instance_id,arm_id,algorithm,seed,terminal_status,feasible,objective_cny,hgs_iterations_actual,complete_search_evaluations_actual,complete_search_evaluations_max,post_search_certificate_evaluations,max_hgs_iterations,max_no_improvement_iterations,stop_reason,cpu_seconds,cpu_minutes,wall_seconds,violation_count,solution_path,solution_sha256,common_initial_solution_sha256,route_count,physical_vehicle_count,sp_status,sp_mip_gap,per_view_json,error_type,error_message
G1__PYVRP_HGS__S2026080203,4.2_five_algorithm_comparison,cn-prd-100c-01-V2-LOCATIONS,PYVRP_HGS,PyVRP-HGS,2026080203,PASS_FEASIBLE,True,3621.569907766804,177,27,100,1,2000,150,NO_IMPROVEMENT_150,14.88082,0.24801371666666666,39.09599833399989,0,baselines/china_e3_e7/formal_algorithm_20260802/units/G1__PYVRP_HGS__S2026080203/solution.json,8e27f9c71f5a9e9a334cba1718498f591c91bc3e7c33c4a4795e1669f88ce73b,d7f54cf1a1cab6cfaf9eae597f91a70f404cf861857b10c14686fce4a7d293d9,16,10,,,"{""distance_only"": {""complete_search_evaluations"": 27, ""hgs_iterations"": 177, ""iteration_allocation"": 2000, ""no_improvement_limit"": 150, ""stop_reason"": ""NO_IMPROVEMENT_150"", ""wallclock_safety_triggered"": false}}",,
G1__HGS_F__S2026080203,4.2_five_algorithm_comparison,cn-prd-100c-01-V2-LOCATIONS,HGS_F,HGS-F,2026080203,PASS_FEASIBLE,True,3621.569907766804,504,40,100,1,2000,150,NO_IMPROVEMENT_150,19.730854000000008,0.3288476000000001,53.27447720896453,0,baselines/china_e3_e7/formal_algorithm_20260802/units/G1__HGS_F__S2026080203/solution.json,076b09327cc0d22686c51f94a1ca9f12785920131e8f05a8dd3bf39b4b7d0beb,d7f54cf1a1cab6cfaf9eae597f91a70f404cf861857b10c14686fce4a7d293d9,16,10,,,"{""cv_only"": {""complete_search_evaluations"": 40, ""hgs_iterations"": 504, ""iteration_allocation"": 2000, ""no_improvement_limit"": 150, ""stop_reason"": ""NO_IMPROVEMENT_150"", ""wallclock_safety_triggered"": false}}",,
G1__HGS_E__S2026080203,4.2_five_algorithm_comparison,cn-prd-100c-01-V2-LOCATIONS,HGS_E,HGS-E,2026080203,PASS_FEASIBLE,True,3621.569907766804,518,40,100,1,2000,150,NO_IMPROVEMENT_150,19.732853999999996,0.3288809333333334,53.7635155840544,0,baselines/china_e3_e7/formal_algorithm_20260802/units/G1__HGS_E__S2026080203/solution.json,bd32233ec1bddc4ce8b2eb6bfcb4251af5e29012c4c5ea367b76d4942a183872,d7f54cf1a1cab6cfaf9eae597f91a70f404cf861857b10c14686fce4a7d293d9,16,10,,,"{""naive_ev"": {""complete_search_evaluations"": 40, ""hgs_iterations"": 518, ""iteration_allocation"": 2000, ""no_improvement_limit"": 150, ""stop_reason"": ""NO_IMPROVEMENT_150"", ""wallclock_safety_triggered"": false}}",,
G1__HGS_M__S2026080203,4.2_five_algorithm_comparison,cn-prd-100c-01-V2-LOCATIONS,HGS_M,HGS-M,2026080203,PASS_FEASIBLE,True,3621.569907766804,812,52,100,1,2000,150,NO_IMPROVEMENT_150,27.456064999999995,0.45760113333333335,73.88995916605927,0,baselines/china_e3_e7/formal_algorithm_20260802/units/G1__HGS_M__S2026080203/solution.json,1d4061d59d80aabeb8d1665736a256ff05440da97a221437faffd9c648d9ea7a,d7f54cf1a1cab6cfaf9eae597f91a70f404cf861857b10c14686fce4a7d293d9,16,10,,,"{""mechanism_ev"": {""complete_search_evaluations"": 52, ""hgs_iterations"": 812, ""iteration_allocation"": 2000, ""no_improvement_limit"": 150, ""stop_reason"": ""NO_IMPROVEMENT_150"", ""wallclock_safety_triggered"": false}}",,
G1__MV_HGS_SP__S2026080203,4.2_five_algorithm_comparison,cn-prd-100c-01-V2-LOCATIONS,MV_HGS_SP,MV-HGS-SP,2026080203,PASS_FEASIBLE,True,3621.569907766804,1822,98,100,1,2000,150,MAX_ITERATIONS+NO_IMPROVEMENT_150,32.6682,0.54447005,88.90822795790154,0,baselines/china_e3_e7/formal_algorithm_20260802/units/G1__MV_HGS_SP__S2026080203/solution.json,c9e93e6b4a0ece5f619841ac94d751e04fba29207bdfa00dce3c4d311568a46a,d7f54cf1a1cab6cfaf9eae597f91a70f404cf861857b10c14686fce4a7d293d9,16,10,OPTIMAL,0.0,"{""cv_only"": {""complete_search_evaluations"": 31, ""hgs_iterations"": 504, ""iteration_allocation"": 600, ""no_improvement_limit"": 150, ""stop_reason"": ""NO_IMPROVEMENT_150"", ""wallclock_safety_triggered"": false}, ""mechanism_ev"": {""complete_search_evaluations"": 34, ""hgs_iterations"": 800, ""iteration_allocation"": 800, ""no_improvement_limit"": 150, ""stop_reason"": ""MAX_ITERATIONS"", ""wallclock_safety_triggered"": false}, ""naive_ev"": {""complete_search_evaluations"": 31, ""hgs_iterations"": 518, ""iteration_allocation"": 600, ""no_improvement_limit"": 150, ""stop_reason"": ""NO_IMPROVEMENT_150"", ""wallclock_safety_triggered"": false}}",,
G1__PYVRP_HGS__S2026080204,4.2_five_algorithm_comparison,cn-prd-100c-01-V2-LOCATIONS,PYVRP_HGS,PyVRP-HGS,2026080204,PASS_FEASIBLE,True,3621.569907766804,461,38,100,1,2000,150,NO_IMPROVEMENT_150,19.124488999999997,0.31874155000000004,51.2336891250452,0,baselines/china_e3_e7/formal_algorithm_20260802/units/G1__PYVRP_HGS__S2026080204/solution.json,004d0c27c1e2eea911006b1f6fed16e84698aba1cd670ec742506d36d8c21c82,d7f54cf1a1cab6cfaf9eae597f91a70f404cf861857b10c14686fce4a7d293d9,16,10,,,"{""distance_only"": {""complete_search_evaluations"": 38, ""hgs_iterations"": 461, ""iteration_allocation"": 2000, ""no_improvement_limit"": 150, ""stop_reason"": ""NO_IMPROVEMENT_150"", ""wallclock_safety_triggered"": false}}",,
G1__HGS_F__S2026080204,4.2_five_algorithm_comparison,cn-prd-100c-01-V2-LOCATIONS,HGS_F,HGS-F,2026080204,PASS_FEASIBLE,True,3621.569907766804,395,35,100,1,2000,150,NO_IMPROVEMENT_150,16.481291,0.2746882333333332,44.222776792012155,0,baselines/china_e3_e7/formal_algorithm_20260802/units/G1__HGS_F__S2026080204/solution.json,a9a070c0de1156b2b0d5e548e818c9cb8f6ff207ff561f28726378e12cc1123f,d7f54cf1a1cab6cfaf9eae597f91a70f404cf861857b10c14686fce4a7d293d9,16,10,,,"{""cv_only"": {""complete_search_evaluations"": 35, ""hgs_iterations"": 395, ""iteration_allocation"": 2000, ""no_improvement_limit"": 150, ""stop_reason"": ""NO_IMPROVEMENT_150"", ""wallclock_safety_triggered"": false}}",,
G1__HGS_E__S2026080204,4.2_five_algorithm_comparison,cn-prd-100c-01-V2-LOCATIONS,HGS_E,HGS-E,2026080204,PASS_FEASIBLE,True,3621.569907766804,211,28,100,1,2000,150,NO_IMPROVEMENT_150,14.497771,0.24162954999999992,39.62537408294156,0,baselines/china_e3_e7/formal_algorithm_20260802/units/G1__HGS_E__S2026080204/solution.json,c9202a3f46eadaf35c7aa0ab33777976c894b29301345bdef6798b4296a6caaa,d7f54cf1a1cab6cfaf9eae597f91a70f404cf861857b10c14686fce4a7d293d9,16,10,,,"{""naive_ev"": {""complete_search_evaluations"": 28, ""hgs_iterations"": 211, ""iteration_allocation"": 2000, ""no_improvement_limit"": 150, ""stop_reason"": ""NO_IMPROVEMENT_150"", ""wallclock_safety_triggered"": false}}",,
G1__HGS_M__S2026080204,4.2_five_algorithm_comparison,cn-prd-100c-01-V2-LOCATIONS,HGS_M,HGS-M,2026080204,PASS_FEASIBLE,True,3621.569907766804,253,30,100,1,2000,150,NO_IMPROVEMENT_150,16.926136,0.2821023166666665,47.89325445902068,0,baselines/china_e3_e7/formal_algorithm_20260802/units/G1__HGS_M__S2026080204/solution.json,c69a0d45c6a65336c662b9df73e98942342796ca8a633208499f253dc6fc2c4d,d7f54cf1a1cab6cfaf9eae597f91a70f404cf861857b10c14686fce4a7d293d9,16,10,,,"{""mechanism_ev"": {""complete_search_evaluations"": 30, ""hgs_iterations"": 253, ""iteration_allocation"": 2000, ""no_improvement_limit"": 150, ""stop_reason"": ""NO_IMPROVEMENT_150"", ""wallclock_safety_triggered"": false}}",,
G1__MV_HGS_SP__S2026080204,4.2_five_algorithm_comparison,cn-prd-100c-01-V2-LOCATIONS,MV_HGS_SP,MV-HGS-SP,2026080204,PASS_FEASIBLE,True,3621.569907766804,859,87,100,1,2000,150,NO_IMPROVEMENT_150,24.114268999999993,0.40190454999999997,67.98542762501165,0,baselines/china_e3_e7/formal_algorithm_20260802/units/G1__MV_HGS_SP__S2026080204/solution.json,81957bbac8452635953d2cae4f4ae8ba7a58f4acf20b66ba5a43a35cb8f37b86,d7f54cf1a1cab6cfaf9eae597f91a70f404cf861857b10c14686fce4a7d293d9,16,10,OPTIMAL,0.0,"{""cv_only"": {""complete_search_evaluations"": 29, ""hgs_iterations"": 395, ""iteration_allocation"": 600, ""no_improvement_limit"": 150, ""stop_reason"": ""NO_IMPROVEMENT_150"", ""wallclock_safety_triggered"": false}, ""mechanism_ev"": {""complete_search_evaluations"": 28, ""hgs_iterations"": 253, ""iteration_allocation"": 800, ""no_improvement_limit"": 150, ""stop_reason"": ""NO_IMPROVEMENT_150"", ""wallclock_safety_triggered"": false}, ""naive_ev"": {""complete_search_evaluations"": 28, ""hgs_iterations"": 211, ""iteration_allocation"": 600, ""no_improvement_limit"": 150, ""stop_reason"": ""NO_IMPROVEMENT_150"", ""wallclock_safety_triggered"": false}}",,
G1__PYVRP_HGS__S2026080205,4.2_five_algorithm_comparison,cn-prd-100c-01-V2-LOCATIONS,PYVRP_HGS,PyVRP-HGS,2026080205,PASS_FEASIBLE,True,3621.569907766804,378,35,100,1,2000,150,NO_IMPROVEMENT_150,18.636139999999997,0.3106023833333334,53.2636979999952,0,baselines/china_e3_e7/formal_algorithm_20260802/units/G1__PYVRP_HGS__S2026080205/solution.json,b9e6220962cb8fcca3e16e9f5c83c66f938891b6133d9ab613c6f1517c55ce65,d7f54cf1a1cab6cfaf9eae597f91a70f404cf861857b10c14686fce4a7d293d9,16,10,,,"{""distance_only"": {""complete_search_evaluations"": 35, ""hgs_iterations"": 378, ""iteration_allocation"": 2000, ""no_improvement_limit"": 150, ""stop_reason"": ""NO_IMPROVEMENT_150"", ""wallclock_safety_triggered"": false}}",,
G1__HGS_F__S2026080205,4.2_five_algorithm_comparison,cn-prd-100c-01-V2-LOCATIONS,HGS_F,HGS-F,2026080205,PASS_FEASIBLE,True,3621.569907766804,525,41,100,1,2000,150,NO_IMPROVEMENT_150,23.17186699999999,0.3861978166666669,64.76225212495774,0,baselines/china_e3_e7/formal_algorithm_20260802/units/G1__HGS_F__S2026080205/solution.json,49e906e5bdc1845b29749797eda3b94be878ce7ab660c44a8bf32ca7ebc48c25,d7f54cf1a1cab6cfaf9eae597f91a70f404cf861857b10c14686fce4a7d293d9,16,10,,,"{""cv_only"": {""complete_search_evaluations"": 41, ""hgs_iterations"": 525, ""iteration_allocation"": 2000, ""no_improvement_limit"": 150, ""stop_reason"": ""NO_IMPROVEMENT_150"", ""wallclock_safety_triggered"": false}}",,
G1__HGS_E__S2026080205,4.2_five_algorithm_comparison,cn-prd-100c-01-V2-LOCATIONS,HGS_E,HGS-E,2026080205,PASS_FEASIBLE,True,3621.569907766804,524,40,100,1,2000,150,NO_IMPROVEMENT_150,20.581940000000003,0.3430323999999999,56.914883916964754,0,baselines/china_e3_e7/formal_algorithm_20260802/units/G1__HGS_E__S2026080205/solution.json,569e315722ab7f073f7a2f05d7c48ab13d134ffed13b1cc49d351f3f1595804e,d7f54cf1a1cab6cfaf9eae597f91a70f404cf861857b10c14686fce4a7d293d9,16,10,,,"{""naive_ev"": {""complete_search_evaluations"": 40, ""hgs_iterations"": 524, ""iteration_allocation"": 2000, ""no_improvement_limit"": 150, ""stop_reason"": ""NO_IMPROVEMENT_150"", ""wallclock_safety_triggered"": false}}",,
G1__HGS_M__S2026080205,4.2_five_algorithm_comparison,cn-prd-100c-01-V2-LOCATIONS,HGS_M,HGS-M,2026080205,PASS_FEASIBLE,True,3621.569907766804,778,51,100,1,2000,150,NO_IMPROVEMENT_150,27.50448800000001,0.4584082,74.12842204188928,0,baselines/china_e3_e7/formal_algorithm_20260802/units/G1__HGS_M__S2026080205/solution.json,6e6e833ca517952d1636ef0d9b4b5d9ee935319af1c437b9f330eaab2eaf97f0,d7f54cf1a1cab6cfaf9eae597f91a70f404cf861857b10c14686fce4a7d293d9,16,10,,,"{""mechanism_ev"": {""complete_search_evaluations"": 51, ""hgs_iterations"": 778, ""iteration_allocation"": 2000, ""no_improvement_limit"": 150, ""stop_reason"": ""NO_IMPROVEMENT_150"", ""wallclock_safety_triggered"": false}}",,
G1__MV_HGS_SP__S2026080205,4.2_five_algorithm_comparison,cn-prd-100c-01-V2-LOCATIONS,MV_HGS_SP,MV-HGS-SP,2026080205,PASS_FEASIBLE,True,3621.569907766804,1827,97,100,1,2000,150,NO_IMPROVEMENT_150,33.865502000000006,0.5644250999999999,92.00401841697749,0,baselines/china_e3_e7/formal_algorithm_20260802/units/G1__MV_HGS_SP__S2026080205/solution.json,eeed31a4068d34566b4ce7f99e8619d30322a6e60dd7f84f3d8cb7499c75342c,d7f54cf1a1cab6cfaf9eae597f91a70f404cf861857b10c14686fce4a7d293d9,16,10,OPTIMAL,0.0,"{""cv_only"": {""complete_search_evaluations"": 31, ""hgs_iterations"": 525, ""iteration_allocation"": 600, ""no_improvement_limit"": 150, ""stop_reason"": ""NO_IMPROVEMENT_150"", ""wallclock_safety_triggered"": false}, ""mechanism_ev"": {""complete_search_evaluations"": 33, ""hgs_iterations"": 778, ""iteration_allocation"": 800, ""no_improvement_limit"": 150, ""stop_reason"": ""NO_IMPROVEMENT_150"", ""wallclock_safety_triggered"": false}, ""naive_ev"": {""complete_search_evaluations"": 31, ""hgs_iterations"": 524, ""iteration_allocation"": 600, ""no_improvement_limit"": 150, ""stop_reason"": ""NO_IMPROVEMENT_150"", ""wallclock_safety_triggered"": false}}",,
G1__PYVRP_HGS__S2026080206,4.2_five_algorithm_comparison,cn-prd-100c-01-V2-LOCATIONS,PYVRP_HGS,PyVRP-HGS,2026080206,PASS_FEASIBLE,True,3621.569907766804,402,36,100,1,2000,150,NO_IMPROVEMENT_150,18.593275000000006,0.3098879666666666,50.768909374950454,0,baselines/china_e3_e7/formal_algorithm_20260802/units/G1__PYVRP_HGS__S2026080206/solution.json,14b840236663be6d8c160a6bd1864d39d44d81609d6335a04281d847c2aecd1e,d7f54cf1a1cab6cfaf9eae597f91a70f404cf861857b10c14686fce4a7d293d9,16,10,,,"{""distance_only"": {""complete_search_evaluations"": 36, ""hgs_iterations"": 402, ""iteration_allocation"": 2000, ""no_improvement_limit"": 150, ""stop_reason"": ""NO_IMPROVEMENT_150"", ""wallclock_safety_triggered"": false}}",,
G1__HGS_F__S2026080206,4.2_five_algorithm_comparison,cn-prd-100c-01-V2-LOCATIONS,HGS_F,HGS-F,2026080206,PASS_FEASIBLE,True,3621.569907766804,482,39,100,1,2000,150,NO_IMPROVEMENT_150,21.46901299999999,0.35781695000000013,57.77230554097332,0,baselines/china_e3_e7/formal_algorithm_20260802/units/G1__HGS_F__S2026080206/solution.json,b42172a2be44e1a4807259d5474c49f72e11848b46013e6c18dd282bb97b4745,d7f54cf1a1cab6cfaf9eae597f91a70f404cf861857b10c14686fce4a7d293d9,16,10,,,"{""cv_only"": {""complete_search_evaluations"": 39, ""hgs_iterations"": 482, ""iteration_allocation"": 2000, ""no_improvement_limit"": 150, ""stop_reason"": ""NO_IMPROVEMENT_150"", ""wallclock_safety_triggered"": false}}",,
G1__HGS_E__S2026080206,4.2_five_algorithm_comparison,cn-prd-100c-01-V2-LOCATIONS,HGS_E,HGS-E,2026080206,PASS_FEASIBLE,True,3621.569907766804,549,41,100,1,2000,150,NO_IMPROVEMENT_150,23.341859,0.38903103333333366,63.4957583330106,0,baselines/china_e3_e7/formal_algorithm_20260802/units/G1__HGS_E__S2026080206/solution.json,58004182cefdcf860f9e5b8ea644729295579dda6de09820da84450f3ada7271,d7f54cf1a1cab6cfaf9eae597f91a70f404cf861857b10c14686fce4a7d293d9,16,10,,,"{""naive_ev"": {""complete_search_evaluations"": 41, ""hgs_iterations"": 549, ""iteration_allocation"": 2000, ""no_improvement_limit"": 150, ""stop_reason"": ""NO_IMPROVEMENT_150"", ""wallclock_safety_triggered"": false}}",,
G1__HGS_M__S2026080206,4.2_five_algorithm_comparison,cn-prd-100c-01-V2-LOCATIONS,HGS_M,HGS-M,2026080206,PASS_FEASIBLE,True,3621.569907766804,339,33,100,1,2000,150,NO_IMPROVEMENT_150,19.491145999999986,0.324852483333333,53.82843683299143,0,baselines/china_e3_e7/formal_algorithm_20260802/units/G1__HGS_M__S2026080206/solution.json,260b5cf99facd445ff72a5706c11628945b495929d45231106863a6d0307dbd1,d7f54cf1a1cab6cfaf9eae597f91a70f404cf861857b10c14686fce4a7d293d9,16,10,,,"{""mechanism_ev"": {""complete_search_evaluations"": 33, ""hgs_iterations"": 339, ""iteration_allocation"": 2000, ""no_improvement_limit"": 150, ""stop_reason"": ""NO_IMPROVEMENT_150"", ""wallclock_safety_triggered"": false}}",,
