arm,completed_stage_count,execution_status,feasible_cross_candidate_count,full_day_actual_total_emissions_kg,full_day_completed_customer_count,full_day_completed_demand,full_day_cross_site_customer_count,full_day_depot_profit_json,full_day_execution_solution_sha256,full_day_net_profit,full_day_predicted_total_emissions_kg,full_day_total_cost,full_day_total_revenue,minimum_stage_bilateral_profit_ratio,network,responsibility_condition,stream_seed
no_cooperation,3,PASS,0,1696.149554427121,114,50378.867241071246,0,"{""D0"": 2359.4588996011425, ""D1"": 2137.643836918451}",81aa475d69d3244d75c64467cba90a2b21574ddeba7b86a517dfd0148e61ec17,4497.102736519593,1686.697302836958,5042.6395642496545,9539.742300769249,1.0,N114,historical_mixed,4
no_participation,3,PASS,8,1757.2954148947072,114,50378.867241071246,1,"{""D0"": 2141.092350452461, ""D1"": 2202.0198019835634}",03488a3863a1a84467389298af637e764d7cbccc6320c47bdb65c6347237b481,4343.112152436024,1747.1247962740788,5196.6301483332245,9539.742300769249,0.9994234106811607,N114,historical_mixed,4
simple_insertion,3,PASS,0,1835.0788258458253,114,50378.867241071246,0,"{""D0"": 2091.8826681142577, ""D1"": 2089.7362207739075}",933c57d75eb140363bd03b0b85ef9c02184272bac515c89e4c6f2edda57abafd,4181.618888888165,1825.2048745944107,5358.123411881085,9539.74230076925,0.9833094126237881,N114,historical_mixed,4
full,1,PASS,18,1311.2211878931448,114,50657.29413198773,2,"{""D0"": 3103.9757798345736, ""D1"": 2300.955050071306}",c28f0bd3f50daefa14debd640a870c787b47b970eae9cc570d86666882283bc5,5404.930829905879,1304.0070770952666,4187.534386927317,9592.465216833196,1.0007634589773842,N114,historical_mixed,5
no_cooperation,1,PASS,0,1307.8213753536982,114,50657.29413198773,0,"{""D0"": 3101.778857178184, ""D1"": 2419.6659633728573}",8bc2dd2935e93fa88ec094b0a3ce96e6b5a05bf6a91af1c0c388371891e96461,5521.444820551042,1300.8156378082244,4071.020396282155,9592.465216833196,1.0000551416216246,N114,historical_mixed,5
no_participation,1,PASS,18,1311.2211878931448,114,50657.29413198773,2,"{""D0"": 3103.9757798345736, ""D1"": 2300.955050071306}",c28f0bd3f50daefa14debd640a870c787b47b970eae9cc570d86666882283bc5,5404.930829905879,1304.0070770952666,4187.534386927317,9592.465216833196,1.0007634589773842,N114,historical_mixed,5
simple_insertion,1,PASS,0,1322.3691788191609,114,50657.29413198773,0,"{""D0"": 3099.0715128497204, ""D1"": 2289.9239966528257}",b7e6f04f845ae312164c01ee9480c4fe6741913afc4016d6c3998f49946f3055,5388.995509502546,1315.1664257086159,4203.469707330651,9592.465216833196,0.9991822574669227,N114,historical_mixed,5
full,3,PASS,33,2627.382175233938,221,97232.54246947868,0,"{""D0"": 4461.3852111531305, ""D1"": 4870.457786370333}",d2aaa2bb31290310dc83a1f33dac40c14ea8541670410cacf96dda1094e62d32,9331.842997523465,2611.896396372731,9080.111244497011,18411.954242020474,1.0,N221,geographic,1
no_cooperation,3,PASS,0,2645.115216279258,221,97232.54246947868,0,"{""D0"": 4465.195622386898, ""D1"": 4873.14721103521}",5bc34ef40c453e61f87503679ac3ae9249cdfa41e32fe5a496cae94496e41b80,9338.342833422108,2629.7782237718443,9073.61140859837,18411.95424202048,1.0,N221,geographic,1
no_participation,3,PASS,33,2627.382175233938,221,97232.54246947868,0,"{""D0"": 4461.3852111531305, ""D1"": 4870.457786370333}",d2aaa2bb31290310dc83a1f33dac40c14ea8541670410cacf96dda1094e62d32,9331.842997523465,2611.896396372731,9080.111244497011,18411.954242020474,1.0,N221,geographic,1
