full_day_participation_floor_met,full_day_participation_margin_d0,full_day_participation_margin_d1,full_day_participation_ratio_d0,full_day_participation_ratio_d1,full_minimum_stage_bilateral_profit_ratio,full_minus_no_cooperation_completed_customer_count,full_minus_no_cooperation_completed_demand,full_minus_no_cooperation_cost,full_minus_no_cooperation_net_profit,full_minus_no_cooperation_revenue,full_minus_no_participation_completed_customer_count,full_minus_no_participation_completed_demand,full_minus_no_participation_net_profit,full_minus_no_participation_profit_d0,full_minus_no_participation_profit_d1,full_minus_no_participation_system_cost,full_minus_simple_insertion_completed_customer_count,full_minus_simple_insertion_completed_demand,network,no_participation_minimum_stage_bilateral_profit_ratio,policy_comparison_status,responsibility_condition,simple_insertion_minus_full_actual_total_emissions_kg,simple_insertion_minus_full_predicted_total_emissions_kg,stream_seed
True,47.22268568638083,25.694209228699947,1.0102636991327063,1.0054885933827722,1.0,0,0.0,-72.91689491507168,72.91689491508077,3.637978807091713e-12,0,0.0,0.0,0.0,0.0,0.0,0,0.0,N221,1.0,PASS_ALL_FOUR_ARMS_EXECUTABLE,geographic,101.44691000225203,101.64906864315844,4
True,13.360126293267967,202.27305975459512,1.0029829660062646,1.0408898869078398,1.0,0,0.0,-215.6331860478549,215.63318604786218,7.275957614183426e-12,0,0.0,0.0,0.0,0.0,0.0,0,0.0,N221,1.0,PASS_ALL_FOUR_ARMS_EXECUTABLE,geographic,220.94891885811194,220.94741071906128,5
False,-2.7809780488560136,283.6568226150266,0.9993548035125863,1.0776381341009484,1.0,0,0.0,-280.8758445661733,280.8758445661706,0.0,0,0.0,-13.009557799359754,14.287238188881929,-27.296795988241684,13.009557799359754,0,0.0,N221,0.9960399522435053,PASS_ALL_FOUR_ARMS_EXECUTABLE,historical_mixed,119.3168163265118,119.2762073183012,1
False,2.7770278660291297,-76.84444091825026,1.000682089999157,0.9796879645702912,1.0,0,0.0,74.06741305221658,-74.06741305222113,-3.637978807091713e-12,0,0.0,82.2998005338568,-105.2737611640814,187.5735616979382,-82.2998005338577,0,0.0,N221,0.9883264985022849,PASS_ALL_FOUR_ARMS_EXECUTABLE,historical_mixed,100.88877292234974,101.60850342605909,2
True,14.178075460154105,57.841191627076114,1.0033229232398497,1.015563770834531,1.0,0,0.0,-72.01926708723295,72.01926708723022,0.0,0,0.0,122.3793097614298,223.34709216810825,-100.96778240667845,-122.37930976143434,0,0.0,N221,0.9954694393381082,PASS_ALL_FOUR_ARMS_EXECUTABLE,historical_mixed,24.980531084547692,24.846544601156893,3
False,-86.50741633176222,-30.21190282237967,0.9799946063685353,0.9919840953413336,1.0,0,0.0,116.71931915414643,-116.71931915414189,0.0,0,0.0,-3.379547132899461,16.056003222984145,-19.435550355883606,3.379547132899461,0,0.0,N221,0.9942822258490772,PASS_ALL_FOUR_ARMS_EXECUTABLE,historical_mixed,47.98276218641786,47.909315955653256,4
False,202.93292273430689,-45.69948456752627,1.0490561837103274,0.9877199053857466,1.0,0,0.0,-157.23343816678062,157.23343816678062,0.0,0,0.0,-9.979292879409513,1.4133865248177244,-11.392679404227238,9.979292879408604,0,0.0,N221,0.9993783400483801,PASS_ALL_FOUR_ARMS_EXECUTABLE,historical_mixed,130.50720871129624,130.39305906604704,5
False,-120.46846716836899,400.0742674321309,0.9801439565231084,1.0524909027961622,1.0,0,0.0,-279.6058002637619,279.6058002637619,0.0,0,0.0,-156.13380509138005,-167.24687771268418,11.113072621304127,156.1338050913837,0,0.0,N322,0.9986416493894421,PASS_ALL_FOUR_ARMS_EXECUTABLE,geographic,63.16227667587873,63.10429462750244,1
False,24.3088093694314,-43.25108200282011,1.00399282924184,0.994453438592239,1.0,0,0.0,18.94227263339235,-18.942272633386892,7.275957614183426e-12,0,33.42150761568337,-80.47724757931974,0.0,-80.47724757932065,86.80594426143034,0,0.0,N322,0.9991361066279697,PASS_ALL_FOUR_ARMS_EXECUTABLE,geographic,47.29493523766814,47.201172479104116,2
True,59.319061280231836,241.228474030494,1.009518956682873,1.0322947700842064,1.0,0,0.0,-300.5475353107249,300.5475353107249,0.0,0,0.0,103.88433080835239,122.23051683844187,-18.346186030089484,-103.88433080835239,0,0.0,N322,0.9967066317263907,PASS_ALL_FOUR_ARMS_EXECUTABLE,geographic,108.3980565485358,107.92863793885408,3
False,-45.3386096835211,-305.73367846377096,0.9924217253180588,0.9611190005734278,1.0,0,0.0,351.07228814729024,-351.0722881472939,0.0,0,0.0,-529.3993852535204,-121.92018219387683,-407.4792030596427,529.3993852535186,-1,-802.0,N322,0.9984542615054656,PASS_ALL_FOUR_ARMS_EXECUTABLE,geographic,-104.27848330629877,-104.19934579537266,4
False,-186.7489413056037,47.34342801264029,0.9711576849566236,1.006138630556478,1.0,0,0.0,139.4055132929625,-139.40551329296432,0.0,0,0.0,0.0,0.0,0.0,0.0,-1,-318.0,N322,1.0,PASS_ALL_FOUR_ARMS_EXECUTABLE,geographic,72.830694642048,72.20753901605167,5
False,206.19733588430245,-94.88902469346158,1.0395784837020456,0.9866794648039241,1.0,0,0.0,-111.30831119084178,111.30831119084178,-3.637978807091713e-12,0,0.0,-249.02152182349892,-37.7160479939248,-211.30547382957502,249.0215218234971,-1,-702.0,N322,0.9999164825038728,PASS_ALL_FOUR_ARMS_EXECUTABLE,historical_mixed,138.50727989228926,137.91588466777011,1
True,114.45141934913954,3.9382940800605866,1.0218223064947916,1.0005644934967177,1.0,0,0.0,-118.38971342920013,118.38971342919831,3.637978807091713e-12,0,0.0,577.1937748495802,379.77416638048453,197.4196084690957,-577.193774849582,0,33.42150761568337,N322,0.9960900784349058,PASS_ALL_FOUR_ARMS_EXECUTABLE,historical_mixed,183.63813378180657,182.87396589959462,2
True,221.54721749981763,254.39005958296912,1.0416736747984183,1.037462954832671,1.0,1,345.0,-410.6080770827848,475.93727708278675,65.32920000000013,0,0.0,-138.29051771142986,-193.92639398244683,55.63587627101515,138.29051771143168,1,345.0,N322,0.9969629110332087,PASS_ALL_FOUR_ARMS_EXECUTABLE,historical_mixed,37.320462265370224,36.99719707418535,3
True,513.0506111025206,121.57981537996056,1.0994461986179869,1.0171904937812812,1.0,0,0.0,-634.6304264824848,634.6304264824812,-3.637978807091713e-12,0,0.0,53.47834844935096,-132.135494365898,185.61384281524806,-53.47834844934732,0,0.0,N322,0.9958998578407805,PASS_ALL_FOUR_ARMS_EXECUTABLE,historical_mixed,166.24184648890605,166.37179183307126,4
