spec_id,instance,condition,seed,saving_with_participation_vs_independent_pct,participation_premium_vs_unrestricted_pct,participation_cost_pct_points_vs_independent,unrestricted_minimum_profit_ratio,fair_minimum_profit_ratio,unrestricted_both_depots_no_worse,fair_cross_site_customer_count
L-main-threeshift-15c-01__geographic__seed2,L-main-threeshift-15c-01,geographic,2,0.0,0.972546546436873,0.963179180580142,0.9983902295432238,1.0,False,0
L-main-threeshift-15c-01__geographic__seed3,L-main-threeshift-15c-01,geographic,3,0.0,0.31543909756584987,0.31444720813020294,0.9917513157353804,1.0,False,0
L-main-threeshift-15c-01__mixed__seed1,L-main-threeshift-15c-01,mixed,1,26.9250134324026,0.0,0.0,1.2006247648974893,1.2006247648974893,True,14
L-main-threeshift-15c-01__mixed__seed2,L-main-threeshift-15c-01,mixed,2,19.952229076776884,5.9923778716739236,4.525575336538773,0.9838668704431057,1.1632972333418448,False,9
L-main-threeshift-15c-01__mixed__seed3,L-main-threeshift-15c-01,mixed,3,27.027926780972006,0.0,0.0,1.071478406387865,1.071478406387865,True,15
L-main-threeshift-200c-01__geographic__seed1,L-main-threeshift-200c-01,geographic,1,3.309372874137353,0.0,0.0,1.0163582125155157,1.0163582125155157,True,36
L-main-threeshift-200c-01__geographic__seed2,L-main-threeshift-200c-01,geographic,2,2.837176046342272,0.0,0.0,1.001889307087655,1.001889307087655,True,17
L-main-threeshift-200c-01__geographic__seed3,L-main-threeshift-200c-01,geographic,3,2.9878426533640012,0.0,0.0,1.0103707486084077,1.0103707486084077,True,2
L-main-threeshift-200c-01__mixed__seed1,L-main-threeshift-200c-01,mixed,1,15.986805556724907,0.0,0.0,1.1039416276677751,1.1039416276677751,True,192
L-main-threeshift-200c-01__mixed__seed2,L-main-threeshift-200c-01,mixed,2,22.893181657233225,0.0,0.0,1.1695775918373945,1.1695775918373945,True,228
L-main-threeshift-200c-01__mixed__seed3,L-main-threeshift-200c-01,mixed,3,22.641208482969287,0.0,0.0,1.1494532575414753,1.1494532575414753,True,243
L-main-threeshift-20c-01__geographic__seed1,L-main-threeshift-20c-01,geographic,1,0.0,6.947616646760619,6.496280015017108,0.681121512059023,1.0,False,0
L-main-threeshift-20c-01__geographic__seed2,L-main-threeshift-20c-01,geographic,2,0.9727916008351319,8.915235742321826,8.105853159711176,0.9618686091733766,1.0035555648491103,False,1
L-main-threeshift-20c-01__geographic__seed3,L-main-threeshift-20c-01,geographic,3,8.916055170668837,0.0,0.0,1.0255700233076352,1.0255700233076352,True,4
L-main-threeshift-20c-01__mixed__seed1,L-main-threeshift-20c-01,mixed,1,6.085301788138237,12.690618714049487,10.576174310268234,0.8384414322920396,1.0222939437413334,False,14
L-main-threeshift-20c-01__mixed__seed2,L-main-threeshift-20c-01,mixed,2,16.184661012067814,0.0,0.0,1.0711077614788358,1.0711077614788358,True,19
L-main-threeshift-20c-01__mixed__seed3,L-main-threeshift-20c-01,mixed,3,22.488427513098134,0.0,0.0,1.1588213760605002,1.1588213760605002,True,24
L-main-threeshift-25c-01__geographic__seed1,L-main-threeshift-25c-01,geographic,1,1.9675998479185712,5.2802005885382375,4.916695960733099,0.9236524102668717,1.002545076847669,False,4
L-main-threeshift-25c-01__geographic__seed2,L-main-threeshift-25c-01,geographic,2,0.12421097501832752,3.5383891889106303,3.41322107566422,0.932791908813604,1.0004106604538028,False,0
L-main-threeshift-25c-01__geographic__seed3,L-main-threeshift-25c-01,geographic,3,0.0,2.514173855933562,2.452513405089535,0.9639567737697193,1.0,False,0
L-main-threeshift-25c-01__mixed__seed1,L-main-threeshift-25c-01,mixed,1,15.07237501257078,0.0,0.0,1.0144401526590754,1.0144401526590754,True,20
L-main-threeshift-25c-01__mixed__seed2,L-main-threeshift-25c-01,mixed,2,22.54911334471603,0.0,0.0,1.0547599883421723,1.0547599883421723,True,21
L-main-threeshift-25c-01__mixed__seed3,L-main-threeshift-25c-01,mixed,3,9.207626360403555,4.480998535066993,3.8939185017239164,0.9002303404680954,1.0433914989806374,False,23
L-main-threeshift-50c-01__geographic__seed1,L-main-threeshift-50c-01,geographic,1,0.29413981825546565,0.0,0.0,1.0,1.0,True,0
L-main-threeshift-50c-01__geographic__seed2,L-main-threeshift-50c-01,geographic,2,0.15897504364519893,0.0,0.0,1.0,1.0,True,0
L-main-threeshift-50c-01__geographic__seed3,L-main-threeshift-50c-01,geographic,3,1.485245073234429,0.0,0.0,1.0005843686391394,1.0005843686391394,True,1
L-main-threeshift-50c-01__mixed__seed1,L-main-threeshift-50c-01,mixed,1,17.64535455221171,0.0,0.0,1.0310544601958824,1.0310544601958824,True,59
L-main-threeshift-50c-01__mixed__seed2,L-main-threeshift-50c-01,mixed,2,0.0,3.9593994530103744,3.808601698204329,0.8779198785670629,1.0,False,0
L-main-threeshift-50c-01__mixed__seed3,L-main-threeshift-50c-01,mixed,3,26.40768776744178,0.0,0.0,1.0949461622628531,1.0949461622628531,True,56
L-main-threeshift-75c-01__geographic__seed1,L-main-threeshift-75c-01,geographic,1,5.382130155949935,0.0,0.0,1.014997949949067,1.014997949949067,True,1
L-main-threeshift-75c-01__geographic__seed2,L-main-threeshift-75c-01,geographic,2,7.753285010064223,0.0,0.0,1.0252175112853334,1.0252175112853334,True,3
L-main-threeshift-75c-01__geographic__seed3,L-main-threeshift-75c-01,geographic,3,0.01938834167509157,1.0402058109842784,1.0292973217741208,0.999509426503793,1.0,False,0
L-main-threeshift-75c-01__mixed__seed1,L-main-threeshift-75c-01,mixed,1,16.707929146724915,0.0,0.0,1.0394799915474155,1.0394799915474155,True,70
L-main-threeshift-75c-01__mixed__seed2,L-main-threeshift-75c-01,mixed,2,28.765026393022836,0.0,0.0,1.157287700533394,1.157287700533394,True,80
L-main-threeshift-75c-01__mixed__seed3,L-main-threeshift-75c-01,mixed,3,0.2619158197120338,11.380339527391163,10.190786512228767,0.9206245291263466,1.0,False,0
