region,tier,comparison,single_view_mean_cost,mv_hgs_sp_mean_cost,difference_cny,outcome
prd,20,MV-HGS-SP_vs_HGS-E,1037.31870971164,1037.31870971164,0.0,tie
prd,20,MV-HGS-SP_vs_HGS-M,1037.31870971164,1037.31870971164,0.0,tie
prd,25,MV-HGS-SP_vs_HGS-F,1197.4155955041258,1179.6732387648274,17.74235673929843,win
prd,25,MV-HGS-SP_vs_HGS-E,1179.6732387648274,1179.6732387648274,0.0,tie
prd,25,MV-HGS-SP_vs_HGS-M,1179.6784710056809,1179.6732387648274,0.005232240853501935,win
prd,50,MV-HGS-SP_vs_HGS-F,2503.330860102054,2457.7992428065354,45.53161729551857,win
prd,50,MV-HGS-SP_vs_HGS-E,2457.7992428065354,2457.7992428065354,0.0,tie
prd,50,MV-HGS-SP_vs_HGS-M,2457.7992428065354,2457.7992428065354,0.0,tie
prd,75,MV-HGS-SP_vs_HGS-F,3736.052538643187,3728.991925874921,7.060612768265855,win
prd,75,MV-HGS-SP_vs_HGS-E,3728.991925874921,3728.991925874921,0.0,tie
prd,75,MV-HGS-SP_vs_HGS-M,3728.991925874921,3728.991925874921,0.0,tie
prd,100,MV-HGS-SP_vs_HGS-F,4680.875987141094,4636.495751202985,44.380235938108854,win
prd,100,MV-HGS-SP_vs_HGS-E,4637.431524223865,4636.495751202985,0.9357730208803332,win
prd,100,MV-HGS-SP_vs_HGS-M,4636.697722625119,4636.495751202985,0.20197142213419284,win
prd,150,MV-HGS-SP_vs_HGS-F,7153.396300254557,7104.6039711408785,48.792329113678534,win
prd,150,MV-HGS-SP_vs_HGS-E,7134.879380064027,7104.6039711408785,30.27540892314846,win
prd,150,MV-HGS-SP_vs_HGS-M,7160.394185502265,7104.6039711408785,55.79021436138646,win
prd,200,MV-HGS-SP_vs_HGS-F,9891.839262807576,9843.003666812328,48.835595995247786,win
prd,200,MV-HGS-SP_vs_HGS-E,9862.180890817499,9843.003666812328,19.1772240051705,win
prd,200,MV-HGS-SP_vs_HGS-M,9884.540332361039,9843.003666812328,41.536665548710516,win
cy,10,MV-HGS-SP_vs_HGS-F,632.657519963863,626.8671946134654,5.790325350397666,win
cy,10,MV-HGS-SP_vs_HGS-E,627.0921887547865,626.8671946134654,0.22499414132119,win
cy,10,MV-HGS-SP_vs_HGS-M,626.8671946134654,626.8671946134654,0.0,tie
cy,15,MV-HGS-SP_vs_HGS-F,916.3153669773628,915.0016094807283,1.31375749663448,win
cy,15,MV-HGS-SP_vs_HGS-E,915.0016094807283,915.0016094807283,0.0,tie
cy,15,MV-HGS-SP_vs_HGS-M,915.0016094807283,915.0016094807283,0.0,tie
cy,20,MV-HGS-SP_vs_HGS-F,1227.8582726909633,1218.2359308493772,9.622341841586149,win
cy,20,MV-HGS-SP_vs_HGS-E,1218.2359308493772,1218.2359308493772,0.0,tie
cy,20,MV-HGS-SP_vs_HGS-M,1218.2359308493772,1218.2359308493772,0.0,tie
cy,25,MV-HGS-SP_vs_HGS-F,1426.2847999472353,1402.9636910204702,23.32110892676519,win
cy,25,MV-HGS-SP_vs_HGS-E,1410.787379043429,1402.9636910204702,7.823688022958777,win
cy,25,MV-HGS-SP_vs_HGS-M,1403.9467114803667,1402.9636910204702,0.9830204598965793,win
cy,50,MV-HGS-SP_vs_HGS-F,2693.0897261605664,2614.8729223318273,78.2168038287391,win
cy,50,MV-HGS-SP_vs_HGS-E,2614.8729223318273,2614.8729223318273,0.0,tie
cy,50,MV-HGS-SP_vs_HGS-M,2614.8729223318273,2614.8729223318273,0.0,tie
cy,75,MV-HGS-SP_vs_HGS-F,3768.42279426198,3662.182003790127,106.24079047185296,win
cy,75,MV-HGS-SP_vs_HGS-E,3663.1342923279485,3662.182003790127,0.9522885378214596,win
cy,75,MV-HGS-SP_vs_HGS-M,3662.4400506287743,3662.182003790127,0.2580468386472603,win
cy,100,MV-HGS-SP_vs_HGS-F,5017.147144619994,4958.794305520925,58.35283909906866,win
cy,100,MV-HGS-SP_vs_HGS-E,4960.714352835655,4958.794305520925,1.920047314729345,win
cy,100,MV-HGS-SP_vs_HGS-M,4969.881584501037,4958.794305520925,11.087278980111478,win
cy,150,MV-HGS-SP_vs_HGS-F,7557.964401506709,7467.995624688905,89.9687768178037,win
cy,150,MV-HGS-SP_vs_HGS-E,7484.8671036360365,7467.995624688905,16.871478947131436,win
cy,150,MV-HGS-SP_vs_HGS-M,7501.685843649672,7467.995624688905,33.6902189607672,win
cy,200,MV-HGS-SP_vs_HGS-F,9659.295279142141,9658.49592364962,0.7993554925214994,win
cy,200,MV-HGS-SP_vs_HGS-E,9673.03805447847,9658.49592364962,14.542130828849622,win
cy,200,MV-HGS-SP_vs_HGS-M,9677.579385486095,9658.49592364962,19.08346183647518,win
