task_id,instance_id,region,arm,charge_timing_policy,seed,solver,mip_invoked,initial_time_limit_seconds,final_time_limit_seconds,actual_elapsed_seconds,time_limit_reached,finished_before_time_limit,incumbent_available,status,status_class,optimality_proven,extended,extension_count,extension_supported,incumbent_trace_supported,extension_unavailable_reason
T24__CY__COST__S2026080209,cn-cy-100c-01-V2-LOCATIONS,CY,COST,cost_min,2026080209,scipy.optimize.milp/HiGHS,True,10.0,10.0,10.086389208000128,True,False,True,1,REJECTED_COMPLETE_MODEL_VIOLATIONS,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
T24__CY__COST__S2026080210,cn-cy-100c-01-V2-LOCATIONS,CY,COST,cost_min,2026080210,scipy.optimize.milp/HiGHS,True,10.0,10.0,10.158238250000068,True,False,True,1,REJECTED_COMPLETE_MODEL_VIOLATIONS,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
T24__JJJ__ASAP__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,ASAP,asap,2026080201,scipy.optimize.milp/HiGHS,True,10.0,10.0,10.059926666999672,True,False,False,1,NO_INCUMBENT,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
T24__JJJ__ASAP__S2026080202,cn-jjj-100c-01-V2-LOCATIONS,JJJ,ASAP,asap,2026080202,scipy.optimize.milp/HiGHS,True,10.0,10.0,10.058128833999945,True,False,True,1,REJECTED_COMPLETE_MODEL_VIOLATIONS,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
T24__JJJ__ASAP__S2026080203,cn-jjj-100c-01-V2-LOCATIONS,JJJ,ASAP,asap,2026080203,scipy.optimize.milp/HiGHS,True,10.0,10.0,10.009868915999505,True,False,True,1,REJECTED_COMPLETE_MODEL_VIOLATIONS,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
T24__JJJ__ASAP__S2026080204,cn-jjj-100c-01-V2-LOCATIONS,JJJ,ASAP,asap,2026080204,scipy.optimize.milp/HiGHS,True,10.0,10.0,10.007059540999762,True,False,True,1,REJECTED_COMPLETE_MODEL_VIOLATIONS,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
T24__JJJ__ASAP__S2026080205,cn-jjj-100c-01-V2-LOCATIONS,JJJ,ASAP,asap,2026080205,scipy.optimize.milp/HiGHS,True,10.0,10.0,10.007939000000079,True,False,True,1,REJECTED_COMPLETE_MODEL_VIOLATIONS,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
T24__JJJ__ASAP__S2026080206,cn-jjj-100c-01-V2-LOCATIONS,JJJ,ASAP,asap,2026080206,scipy.optimize.milp/HiGHS,True,10.0,10.0,10.013799958000163,True,False,True,1,REJECTED_COMPLETE_MODEL_VIOLATIONS,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
T24__JJJ__ASAP__S2026080207,cn-jjj-100c-01-V2-LOCATIONS,JJJ,ASAP,asap,2026080207,scipy.optimize.milp/HiGHS,True,10.0,10.0,10.006459957999141,True,False,False,1,NO_INCUMBENT,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
T24__JJJ__ASAP__S2026080208,cn-jjj-100c-01-V2-LOCATIONS,JJJ,ASAP,asap,2026080208,scipy.optimize.milp/HiGHS,True,10.0,10.0,10.00670720800008,True,False,True,1,REJECTED_COMPLETE_MODEL_VIOLATIONS,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
