instance_id,region,seed,baseline_arm,comparison_arm,baseline_actual_carbon_intensity,comparison_actual_carbon_intensity,intensity_layer_reduction_pct,charging_emissions_reduction_pct,system_emissions_reduction_pct,outcome
cn-jjj-100c-01-V2-LOCATIONS,JJJ,2026080206,ASAP,COST_CARBON,0.5767418885360206,0.5393337086761516,6.486121539537293,6.486121539537289,1.19148628578952,improved
cn-jjj-100c-01-V2-LOCATIONS,JJJ,2026080206,COST,COST_CARBON,0.5758365776224125,0.5393337086761516,6.339102162800872,6.339102162800856,1.162986615233406,improved
cn-jjj-100c-01-V2-LOCATIONS,JJJ,2026080207,ASAP,COST_CARBON,0.5680035644812432,0.5298108010163215,6.724035878155646,6.72403587815564,1.3383948220222521,improved
cn-jjj-100c-01-V2-LOCATIONS,JJJ,2026080207,COST,COST_CARBON,0.553148108964864,0.5298108010163215,4.21899805320041,4.218998053200414,0.822092499235144,improved
cn-jjj-100c-01-V2-LOCATIONS,JJJ,2026080208,ASAP,COST_CARBON,0.5787117199300514,0.5397036737477536,6.740497010672721,6.740497010672716,1.3142634781606062,improved
cn-jjj-100c-01-V2-LOCATIONS,JJJ,2026080208,COST,COST_CARBON,0.5778806742335202,0.5397036737477536,6.606381245817423,6.606381245817409,1.2866240437877807,improved
cn-jjj-100c-01-V2-LOCATIONS,JJJ,2026080209,ASAP,COST_CARBON,0.657045262220526,0.6059871026305296,7.770874021287682,7.770874021287681,1.2454996629742408,improved
cn-jjj-100c-01-V2-LOCATIONS,JJJ,2026080209,COST,COST_CARBON,0.6463627647451484,0.6059871026305296,6.246594685963754,6.246594685963761,0.9874868100464295,improved
cn-jjj-100c-01-V2-LOCATIONS,JJJ,2026080210,ASAP,COST_CARBON,0.5939057493734959,0.5599860216215676,5.711298095313915,5.71129809531391,1.285272323857328,improved
cn-jjj-100c-01-V2-LOCATIONS,JJJ,2026080210,COST,COST_CARBON,0.5931317338783878,0.5599860216215676,5.588254744032321,5.588254744032327,1.2563121078894601,improved
cn-prd-100c-01-V2-LOCATIONS,PRD,2026080201,ASAP,COST_CARBON,0.36453024148506546,0.2999125179710935,17.726299812801493,17.726299812801493,1.1829382521993772,improved
cn-prd-100c-01-V2-LOCATIONS,PRD,2026080201,COST,COST_CARBON,0.3571720830765946,0.2999125179710935,16.03136634091919,16.031366340919195,1.0496484582572025,improved
cn-prd-100c-01-V2-LOCATIONS,PRD,2026080202,ASAP,COST_CARBON,0.2993783162395022,0.2466138131555775,17.624690975185104,17.624690975185104,1.2361517269320397,improved
cn-prd-100c-01-V2-LOCATIONS,PRD,2026080202,COST,COST_CARBON,0.28422206503353453,0.2466138131555775,13.231995859828734,13.231995859828737,0.8842150353649408,improved
cn-prd-100c-01-V2-LOCATIONS,PRD,2026080203,ASAP,COST_CARBON,0.36387726140073184,0.3005497255896221,17.40354304287461,17.40354304287461,1.1422121608660263,improved
cn-prd-100c-01-V2-LOCATIONS,PRD,2026080203,COST,COST_CARBON,0.3412233766257453,0.3005497255896221,11.919948579822583,11.919948579822584,0.7366233904825109,improved
cn-prd-100c-01-V2-LOCATIONS,PRD,2026080204,ASAP,COST_CARBON,0.3643535136673487,0.300084977000945,17.639060488128095,17.6390604881281,1.0943391852979534,improved
cn-prd-100c-01-V2-LOCATIONS,PRD,2026080204,COST,COST_CARBON,0.3476202942379596,0.300084977000945,13.674494275778624,13.67449427577863,0.8117253747321675,improved
cn-prd-100c-01-V2-LOCATIONS,PRD,2026080205,ASAP,COST_CARBON,0.29388071697871015,0.24141520633459443,17.852655044364997,17.852655044364997,1.2213901087771455,improved
cn-prd-100c-01-V2-LOCATIONS,PRD,2026080205,COST,COST_CARBON,0.2767688354428585,0.24141520633459443,12.773703026099257,12.773703026099268,0.8263195285565853,improved
cn-prd-100c-01-V2-LOCATIONS,PRD,2026080206,ASAP,COST_CARBON,0.2842061387868951,0.2362478915494415,16.87445860323724,16.87445860323725,0.8495424755468685,improved
cn-prd-100c-01-V2-LOCATIONS,PRD,2026080206,COST,COST_CARBON,0.27403408196693974,0.2362478915494415,13.78886529233136,13.788865292331364,0.6705608054041914,improved
cn-prd-100c-01-V2-LOCATIONS,PRD,2026080207,ASAP,COST_CARBON,0.3647065773264948,0.29974044144950834,17.813261376645556,17.813261376645553,1.1116351674557323,improved
cn-prd-100c-01-V2-LOCATIONS,PRD,2026080207,COST,COST_CARBON,0.355639763370896,0.29974044144950834,15.717961735085947,15.717961735085945,0.9579791973915247,improved
cn-prd-100c-01-V2-LOCATIONS,PRD,2026080208,ASAP,COST_CARBON,0.29295724229959286,0.2421334497714004,17.34853596014448,17.348535960144478,1.2890158672297651,improved
cn-prd-100c-01-V2-LOCATIONS,PRD,2026080208,COST,COST_CARBON,0.2805530557066706,0.2421334497714004,13.694238987523075,13.694238987523086,0.9774905027417617,improved
cn-prd-100c-01-V2-LOCATIONS,PRD,2026080209,ASAP,COST_CARBON,0.2937205287628906,0.24236183402341027,17.48556526021382,17.48556526021382,1.1756244928683663,improved
cn-prd-100c-01-V2-LOCATIONS,PRD,2026080209,COST,COST_CARBON,0.278087747831637,0.24236183402341027,12.846993111633344,12.846993111633337,0.8207197181695729,improved
cn-prd-100c-01-V2-LOCATIONS,PRD,2026080210,ASAP,COST_CARBON,0.3644854161001616,0.29995626061723246,17.704180368411873,17.704180368411873,1.0917671732090182,improved
cn-prd-100c-01-V2-LOCATIONS,PRD,2026080210,COST,COST_CARBON,0.36135160513375764,0.29995626061723246,16.990472338928484,16.990472338928477,1.0392973480715044,improved
