task_id,instance_id,region,arm,charge_timing_policy,seed,depot_id,slot_index,slot_start_second,slot_end_second,charging_energy_kwh,electricity_cost_cny,charging_emissions_kgco2e
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,D_chongqing,18,32400,34200,0.0,0.0,0.0
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,D_chongqing,19,34200,36000,0.0,0.0,0.0
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,D_chongqing,20,36000,37800,0.0,0.0,0.0
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,D_chongqing,21,37800,39600,0.0,0.0,0.0
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,D_chongqing,22,39600,41400,0.0,0.0,0.0
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,D_chongqing,23,41400,43200,0.0,0.0,0.0
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,D_chongqing,24,43200,45000,0.0,0.0,0.0
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,D_chongqing,25,45000,46800,0.0,0.0,0.0
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,D_chongqing,26,46800,48600,0.0,0.0,0.0
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,D_chongqing,27,48600,50400,0.0,0.0,0.0
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,D_chongqing,28,50400,52200,0.0,0.0,0.0
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,D_chongqing,29,52200,54000,0.0,0.0,0.0
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,D_chongqing,30,54000,55800,7.357844560892461,9.033865899884471,1.2008002323376497
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,D_chongqing,31,55800,57600,11.0,13.505657,1.7952000000000004
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,D_chongqing,32,57600,59400,11.0,13.505657,2.0998999999999994
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,D_chongqing,33,59400,61200,2.0932872888888596,2.5701109205629864,0.39960854344888325
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,D_chongqing,34,61200,63000,0.0,0.0,0.0
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,D_chongqing,35,63000,64800,0.0,0.0,0.0
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,D_chongqing,36,64800,66600,0.0,0.0,0.0
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,D_chongqing,37,66600,68400,0.0,0.0,0.0
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,D_chongqing,38,68400,70200,0.0,0.0,0.0
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,D_chongqing,39,70200,72000,0.0,0.0,0.0
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,D_chongqing,40,72000,73800,0.0,0.0,0.0
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,D_chongqing,41,73800,75600,0.0,0.0,0.0
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,D_chongqing,42,75600,77400,0.0,0.0,0.0
