rank,model_label,checkpoint_update,n,mean_best_obj,std_best_obj,min_best_obj,max_best_obj,mean_actual_eval_fraction,model_path
19,checkpoint_0190,190,5,3823.054635077247,1935.140704939906,1764.4490893154866,6519.197108970301,0.4,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot16\train_final\checkpoints\async_block_ppo_update_0190.pt
20,checkpoint_0180,180,5,3823.054635077247,1935.140704939906,1764.4490893154866,6519.197108970301,0.4,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot16\train_final\checkpoints\async_block_ppo_update_0180.pt
21,checkpoint_0170,170,5,3823.054635077247,1935.140704939906,1764.4490893154866,6519.197108970301,0.4,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot16\train_final\checkpoints\async_block_ppo_update_0170.pt
22,checkpoint_0160,160,5,3823.054635077247,1935.140704939906,1764.4490893154866,6519.197108970301,0.4,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot16\train_final\checkpoints\async_block_ppo_update_0160.pt
23,checkpoint_0150,150,5,3823.054635077247,1935.140704939906,1764.4490893154866,6519.197108970301,0.4,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot16\train_final\checkpoints\async_block_ppo_update_0150.pt
24,checkpoint_0140,140,5,3823.054635077247,1935.140704939906,1764.4490893154866,6519.197108970301,0.4,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot16\train_final\checkpoints\async_block_ppo_update_0140.pt
25,checkpoint_0130,130,5,3823.054635077247,1935.140704939906,1764.4490893154866,6519.197108970301,0.4,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot16\train_final\checkpoints\async_block_ppo_update_0130.pt
26,checkpoint_0120,120,5,3823.054635077247,1935.140704939906,1764.4490893154866,6519.197108970301,0.4,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot16\train_final\checkpoints\async_block_ppo_update_0120.pt
27,checkpoint_0110,110,5,3823.054635077247,1935.140704939906,1764.4490893154866,6519.197108970301,0.44000000000000006,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot16\train_final\checkpoints\async_block_ppo_update_0110.pt
28,checkpoint_0100,100,5,3834.232900352654,1950.7759438804608,1770.782166933431,6568.75535772939,0.4,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot16\train_final\checkpoints\async_block_ppo_update_0100.pt
29,checkpoint_0090,90,5,3834.232900352654,1950.7759438804608,1770.782166933431,6568.75535772939,0.4,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot16\train_final\checkpoints\async_block_ppo_update_0090.pt
30,checkpoint_0080,80,5,3834.232900352654,1950.7759438804608,1770.782166933431,6568.75535772939,0.4,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot16\train_final\checkpoints\async_block_ppo_update_0080.pt
31,checkpoint_0070,70,5,3834.232900352654,1950.7759438804608,1770.782166933431,6568.75535772939,0.4,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot16\train_final\checkpoints\async_block_ppo_update_0070.pt
32,checkpoint_0060,60,5,3834.232900352654,1950.7759438804608,1770.782166933431,6568.75535772939,0.4,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot16\train_final\checkpoints\async_block_ppo_update_0060.pt
33,checkpoint_0050,50,5,3834.232900352654,1950.7759438804608,1770.782166933431,6568.75535772939,0.4800000000000001,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot16\train_final\checkpoints\async_block_ppo_update_0050.pt
34,checkpoint_0040,40,5,3834.232900352654,1950.7759438804608,1770.782166933431,6568.75535772939,0.8,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot16\train_final\checkpoints\async_block_ppo_update_0040.pt
35,checkpoint_0030,30,5,3834.232900352654,1950.7759438804608,1770.782166933431,6568.75535772939,0.8,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot16\train_final\checkpoints\async_block_ppo_update_0030.pt
36,checkpoint_0020,20,5,3834.232900352654,1950.7759438804608,1770.782166933431,6568.75535772939,1.0,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot16\train_final\checkpoints\async_block_ppo_update_0020.pt
37,checkpoint_0010,10,5,3834.232900352654,1950.7759438804608,1770.782166933431,6568.75535772939,0.8,solver\reports\dr_alns_ppo_v3_block_dr_alns\async_pilot\pilot16\train_final\checkpoints\async_block_ppo_update_0010.pt
