scale,bundle,left_algorithm,baseline_algorithm,paired_n,wins,mean_relative_pct,std_relative_pct,min_relative_pct,max_relative_pct
200,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-200c-01,ppo_block_best,alpha_ucb_meta_tuned,5,0,0.0,0.0,0.0,0.0
200,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-200c-01,ppo_block_best,official_winner_kernel,3,0,0.0,0.0,0.0,0.0
200,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-200c-01,ppo_block_best,ppo_block_final,3,0,0.0,0.0,0.0,0.0
200,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-200c-01,ppo_block_best,random_block,3,0,0.0,0.0,0.0,0.0
200,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-200c-01,ppo_block_best,scikit-opt-SA,3,3,1.1916485538664432,0.0,1.1916485538664432,1.1916485538664432
200,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-200c-02,ppo_block_best,alpha_ucb_block,5,5,0.3185269046339811,0.0,0.3185269046339811,0.3185269046339811
200,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-200c-02,ppo_block_best,alpha_ucb_meta_tuned,5,5,0.3185269046339811,0.0,0.3185269046339811,0.3185269046339811
200,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-200c-02,ppo_block_best,official_winner_kernel,3,3,0.3185269046339811,0.0,0.3185269046339811,0.3185269046339811
200,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-200c-02,ppo_block_best,ppo_block_final,3,0,0.0,0.0,0.0,0.0
200,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-200c-02,ppo_block_best,random_block,3,3,0.3185269046339811,0.0,0.3185269046339811,0.3185269046339811
200,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-200c-02,ppo_block_best,scikit-opt-SA,3,3,1.4168311587853974,0.18105497757664907,1.2077668787013973,1.5213632988273973
200,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-200c-03,ppo_block_best,alpha_ucb_block,5,5,0.7544541706942154,0.0,0.7544541706942154,0.7544541706942154
200,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-200c-03,ppo_block_best,alpha_ucb_meta_tuned,5,5,0.7544541706942154,0.0,0.7544541706942154,0.7544541706942154
200,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-200c-03,ppo_block_best,official_winner_kernel,3,3,0.7544541706942155,0.0,0.7544541706942154,0.7544541706942154
200,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-200c-03,ppo_block_best,ppo_block_final,3,0,0.0,0.0,0.0,0.0
200,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-200c-03,ppo_block_best,random_block,3,3,0.7544541706942155,0.0,0.7544541706942154,0.7544541706942154
200,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-200c-03,ppo_block_best,scikit-opt-SA,3,3,1.947673181748062,0.0,1.947673181748062,1.947673181748062
50,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-50c-01,ppo_block_best,alpha_ucb_block,5,0,0.0,0.0,0.0,0.0
50,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-50c-01,ppo_block_best,alpha_ucb_meta_tuned,5,0,0.0,0.0,0.0,0.0
50,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-50c-01,ppo_block_best,official_winner_kernel,3,0,0.0,0.0,0.0,0.0
50,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-50c-01,ppo_block_best,ppo_block_final,3,0,0.0,0.0,0.0,0.0
50,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-50c-01,ppo_block_best,random_block,3,0,0.0,0.0,0.0,0.0
50,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-50c-01,ppo_block_best,scikit-opt-SA,3,3,4.474860498483519,0.0,4.474860498483519,4.474860498483519
50,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-50c-02,ppo_block_best,alpha_ucb_block,5,0,0.0,0.0,0.0,0.0
50,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-50c-02,ppo_block_best,alpha_ucb_meta_tuned,5,0,0.0,0.0,0.0,0.0
50,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-50c-02,ppo_block_best,official_winner_kernel,3,0,0.0,0.0,0.0,0.0
50,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-50c-02,ppo_block_best,ppo_block_final,3,0,0.0,0.0,0.0,0.0
50,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-50c-02,ppo_block_best,random_block,3,0,0.0,0.0,0.0,0.0
50,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-50c-02,ppo_block_best,scikit-opt-SA,3,3,5.001982154419052,0.0,5.001982154419052,5.001982154419052
50,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-50c-03,ppo_block_best,alpha_ucb_block,5,5,0.35764295214875147,0.0,0.35764295214875147,0.35764295214875147
50,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-50c-03,ppo_block_best,alpha_ucb_meta_tuned,5,5,0.35764295214875147,0.0,0.35764295214875147,0.35764295214875147
50,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-50c-03,ppo_block_best,official_winner_kernel,3,3,0.35764295214875147,0.0,0.35764295214875147,0.35764295214875147
50,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-50c-03,ppo_block_best,ppo_block_final,3,0,0.0,0.0,0.0,0.0
50,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-50c-03,ppo_block_best,random_block,3,3,0.35764295214875147,0.0,0.35764295214875147,0.35764295214875147
50,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-50c-03,ppo_block_best,scikit-opt-SA,3,3,4.444500782307939,0.0,4.444500782307939,4.444500782307939
75,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-75c-01,ppo_block_best,alpha_ucb_block,5,5,1.1497815169499723,0.0,1.1497815169499723,1.1497815169499723
75,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-75c-01,ppo_block_best,alpha_ucb_meta_tuned,5,5,1.1497815169499723,0.0,1.1497815169499723,1.1497815169499723
75,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-75c-01,ppo_block_best,official_winner_kernel,3,3,1.1497815169499723,0.0,1.1497815169499723,1.1497815169499723
75,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-75c-01,ppo_block_best,ppo_block_final,3,0,0.0,0.0,0.0,0.0
75,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-75c-01,ppo_block_best,random_block,3,3,1.1497815169499723,0.0,1.1497815169499723,1.1497815169499723
75,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-75c-01,ppo_block_best,scikit-opt-SA,3,3,3.8161656695080945,0.2365475523316418,3.5430240834784534,3.952736462522915
75,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-75c-02,ppo_block_best,alpha_ucb_block,5,0,0.0,0.0,0.0,0.0
75,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-75c-02,ppo_block_best,alpha_ucb_meta_tuned,5,0,0.0,0.0,0.0,0.0
75,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-75c-02,ppo_block_best,official_winner_kernel,3,0,0.0,0.0,0.0,0.0
75,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-75c-02,ppo_block_best,ppo_block_final,3,0,0.0,0.0,0.0,0.0
75,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-75c-02,ppo_block_best,random_block,3,0,0.0,0.0,0.0,0.0
75,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-75c-02,ppo_block_best,scikit-opt-SA,3,3,3.2589535901847086,0.0,3.258953590184709,3.258953590184709
75,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-75c-03,ppo_block_best,alpha_ucb_block,5,0,0.0,0.0,0.0,0.0
75,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-75c-03,ppo_block_best,alpha_ucb_meta_tuned,5,0,0.0,0.0,0.0,0.0
75,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-75c-03,ppo_block_best,official_winner_kernel,3,0,0.0,0.0,0.0,0.0
75,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-75c-03,ppo_block_best,ppo_block_final,3,0,0.0,0.0,0.0,0.0
75,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-75c-03,ppo_block_best,random_block,3,0,0.0,0.0,0.0,0.0
75,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-75c-03,ppo_block_best,scikit-opt-SA,3,3,3.2380405448651666,0.0036756681230664056,3.233796248904558,3.2401626928454705
