algorithm,bundle,seed,eval_budget,best_obj,actual_evals,candidate_scores,repair_delta_count,operator_base_id,control_mode,violation_count,feasible,solution_signature_hash,operator_counts,destroy_counts,repair_counts,q_ratio_counts,worker_python_executable,worker_python_version,worker_numpy_version,elapsed_seconds,runtime_target_seconds,model_label,checkpoint_update,eval_mode,bundle_role,scale,selection_subset,actual_eval_fraction,candidate_generator_mode,search_control_mode,candidate_nondefault_count,search_noncontinue_count,stop_requested_count,meta_q_ratio,meta_threshold_ratio,meta_exploration_ratio
scikit-opt-SA,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-50c-01,3,20,1783.6949728422799,20,20,0,,fair_sa_timed,0,1,0767e6e22494edde48ef3416a647818d1dcb3e5e973a38a780cb7f4d982bdcc2,"{""sa_metropolis_path_move"":20}",{},{},{},C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,0.6566589999711141,0.0,,-1,budget,formal,50,,1.0,0,0,0,0,0,,,
alpha_ucb_block,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-50c-01,4,20,1703.8771110891244,20,20,1737,winner_kernel_v1,block_ppo,0,1,3033035513e9bb3bb10eb578753122cd1e4213cf0cda17e1efba0cfe8d55b22d,{},"{""random_customer_removal"":1,""shaw_related_removal"":1,""vehicle_type_swap"":1,""whole_route_removal"":1,""worst_customer_removal"":1}","{""greedy_insert_repair"":2,""regret2_insert_repair"":2,""regret3_insert_repair"":1}","{""0.160000"":5}",C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,0.8836940000765026,0.0,,-1,budget,formal,50,,1.0,0,0,0,0,0,,,
alpha_ucb_meta_tuned,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-50c-01,4,20,1703.8771110891244,20,20,13601,winner_kernel_v1,block_ppo,0,1,3033035513e9bb3bb10eb578753122cd1e4213cf0cda17e1efba0cfe8d55b22d,{},"{""shaw_related_removal"":1,""vehicle_type_swap"":1,""whole_route_removal"":1,""worst_customer_removal"":2}","{""greedy_insert_repair"":2,""regret2_insert_repair"":2,""regret3_insert_repair"":1}","{""0.400000"":5}",C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,1.93753730005119,0.0,,-1,budget,formal,50,,1.0,0,0,0,0,0,0.4,0.0025,0.15
ppo_block_best,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-50c-01,4,20,1703.8771110891244,8,8,5076,,block_ppo,0,1,3033035513e9bb3bb10eb578753122cd1e4213cf0cda17e1efba0cfe8d55b22d,{},"{""random_customer_removal"":3}","{""regret2_insert_repair"":3}","{""0.100000"":3}",C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,2.0031394999241456,0.0,best,375,budget,formal,50,,0.4,1,1,3,1,1,,,
alpha_ucb_block,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-50c-01,5,20,1703.8771110891244,20,20,1867,winner_kernel_v1,block_ppo,0,1,3033035513e9bb3bb10eb578753122cd1e4213cf0cda17e1efba0cfe8d55b22d,{},"{""random_customer_removal"":1,""shaw_related_removal"":1,""vehicle_type_swap"":1,""whole_route_removal"":1,""worst_customer_removal"":1}","{""greedy_insert_repair"":2,""regret2_insert_repair"":2,""regret3_insert_repair"":1}","{""0.160000"":5}",C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,0.8828133000060916,0.0,,-1,budget,formal,50,,1.0,0,0,0,0,0,,,
alpha_ucb_meta_tuned,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-50c-01,5,20,1703.8771110891244,20,20,11470,winner_kernel_v1,block_ppo,0,1,3033035513e9bb3bb10eb578753122cd1e4213cf0cda17e1efba0cfe8d55b22d,{},"{""route_segment_removal"":1,""shaw_related_removal"":1,""vehicle_type_swap"":1,""whole_route_removal"":1,""worst_customer_removal"":1}","{""greedy_insert_repair"":2,""regret2_insert_repair"":1,""regret3_insert_repair"":2}","{""0.400000"":5}",C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,1.7688693000236526,0.0,,-1,budget,formal,50,,1.0,0,0,0,0,0,0.4,0.0025,0.15
ppo_block_best,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-50c-01,5,20,1703.8771110891244,8,8,5076,,block_ppo,0,1,3033035513e9bb3bb10eb578753122cd1e4213cf0cda17e1efba0cfe8d55b22d,{},"{""random_customer_removal"":3}","{""regret2_insert_repair"":3}","{""0.100000"":3}",C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,1.952929199906066,0.0,best,375,budget,formal,50,,0.4,1,1,3,1,1,,,
alpha_ucb_block,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-50c-02,1,20,1604.030331597096,20,20,1986,winner_kernel_v1,block_ppo,0,1,d2c10a73ee00b7b71b778b26b64b69e60f1bf70b70fc5a52c808c9bfc4d38739,{},"{""random_customer_removal"":1,""shaw_related_removal"":1,""vehicle_type_swap"":1,""whole_route_removal"":1,""worst_customer_removal"":1}","{""greedy_insert_repair"":2,""regret2_insert_repair"":2,""regret3_insert_repair"":1}","{""0.160000"":5}",C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,0.9400686000008136,0.0,,-1,budget,formal,50,,1.0,0,0,0,0,0,,,
alpha_ucb_meta_tuned,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-50c-02,1,20,1604.030331597096,20,20,10239,winner_kernel_v1,block_ppo,0,1,d2c10a73ee00b7b71b778b26b64b69e60f1bf70b70fc5a52c808c9bfc4d38739,{},"{""shaw_related_removal"":2,""vehicle_type_swap"":1,""whole_route_removal"":1,""worst_customer_removal"":1}","{""greedy_insert_repair"":2,""regret2_insert_repair"":2,""regret3_insert_repair"":1}","{""0.400000"":5}",C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,1.708809999981895,0.0,,-1,budget,formal,50,,1.0,0,0,0,0,0,0.4,0.0025,0.15
official_winner_kernel,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-50c-02,1,20,1604.030331597096,20,20,0,winner_kernel_v1,official_kernel,0,1,0534fe1722956ba8d5836fb5d10fe26ceddef54605c001691a24f27be58201e2,{},{},{},{},C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,0.845502799958922,0.0,,-1,budget,formal,50,,1.0,0,0,0,0,0,,,
