algorithm,selected_seed,point_order,time_min,cost_cny,source
HGS-E,6,13,0.21518921180007358,5197.727207899128,hgs_new_proxy_population_best
HGS-E,6,14,0.2443419951334363,5197.329622725777,hgs_new_proxy_population_best
HGS-E,6,15,0.2997477659669433,5185.209597498421,hgs_new_proxy_population_best
HGS-M,10,0,0.0,6072.234910443941,common_initial
HGS-M,10,1,0.0043034777835904,5470.415752494514,hgs_new_proxy_population_best
HGS-M,10,2,0.008710259033735686,5429.396650095141,hgs_new_proxy_population_best
HGS-M,10,3,0.016157048617120987,5277.741631116751,hgs_new_proxy_population_best
HGS-M,10,4,0.025038879866770003,5265.389010813675,hgs_new_proxy_population_best
HGS-M,10,5,0.03539612291691204,5259.540450488637,hgs_new_proxy_population_best
HGS-M,10,6,0.0386950965335321,5254.1460270846155,hgs_new_proxy_population_best
HGS-M,10,7,0.03878915140036649,5251.518300337502,hgs_new_proxy_population_best
HGS-M,10,8,0.04155790973357701,5227.1133536314255,hgs_new_proxy_population_best
HGS-M,10,9,0.05487751528368487,5224.399424889632,hgs_new_proxy_population_best
HGS-M,10,10,0.055391306950089834,5223.725196884925,hgs_new_proxy_population_best
HGS-M,10,11,0.0616135534835242,5221.841260411803,hgs_new_proxy_population_best
HGS-M,10,12,0.06882105833356036,5217.933111448247,hgs_new_proxy_population_best
HGS-M,10,13,0.08353714375019385,5215.775210647831,hgs_new_proxy_population_best
HGS-M,10,14,0.09581556666671531,5213.400439098728,hgs_new_proxy_population_best
HGS-M,10,15,0.10559060278368028,5210.058445130739,hgs_new_proxy_population_best
HGS-M,10,16,0.11261423056712375,5209.270609659186,hgs_new_proxy_population_best
HGS-M,10,17,0.12731157570039311,5201.721553565075,hgs_new_proxy_population_best
HGS-M,10,18,0.13690474515024106,5199.620036469303,hgs_new_proxy_population_best
HGS-M,10,19,0.1434611847337995,5197.622774813764,hgs_new_proxy_population_best
HGS-M,10,20,0.15294502778366828,5196.85735626266,hgs_new_proxy_population_best
HGS-M,10,21,0.16009049583371962,5196.555168125648,hgs_new_proxy_population_best
HGS-M,10,22,0.16979692153351303,5195.385102098474,hgs_new_proxy_population_best
HGS-M,10,23,0.21178549445030512,5194.829061931411,hgs_new_proxy_population_best
HGS-M,10,24,0.2314117722334534,5193.311945507997,hgs_new_proxy_population_best
HGS-M,10,25,0.26129092916671653,5189.222764454426,hgs_new_proxy_population_best
HGS-M,10,26,0.3097769764004624,5185.578285945435,hgs_new_proxy_population_best
MV-HGS-SP,10,0,0.0,6072.234910443941,common_initial
MV-HGS-SP,10,1,0.008473959732994748,5461.12980821083,cv_only:hgs_new_proxy_population_best
MV-HGS-SP,10,2,0.020267634733075586,5454.759442143966,cv_only:hgs_new_proxy_population_best
MV-HGS-SP,10,3,0.023932221533323174,5449.886598858944,cv_only:hgs_new_proxy_population_best
MV-HGS-SP,10,4,0.024807102783233857,5378.512998152486,cv_only:hgs_new_proxy_population_best
MV-HGS-SP,10,5,0.03187240140008119,5366.0044468544875,cv_only:hgs_new_proxy_population_best
MV-HGS-SP,10,6,0.043974314582980394,5362.216222134183,cv_only:hgs_new_proxy_population_best
MV-HGS-SP,10,7,0.045959954166513245,5349.661607016608,cv_only:hgs_new_proxy_population_best
MV-HGS-SP,10,8,0.06656448473319566,5347.247940946954,cv_only:hgs_new_proxy_population_best
MV-HGS-SP,10,9,0.0721318076500514,5344.389326879911,cv_only:hgs_new_proxy_population_best
MV-HGS-SP,10,10,0.08990697361635587,5340.684855728747,cv_only:hgs_new_proxy_population_best
MV-HGS-SP,10,11,0.1373004715331869,5340.099180107646,cv_only:hgs_new_proxy_population_best
MV-HGS-SP,10,12,0.15702204791644667,5292.571928233009,cv_only:hgs_new_proxy_population_best
MV-HGS-SP,10,13,0.19848250416641047,5291.365938284769,cv_only:hgs_new_proxy_population_best
MV-HGS-SP,10,14,0.22232676389976405,5290.889680554102,cv_only:hgs_new_proxy_population_best
MV-HGS-SP,10,15,0.37730451111662355,5241.964900770422,naive_ev:hgs_new_proxy_population_best
MV-HGS-SP,10,16,0.39978391736658525,5227.9673174010095,naive_ev:hgs_new_proxy_population_best
MV-HGS-SP,10,17,0.40241378403297856,5227.860950021518,naive_ev:hgs_new_proxy_population_best
MV-HGS-SP,10,18,0.4053299861164608,5200.694932440968,naive_ev:hgs_new_proxy_population_best
MV-HGS-SP,10,19,0.4350557583330859,5198.836367239806,naive_ev:hgs_new_proxy_population_best
MV-HGS-SP,10,20,0.43598149721656226,5196.647089452951,naive_ev:hgs_new_proxy_population_best
MV-HGS-SP,10,21,0.46072948958317284,5193.632257565201,naive_ev:hgs_new_proxy_population_best
MV-HGS-SP,10,22,0.4795582208331325,5188.886134619519,naive_ev:hgs_new_proxy_population_best
MV-HGS-SP,10,23,0.5280227701330052,5186.010317005561,naive_ev:hgs_new_proxy_population_best
MV-HGS-SP,10,24,0.5504035701330091,5182.001001220379,naive_ev:hgs_new_proxy_population_best
MV-HGS-SP,10,25,0.664180245133078,5180.331334692457,naive_ev:hgs_new_proxy_population_best
MV-HGS-SP,10,26,1.2907554007004365,5178.443417297478,sealed_final_solution
