status,error_type,error,count
REJECTED_INTERFACE,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_dongguan_2#T1 misses C057's time window,1
REJECTED_INTERFACE,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_dongguan_2#T1 misses C064's time window,4
REJECTED_INTERFACE,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_dongguan_2#T1 misses C067's time window,1
REJECTED_INTERFACE,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_dongguan_2#T1 misses C069's time window,9
REJECTED_INTERFACE,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_dongguan_2#T1 misses C071's time window,1
REJECTED_INTERFACE,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_dongguan_2#T1 misses C074's time window,1
REJECTED_INTERFACE,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_dongguan_2#T1 misses C081's time window,4
REJECTED_INTERFACE,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_dongguan_2#T1 misses C088's time window,1
REJECTED_INTERFACE,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_dongguan_2#T1 misses C093's time window,1
REJECTED_INTERFACE,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_dongguan_2#T1 misses C100's time window,1
REJECTED_INTERFACE,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_dongguan_2#T1 misses C106's time window,1
REJECTED_INTERFACE,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_dongguan_2#T1 misses C108's time window,1
REJECTED_INTERFACE,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_dongguan_2#T1 misses C111's time window,1
REJECTED_INTERFACE,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_dongguan_2#T1 misses C112's time window,1
REJECTED_INTERFACE,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_dongguan_2#T1 misses C122's time window,1
REJECTED_INTERFACE,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_dongguan_2#T1 misses C126's time window,1
REJECTED_INTERFACE,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_dongguan_2#T1 misses C147's time window,1
REJECTED_INTERFACE,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_dongguan_2#T2 misses C014's time window,1
REJECTED_INTERFACE,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_dongguan_2#T2 misses C064's time window,1
REJECTED_INTERFACE,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_dongguan_2#T2 misses C069's time window,1
REJECTED_INTERFACE,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_dongguan_2#T2 misses C081's time window,1
REJECTED_INTERFACE,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_dongguan_2#T2 misses C089's time window,1
REJECTED_INTERFACE,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_foshan_1#T1 misses C012's time window,2
REJECTED_INTERFACE,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_foshan_1#T1 misses C026's time window,6
REJECTED_INTERFACE,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_foshan_1#T1 misses C030's time window,6
REJECTED_INTERFACE,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_foshan_1#T1 misses C031's time window,10
REJECTED_INTERFACE,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_foshan_1#T1 misses C036's time window,9
REJECTED_INTERFACE,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_foshan_1#T1 misses C039's time window,10
REJECTED_INTERFACE,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_foshan_1#T1 misses C041's time window,10
REJECTED_INTERFACE,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_foshan_1#T1 misses C069's time window,5
REJECTED_INTERFACE,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_foshan_1#T1 misses C081's time window,1
REJECTED_INTERFACE,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_foshan_1#T2 misses C012's time window,6
REJECTED_INTERFACE,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_foshan_1#T2 misses C022's time window,2
REJECTED_INTERFACE,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_foshan_1#T2 misses C025's time window,2
REJECTED_INTERFACE,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_foshan_1#T2 misses C027's time window,2
REJECTED_INTERFACE,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_foshan_1#T2 misses C034's time window,2
REJECTED_INTERFACE,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_foshan_1#T2 misses C037's time window,3
REJECTED_INTERFACE,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_foshan_1#T2 misses C038's time window,1
REJECTED_INTERFACE,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_foshan_1#T2 misses C064's time window,6
REJECTED_INTERFACE,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_foshan_1#T2 misses C069's time window,11
REJECTED_INTERFACE,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_foshan_1#T2 misses C081's time window,6
