arm,authorized_lineage,condition,network,stream,task_id
no_participation,parent,geographic,N221,1,N221__geographic__stream1__no_participation
simple_insertion,parent,geographic,N221,1,N221__geographic__stream1__simple_insertion
full,parent,geographic,N221,2,N221__geographic__stream2__full
no_cooperation,parent,geographic,N221,2,N221__geographic__stream2__no_cooperation
no_participation,parent,geographic,N221,2,N221__geographic__stream2__no_participation
simple_insertion,parent,geographic,N221,2,N221__geographic__stream2__simple_insertion
full,parent,geographic,N221,3,N221__geographic__stream3__full
no_cooperation,parent,geographic,N221,3,N221__geographic__stream3__no_cooperation
no_participation,parent,geographic,N221,3,N221__geographic__stream3__no_participation
simple_insertion,parent,geographic,N221,3,N221__geographic__stream3__simple_insertion
full,parent,geographic,N221,4,N221__geographic__stream4__full
no_cooperation,parent,geographic,N221,4,N221__geographic__stream4__no_cooperation
no_participation,parent,geographic,N221,4,N221__geographic__stream4__no_participation
simple_insertion,parent,geographic,N221,4,N221__geographic__stream4__simple_insertion
full,parent,geographic,N221,5,N221__geographic__stream5__full
no_cooperation,parent,geographic,N221,5,N221__geographic__stream5__no_cooperation
no_participation,parent,geographic,N221,5,N221__geographic__stream5__no_participation
simple_insertion,parent,geographic,N221,5,N221__geographic__stream5__simple_insertion
full,parent,historical_mixed,N221,1,N221__historical_mixed__stream1__full
no_cooperation,parent,historical_mixed,N221,1,N221__historical_mixed__stream1__no_cooperation
no_participation,parent,historical_mixed,N221,1,N221__historical_mixed__stream1__no_participation
simple_insertion,parent,historical_mixed,N221,1,N221__historical_mixed__stream1__simple_insertion
full,parent,historical_mixed,N221,2,N221__historical_mixed__stream2__full
no_cooperation,parent,historical_mixed,N221,2,N221__historical_mixed__stream2__no_cooperation
no_participation,parent,historical_mixed,N221,2,N221__historical_mixed__stream2__no_participation
simple_insertion,parent,historical_mixed,N221,2,N221__historical_mixed__stream2__simple_insertion
full,parent,historical_mixed,N221,3,N221__historical_mixed__stream3__full
no_cooperation,parent,historical_mixed,N221,3,N221__historical_mixed__stream3__no_cooperation
no_participation,parent,historical_mixed,N221,3,N221__historical_mixed__stream3__no_participation
simple_insertion,parent,historical_mixed,N221,3,N221__historical_mixed__stream3__simple_insertion
full,parent,historical_mixed,N221,4,N221__historical_mixed__stream4__full
no_cooperation,parent,historical_mixed,N221,4,N221__historical_mixed__stream4__no_cooperation
no_participation,parent,historical_mixed,N221,4,N221__historical_mixed__stream4__no_participation
simple_insertion,parent,historical_mixed,N221,4,N221__historical_mixed__stream4__simple_insertion
full,parent,historical_mixed,N221,5,N221__historical_mixed__stream5__full
no_cooperation,parent,historical_mixed,N221,5,N221__historical_mixed__stream5__no_cooperation
no_participation,parent,historical_mixed,N221,5,N221__historical_mixed__stream5__no_participation
simple_insertion,parent,historical_mixed,N221,5,N221__historical_mixed__stream5__simple_insertion
full,parent,geographic,N322,1,N322__geographic__stream1__full
no_cooperation,parent,geographic,N322,1,N322__geographic__stream1__no_cooperation
no_participation,parent,geographic,N322,1,N322__geographic__stream1__no_participation
simple_insertion,parent,geographic,N322,1,N322__geographic__stream1__simple_insertion
full,parent,geographic,N322,2,N322__geographic__stream2__full
no_cooperation,parent,geographic,N322,2,N322__geographic__stream2__no_cooperation
no_participation,parent,geographic,N322,2,N322__geographic__stream2__no_participation
simple_insertion,parent,geographic,N322,2,N322__geographic__stream2__simple_insertion
full,parent,geographic,N322,3,N322__geographic__stream3__full
no_cooperation,parent,geographic,N322,3,N322__geographic__stream3__no_cooperation
no_participation,parent,geographic,N322,3,N322__geographic__stream3__no_participation
simple_insertion,parent,geographic,N322,3,N322__geographic__stream3__simple_insertion
full,parent,geographic,N322,4,N322__geographic__stream4__full
no_cooperation,parent,geographic,N322,4,N322__geographic__stream4__no_cooperation
no_participation,parent,geographic,N322,4,N322__geographic__stream4__no_participation
simple_insertion,parent,geographic,N322,4,N322__geographic__stream4__simple_insertion
full,parent,geographic,N322,5,N322__geographic__stream5__full
no_cooperation,child,geographic,N322,5,N322__geographic__stream5__no_cooperation
no_participation,parent,geographic,N322,5,N322__geographic__stream5__no_participation
simple_insertion,parent,geographic,N322,5,N322__geographic__stream5__simple_insertion
full,parent,historical_mixed,N322,1,N322__historical_mixed__stream1__full
no_cooperation,parent,historical_mixed,N322,1,N322__historical_mixed__stream1__no_cooperation
no_participation,child,historical_mixed,N322,1,N322__historical_mixed__stream1__no_participation
simple_insertion,parent,historical_mixed,N322,1,N322__historical_mixed__stream1__simple_insertion
full,child,historical_mixed,N322,2,N322__historical_mixed__stream2__full
no_cooperation,child,historical_mixed,N322,2,N322__historical_mixed__stream2__no_cooperation
no_participation,child,historical_mixed,N322,2,N322__historical_mixed__stream2__no_participation
simple_insertion,child,historical_mixed,N322,2,N322__historical_mixed__stream2__simple_insertion
full,child,historical_mixed,N322,3,N322__historical_mixed__stream3__full
no_cooperation,child,historical_mixed,N322,3,N322__historical_mixed__stream3__no_cooperation
no_participation,child,historical_mixed,N322,3,N322__historical_mixed__stream3__no_participation
simple_insertion,child,historical_mixed,N322,3,N322__historical_mixed__stream3__simple_insertion
full,child,historical_mixed,N322,4,N322__historical_mixed__stream4__full
no_cooperation,child,historical_mixed,N322,4,N322__historical_mixed__stream4__no_cooperation
no_participation,child,historical_mixed,N322,4,N322__historical_mixed__stream4__no_participation
simple_insertion,child,historical_mixed,N322,4,N322__historical_mixed__stream4__simple_insertion
full,child,historical_mixed,N322,5,N322__historical_mixed__stream5__full
no_cooperation,child,historical_mixed,N322,5,N322__historical_mixed__stream5__no_cooperation
no_participation,child,historical_mixed,N322,5,N322__historical_mixed__stream5__no_participation
simple_insertion,child,historical_mixed,N322,5,N322__historical_mixed__stream5__simple_insertion
