action_id,focus_customer_ids,focus_direct_roundtrip_advantage_km,status,evaluated,complete_model_feasible,violation_count,violations_json,cross_site_service_count,after_cost_cny,cost_change_cny,after_emissions_kg,minimum_participation_margin_cny,penalized_change_cny,improves_initial_penalized,maximum_charge_end_soc,charging_actions_entering_taper_region,wall_seconds,error_type,error
swap:CV_D_guangzhou_4#T1:C043<->CV_D_shenzhen_1#T1:C127,C043,C043:1.03288723259,REJECTED_INTERFACE,False,,,[],,,,,,,,,,0.0012142079940531403,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_guangzhou_4#T1 misses C127's time window
swap:CV_D_guangzhou_4#T1:C043<->CV_D_shenzhen_1#T1:C133,C043,C043:1.03288723259,REJECTED_INTERFACE,False,,,[],,,,,,,,,,0.0012164580111857504,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_guangzhou_4#T1 misses C133's time window
swap:CV_D_guangzhou_4#T1:C043<->CV_D_shenzhen_1#T1:C141,C043,C043:1.03288723259,REJECTED_INTERFACE,False,,,[],,,,,,,,,,0.001238583994563669,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_guangzhou_4#T1 misses C141's time window
swap:CV_D_guangzhou_4#T1:C043<->CV_D_shenzhen_1#T1:C144,C043,C043:1.03288723259,REJECTED_INTERFACE,False,,,[],,,,,,,,,,0.0012354589998722076,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_guangzhou_4#T1 misses C144's time window
swap:CV_D_guangzhou_4#T1:C043<->CV_D_shenzhen_1#T1:C147,C043,C043:1.03288723259,REJECTED_INTERFACE,False,,,[],,,,,,,,,,0.001216166012454778,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_guangzhou_4#T1 misses C147's time window
swap:CV_D_guangzhou_4#T1:C043<->CV_D_shenzhen_1#T2:C093,C043,C043:1.03288723259,REJECTED_INTERFACE,False,,,[],,,,,,,,,,0.001205375010613352,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_guangzhou_4#T1 misses C093's time window
swap:CV_D_guangzhou_4#T1:C043<->CV_D_shenzhen_1#T2:C110,C043,C043:1.03288723259,REJECTED_INTERFACE,False,,,[],,,,,,,,,,0.001242291007656604,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_guangzhou_4#T1 misses C089's time window
swap:CV_D_guangzhou_4#T1:C043<->CV_D_shenzhen_1#T2:C116,C043,C043:1.03288723259,REJECTED_INTERFACE,False,,,[],,,,,,,,,,0.001542709011118859,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_guangzhou_4#T1 misses C089's time window
swap:CV_D_guangzhou_4#T1:C043<->CV_D_shenzhen_1#T2:C120,C043,C043:1.03288723259,REJECTED_INTERFACE,False,,,[],,,,,,,,,,0.001381542009767145,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_guangzhou_4#T1 misses C089's time window
swap:CV_D_guangzhou_4#T1:C043<->CV_D_shenzhen_1#T2:C121,C043,C043:1.03288723259,REJECTED_INTERFACE,False,,,[],,,,,,,,,,0.0012221250217407942,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_guangzhou_4#T1 misses C089's time window
swap:CV_D_guangzhou_4#T1:C043<->CV_D_shenzhen_1#T2:C143,C043,C043:1.03288723259,REJECTED_INTERFACE,False,,,[],,,,,,,,,,0.0012171249836683273,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_guangzhou_4#T1 misses C089's time window
swap:CV_D_guangzhou_4#T1:C043<->CV_D_shenzhen_2#T1:C095,C043,C043:1.03288723259,REJECTED_INTERFACE,False,,,[],,,,,,,,,,0.0012108749942854047,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_guangzhou_4#T1 misses C095's time window
swap:CV_D_guangzhou_4#T1:C043<->CV_D_shenzhen_2#T1:C096,C043,C043:1.03288723259,REJECTED_INTERFACE,False,,,[],,,,,,,,,,0.0012000419956166297,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_guangzhou_4#T1 misses C096's time window
swap:CV_D_guangzhou_4#T1:C043<->CV_D_shenzhen_2#T1:C109,C043,C043:1.03288723259,REJECTED_INTERFACE,False,,,[],,,,,,,,,,0.0012009160127490759,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_guangzhou_4#T1 misses C109's time window
