run_id,phase,algorithm,display_algorithm,category,instance,seed,best_cost,common_lift,native_lift,flip_lift,native_best_updates,route_count_unique
D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-10c-01__GA-VNS__seed3,D_G5_TIER1,GA-VNS,GA-VNS,multidepot,e2-multidepot-10c-01,3,371.9993673208387,0.0,104.14474604775245,36.47993134699948,5,2
D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-10c-01__GWO__seed1,D_G5_TIER1,GWO,GWO,multidepot,e2-multidepot-10c-01,1,387.9007343319535,0.0,88.24337903663763,0,12,2
D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-10c-01__GWO__seed2,D_G5_TIER1,GWO,GWO,multidepot,e2-multidepot-10c-01,2,387.9007343319535,0.0,88.24337903663763,0,10,2
D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-10c-01__GWO__seed3,D_G5_TIER1,GWO,GWO,multidepot,e2-multidepot-10c-01,3,387.9007343319535,0.0,88.24337903663763,0,10,2
D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-10c-01__IWD__seed1,D_G5_TIER1,IWD,IWD,multidepot,e2-multidepot-10c-01,1,395.39551257369,0.0,80.74860079490117,0,7,2
D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-10c-01__IWD__seed2,D_G5_TIER1,IWD,IWD,multidepot,e2-multidepot-10c-01,2,395.60010431354095,0.0,80.5440090550502,0,7,2
D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-10c-01__IWD__seed3,D_G5_TIER1,IWD,IWD,multidepot,e2-multidepot-10c-01,3,395.40438636828736,0.0,80.73972700030379,0,6,2
D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-10c-01__LNS__seed1,D_G5_TIER1,LNS,LNS,multidepot,e2-multidepot-10c-01,1,371.9993673208387,0.0,104.14474604775245,3.419261088469284,10,2
D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-10c-01__LNS__seed2,D_G5_TIER1,LNS,LNS,multidepot,e2-multidepot-10c-01,2,371.9993673208387,0.0,104.14474604775245,3.419261088469284,8,2
D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-10c-01__LNS__seed3,D_G5_TIER1,LNS,LNS,multidepot,e2-multidepot-10c-01,3,371.9993673208387,0.0,104.14474604775245,15.455679418245325,4,2
D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-10c-01__PSO__seed1,D_G5_TIER1,PSO,PSO,multidepot,e2-multidepot-10c-01,1,390.6270219079435,0.0,85.51709146064763,19.74184200008085,5,2
D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-10c-01__PSO__seed2,D_G5_TIER1,PSO,PSO,multidepot,e2-multidepot-10c-01,2,387.9007343319535,0.0,88.24337903663763,22.85303994776706,4,2
D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-10c-01__PSO__seed3,D_G5_TIER1,PSO,PSO,multidepot,e2-multidepot-10c-01,3,387.9007343319535,0.0,88.24337903663763,25.08405099269237,5,2
D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-10c-01__VNS__seed1,D_G5_TIER1,VNS,VNS,multidepot,e2-multidepot-10c-01,1,371.9993673208387,0.0,104.14474604775245,56.7523948197059,2,2
D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-10c-01__VNS__seed2,D_G5_TIER1,VNS,VNS,multidepot,e2-multidepot-10c-01,2,371.9993673208387,0.0,104.14474604775245,24.266494896244126,7,2
D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-10c-01__VNS__seed3,D_G5_TIER1,VNS,VNS,multidepot,e2-multidepot-10c-01,3,371.9993673208387,0.0,104.14474604775245,46.53018799505941,1,2
D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-10c-01__t3_main_alns__seed1,D_G5_TIER1,t3_main_alns,alns_e2_throughput+LOCAL_SEARCH,multidepot,e2-multidepot-10c-01,1,371.9993673208387,0.0,104.14474604775245,0,4,1
D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-10c-01__t3_main_alns__seed2,D_G5_TIER1,t3_main_alns,alns_e2_throughput+LOCAL_SEARCH,multidepot,e2-multidepot-10c-01,2,387.9007343319535,0.0,88.24337903663763,0,7,1
D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-10c-01__t3_main_alns__seed3,D_G5_TIER1,t3_main_alns,alns_e2_throughput+LOCAL_SEARCH,multidepot,e2-multidepot-10c-01,3,387.9007343319535,0.0,88.24337903663763,0,5,1
D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-150c-01__GA__seed1,D_G5_TIER1,GA,GA,multidepot,e2-multidepot-150c-01,1,3686.1097292793215,0.0,1802.6731297769907,283.8116148777435,5,3
