alns_cost,alns_evals,alns_status,battery_kwh,category,comparison_mode,gap_pct_alns_minus_lns,instance,lns_cost,lns_evals,lns_status,paired_winner,replicate,scenario,seed,size,winner_algorithm_for_composition,winner_all_cv,winner_all_ev,winner_cv_physical,winner_ev_physical,winner_ev_route_share,winner_max_trips_per_vehicle
2020.688951370618,77208,OK,100.0,multidepot,wallclock,0.0,e2-multidepot-50c-01,2020.688951370618,39805,OK,tie,1,wc100,1,50,alns_e2_throughput,False,False,4,1,0.1111111111111111,2
3062.7977925322516,52123,OK,100.0,multidepot,wallclock,0.0,e2-multidepot-75c-01,3062.7977925322516,39202,OK,tie,1,wc100,1,75,alns_e2_throughput,False,False,6,1,0.07692307692307693,2
4086.253616024695,32067,OK,100.0,threeshift,wallclock,0.0,e2-threeshift-100c-01,4086.253616024695,27202,OK,tie,1,wc100,1,100,alns_e2_throughput,False,False,7,1,0.06666666666666667,2
5803.553350198798,12888,OK,100.0,threeshift,wallclock,0.0,e2-threeshift-150c-01,5803.553350198798,16589,OK,tie,1,wc100,1,150,alns_e2_throughput,False,False,10,1,0.045454545454545456,3
6633.4344963179965,6441,OK,100.0,threeshift,wallclock,0.0,e2-threeshift-200c-01,6633.4344963179965,11445,OK,tie,1,wc100,1,200,alns_e2_throughput,False,False,14,1,0.037037037037037035,2
1783.6949728422799,88493,OK,100.0,threeshift,wallclock,0.0,e2-threeshift-50c-01,1783.6949728422799,38316,OK,tie,1,wc100,1,50,alns_e2_throughput,False,False,4,1,0.125,2
2732.803960039656,57853,OK,100.0,threeshift,wallclock,0.0,e2-threeshift-75c-01,2732.803960039656,38379,OK,tie,1,wc100,1,75,alns_e2_throughput,False,False,6,1,0.08333333333333333,2
4635.703685132771,29335,OK,100.0,vanilla,wallclock,0.0,e2-vanilla-100c-01,4635.703685132771,26754,OK,tie,1,wc100,1,100,alns_e2_throughput,False,False,7,1,0.06666666666666667,2
398.0471571718608,476817,OK,100.0,vanilla,wallclock,-30.62886957927252,e2-vanilla-10c-01,573.7936728978657,172621,OK,alns,1,wc100,1,10,alns_e2_throughput,False,False,1,1,0.5,1
6015.377586977482,11773,OK,100.0,vanilla,wallclock,0.0,e2-vanilla-150c-01,6015.377586977482,16829,OK,tie,1,wc100,1,150,alns_e2_throughput,False,False,10,1,0.047619047619047616,2
642.185285005708,368532,OK,100.0,vanilla,wallclock,0.0,e2-vanilla-15c-01,642.185285005708,150574,OK,tie,1,wc100,1,15,alns_e2_throughput,True,False,2,0,0.0,1
inf,0,HALT_HARD_TIMEOUT,100.0,vanilla,wallclock,inf,e2-vanilla-200c-01,inf,0,HALT_HARD_TIMEOUT,tie,1,wc100,1,200,alns_e2_throughput,False,False,0,0,0.0,0
1155.0731809827587,181311,OK,100.0,vanilla,wallclock,54.80065949079322,e2-vanilla-20c-01,746.168126661926,45246,OK,lns,1,wc100,1,20,LNS,False,False,2,1,0.3333333333333333,1
613.3769495288716,114791,OK,100.0,vanilla,wallclock,-30.877349130821745,e2-vanilla-25c-01,887.3747488211219,32188,OK,alns,1,wc100,1,25,alns_e2_throughput,False,False,2,1,0.3333333333333333,1
2320.739433561989,80952,OK,100.0,vanilla,wallclock,0.0,e2-vanilla-50c-01,2320.739433561989,39742,OK,tie,1,wc100,1,50,alns_e2_throughput,False,False,4,1,0.125,2
3817.814283649194,55953,OK,100.0,vanilla,wallclock,0.0,e2-vanilla-75c-01,3817.814283649194,38918,OK,tie,1,wc100,1,75,alns_e2_throughput,False,False,6,1,0.08333333333333333,2
3960.9142264324673,27730,OK,80.0,multidepot,wallclock,0.0,e2-multidepot-100c-01,3960.9142264324673,25357,OK,tie,1,wc80,1,100,alns_e2_throughput,False,False,7,1,0.06666666666666667,2
387.9007343319535,441401,OK,80.0,multidepot,wallclock,-18.53291399789436,e2-multidepot-10c-01,476.14411336859115,135902,OK,alns,1,wc80,1,10,alns_e2_throughput,False,False,1,1,0.5,1
5488.782859056312,10899,OK,80.0,multidepot,wallclock,0.0,e2-multidepot-150c-01,5488.782859056312,15481,OK,tie,1,wc80,1,150,alns_e2_throughput,False,False,10,1,0.045454545454545456,3
621.371321439464,350981,OK,80.0,multidepot,wallclock,0.0,e2-multidepot-15c-01,621.371321439464,151171,OK,tie,1,wc80,1,15,alns_e2_throughput,True,False,2,0,0.0,1
6608.239546640648,5676,OK,80.0,multidepot,wallclock,0.0,e2-multidepot-200c-01,6608.239546640648,10714,OK,tie,1,wc80,1,200,alns_e2_throughput,False,False,14,1,0.034482758620689655,2
1130.7005298293218,180369,OK,80.0,multidepot,wallclock,0.0,e2-multidepot-20c-01,1130.7005298293218,50328,OK,tie,1,wc80,1,20,alns_e2_throughput,False,False,2,1,0.2,2
579.8187925973947,104379,OK,80.0,multidepot,wallclock,-30.030895222413896,e2-multidepot-25c-01,828.678306576153,33893,OK,alns,1,wc80,1,25,alns_e2_throughput,False,False,2,1,0.3333333333333333,1
2020.688951370618,75058,OK,80.0,multidepot,wallclock,0.0,e2-multidepot-50c-01,2020.688951370618,38440,OK,tie,1,wc80,1,50,alns_e2_throughput,False,False,4,1,0.1111111111111111,2
3062.7977925322516,52826,OK,80.0,multidepot,wallclock,0.0,e2-multidepot-75c-01,3062.7977925322516,38975,OK,tie,1,wc80,1,75,alns_e2_throughput,False,False,6,1,0.07692307692307693,2
4086.253616024695,32412,OK,80.0,threeshift,wallclock,0.0,e2-threeshift-100c-01,4086.253616024695,26384,OK,tie,1,wc80,1,100,alns_e2_throughput,False,False,7,1,0.06666666666666667,2
5803.553350198798,13128,OK,80.0,threeshift,wallclock,0.0,e2-threeshift-150c-01,5803.553350198798,16234,OK,tie,1,wc80,1,150,alns_e2_throughput,False,False,10,1,0.045454545454545456,3
6633.4344963179965,6453,OK,80.0,threeshift,wallclock,0.0,e2-threeshift-200c-01,6633.4344963179965,11285,OK,tie,1,wc80,1,200,alns_e2_throughput,False,False,14,1,0.037037037037037035,2
1783.6949728422799,89277,OK,80.0,threeshift,wallclock,0.0,e2-threeshift-50c-01,1783.6949728422799,37634,OK,tie,1,wc80,1,50,alns_e2_throughput,False,False,4,1,0.125,2
