network,condition,stream,arm,execution_status,completed_stage_count,failed_stage,failure_error,charging_window_count,deadline_comparable_stage_count,stage_deadline_miss_count,maximum_stage_elapsed_seconds
N114,historical_mixed,2,no_cooperation,PASS,3,,,16,2,0,1.6959266659978312
N114,historical_mixed,2,no_participation,PASS,3,,,16,2,0,1.7305597919912543
N114,historical_mixed,2,simple_insertion,PASS,3,,,16,2,0,0.8715780839993386
N114,historical_mixed,3,full,PASS,2,,,16,1,0,1.811001000009128
N114,historical_mixed,3,no_cooperation,PASS,2,,,17,1,0,1.6491956669924548
N114,historical_mixed,3,no_participation,HALT_NO_EXECUTABLE_CONTINUATION,1,2,"stage search found no executable continuation (initial_feasible=False, changed=50, executable=0, accepted=0, top_rejections=[('E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route DYN_EVENT_N_S3_001', 10), ('E7_DYNAMIC_MULTITRIP_V1: route REPACK_001 exceeds one battery', 7), ('E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route S2_OPEN_004', 4)])",0,0,0,0.0
N114,historical_mixed,3,simple_insertion,PASS,2,,,17,1,0,0.8980816250114003
N114,historical_mixed,4,full,PASS,3,,,17,2,0,3.3091993749985704
N114,historical_mixed,4,no_cooperation,PASS,3,,,12,2,0,2.7451993339927867
N114,historical_mixed,4,no_participation,PASS,3,,,16,2,0,3.4208295840071514
N114,historical_mixed,4,simple_insertion,PASS,3,,,15,2,0,1.4948514999996405
N114,historical_mixed,5,full,PASS,1,,,12,0,0,0.4076939590013353
N114,historical_mixed,5,no_cooperation,PASS,1,,,11,0,0,0.34124054200947285
N114,historical_mixed,5,no_participation,PASS,1,,,12,0,0,0.428985874998034
N114,historical_mixed,5,simple_insertion,PASS,1,,,12,0,0,0.25152720799087547
N221,geographic,1,full,PASS,3,,,26,2,0,268.22875870901044
N221,geographic,1,no_cooperation,PASS,3,,,26,2,0,225.15888216599706
N221,geographic,1,no_participation,PASS,3,,,26,2,0,268.93632900000375
N221,geographic,1,simple_insertion,PASS,3,,,27,2,0,158.87749541699304
N221,geographic,2,full,PASS,3,,,27,2,0,136.8609657909983
N221,geographic,2,no_cooperation,PASS,3,,,29,2,0,143.30266237500473
N221,geographic,2,no_participation,PASS,3,,,27,2,0,132.22694612499618
N221,geographic,2,simple_insertion,PASS,3,,,27,2,0,79.97950933300308
N221,geographic,3,full,PASS,3,,,29,2,0,203.91210312499607
N221,geographic,3,no_cooperation,PASS,3,,,26,2,0,201.8059530830069
N221,geographic,3,no_participation,PASS,3,,,29,2,0,205.28552933399624
N221,geographic,3,simple_insertion,PASS,3,,,29,2,0,134.1257231250056
N221,geographic,4,full,PASS,3,,,29,2,0,2320.941281416992
N221,geographic,4,no_cooperation,PASS,3,,,30,2,0,345.49488425000163
N221,geographic,4,no_participation,PASS,3,,,29,2,0,2312.9353899999987
N221,geographic,4,simple_insertion,PASS,3,,,27,2,0,201.61443987500388
N221,geographic,5,full,PASS,3,,,26,2,0,414.19335170899285
N221,geographic,5,no_cooperation,PASS,3,,,25,2,0,401.0965908750077
N221,geographic,5,no_participation,PASS,3,,,26,2,0,407.04572416699375
N221,geographic,5,simple_insertion,PASS,3,,,26,2,0,333.1956534159981
N221,historical_mixed,1,full,PASS,3,,,26,2,0,67.02410341700306
N221,historical_mixed,1,no_cooperation,PASS,3,,,27,2,0,64.41802687500603
N221,historical_mixed,1,no_participation,PASS,3,,,25,2,0,67.3918869580084
N221,historical_mixed,1,simple_insertion,PASS,3,,,28,2,0,26.15624199999729
N221,historical_mixed,2,full,PASS,3,,,30,2,0,1960.749327832993
N221,historical_mixed,2,no_cooperation,PASS,3,,,28,2,0,2116.1685009170033
N221,historical_mixed,2,no_participation,PASS,3,,,30,2,0,1938.033973083002
N221,historical_mixed,2,simple_insertion,PASS,3,,,30,2,0,1018.0684750000073
N221,historical_mixed,3,full,PASS,3,,,27,2,0,5.747450541006401
N221,historical_mixed,3,no_cooperation,PASS,3,,,27,2,0,5.968915999997989
N221,historical_mixed,3,no_participation,PASS,3,,,24,2,0,6.061967625006218
N221,historical_mixed,3,simple_insertion,PASS,3,,,30,2,0,3.054248208005447
N221,historical_mixed,4,full,PASS,3,,,26,2,0,20.34388745900651
N221,historical_mixed,4,no_cooperation,PASS,3,,,26,2,0,5.044381749990862
N221,historical_mixed,4,no_participation,PASS,3,,,26,2,0,20.480121207991033
N221,historical_mixed,4,simple_insertion,PASS,3,,,28,2,0,2.925886917000753
N221,historical_mixed,5,full,PASS,3,,,29,2,0,15.101188250002451
N221,historical_mixed,5,no_cooperation,PASS,3,,,29,2,0,5.334585249991505
N221,historical_mixed,5,no_participation,PASS,3,,,29,2,0,15.486946082994109
N221,historical_mixed,5,simple_insertion,PASS,3,,,29,2,0,3.227009291993454
N322,geographic,1,full,PASS,3,,,45,2,0,7991.059913541001
N322,geographic,1,no_cooperation,PASS,3,,,44,2,1,11702.981361625003
N322,geographic,1,no_participation,PASS,3,,,46,2,0,7838.738230167
N322,geographic,1,simple_insertion,PASS,3,,,46,2,0,3137.4631964169967
N322,geographic,2,full,PASS,3,,,43,2,1,36789.49864758301
N322,geographic,2,no_cooperation,PASS,3,,,44,2,1,36549.12203058299
N322,geographic,2,no_participation,PASS,3,,,46,2,1,36392.112895417
N322,geographic,2,simple_insertion,PASS,3,,,45,2,1,18023.396167999992
N322,geographic,3,full,PASS,3,,,44,2,0,22.936697625002125
N322,geographic,3,no_cooperation,PASS,3,,,46,2,0,9189.908791416994
N322,geographic,3,no_participation,PASS,3,,,47,2,0,21.87258241699601
N322,geographic,3,simple_insertion,PASS,3,,,45,2,0,339.9488250830036
N322,geographic,4,full,PASS,3,,,47,2,0,4908.585188459008
N322,geographic,4,no_cooperation,PASS,3,,,44,2,0,5872.340525166001
N322,geographic,4,no_participation,PASS,3,,,43,2,0,5312.431527875
N322,geographic,4,simple_insertion,PASS,3,,,46,2,0,3665.923524541009
N322,geographic,5,full,PASS,3,,,45,2,0,6953.055705958002
N322,geographic,5,no_cooperation,PASS,3,,,45,2,1,16084.619614791009
N322,geographic,5,no_participation,PASS,3,,,45,2,0,6677.531799999997
N322,geographic,5,simple_insertion,PASS,3,,,45,2,0,4486.687021916994
N322,historical_mixed,1,full,PASS,3,,,44,2,0,3119.1039123329974
N322,historical_mixed,1,no_cooperation,PASS,3,,,47,2,0,3048.2710227500065
N322,historical_mixed,1,no_participation,PASS,3,,,48,2,0,2703.617076083028
N322,historical_mixed,1,simple_insertion,PASS,3,,,46,2,0,1525.8761638329888
N322,historical_mixed,2,full,PASS,3,,,52,2,1,27303.509875833
N322,historical_mixed,2,no_cooperation,PASS,3,,,50,2,1,37147.87734870802
N322,historical_mixed,2,no_participation,PASS,3,,,52,2,1,27220.237628417002
N322,historical_mixed,2,simple_insertion,PASS,3,,,51,2,1,24373.235183625016
N322,historical_mixed,3,full,PASS,3,,,45,2,0,6132.599895916006
N322,historical_mixed,3,no_cooperation,PASS,3,,,50,2,0,8550.65511875
N322,historical_mixed,3,no_participation,PASS,3,,,46,2,0,2812.6640595000063
N322,historical_mixed,3,simple_insertion,PASS,3,,,51,2,0,2812.4911564580107
N322,historical_mixed,4,full,PASS,3,,,47,2,0,7388.184739791002
N322,historical_mixed,4,no_cooperation,PASS,3,,,51,2,0,2051.4448275830073
N322,historical_mixed,4,no_participation,PASS,3,,,45,2,0,6335.589672208007
N322,historical_mixed,4,simple_insertion,PASS,3,,,49,2,0,496.0564503330097
N322,historical_mixed,5,full,PASS,3,,,48,2,0,1608.855895583023
N322,historical_mixed,5,no_cooperation,PASS,3,,,48,2,0,2526.199173000001
N322,historical_mixed,5,no_participation,PASS,3,,,47,2,0,1438.1227687500068
N322,historical_mixed,5,simple_insertion,PASS,3,,,50,2,0,530.2012014169886
