algorithm,cross_site_cost_if_enabled,cross_site_customer_count,current_checker_violation_count,free_cost_match,instance,original_cross_site_list_count,replayed_free_cross_site_cost,reported_cost,seed,what_if_cost_delta,what_if_total_cost_with_cross_site_fee
staged_hybrid_carbon_naive,285.0,3,0,True,L-main-threeshift-10c-01,0,648.564303300374,648.564303300374,2,285.0,933.564303300374
staged_hybrid_carbon_naive,285.0,3,0,True,L-main-threeshift-10c-01,0,648.564303300374,648.564303300374,3,285.0,933.564303300374
staged_hybrid_carbon_naive,285.0,3,0,True,L-main-threeshift-10c-01,0,648.564303300374,648.564303300374,4,285.0,933.564303300374
staged_hybrid_carbon_naive,285.0,3,0,True,L-main-threeshift-10c-01,0,648.564303300374,648.564303300374,5,285.0,933.564303300374
GA,3420.0,36,0,True,L-main-threeshift-150c-01,0,9197.612605597134,9197.612605597134,1,3420.0,12617.612605597134
GA,2185.0,23,0,True,L-main-threeshift-150c-01,0,9021.645454255295,9021.645454255295,2,2185.0,11206.645454255295
GA,3040.0,32,0,True,L-main-threeshift-150c-01,0,8858.896391011875,8858.896391011875,3,3040.0,11898.896391011875
GA,4655.0,49,0,True,L-main-threeshift-150c-01,0,8803.927068512987,8803.927068512987,4,4655.0,13458.927068512987
GA,2090.0,22,0,True,L-main-threeshift-150c-01,0,9090.53323186199,9090.53323186199,5,2090.0,11180.53323186199
LNS,3230.0,34,0,True,L-main-threeshift-150c-01,0,9327.921180185798,9327.921180185798,1,3230.0,12557.921180185798
LNS,4275.0,45,0,True,L-main-threeshift-150c-01,0,9387.203914558891,9387.203914558891,2,4275.0,13662.203914558891
LNS,5510.0,58,0,True,L-main-threeshift-150c-01,0,8690.030465921816,8690.030465921816,3,5510.0,14200.030465921816
LNS,4085.0,43,0,True,L-main-threeshift-150c-01,0,9641.886088905105,9641.886088905105,4,4085.0,13726.886088905105
LNS,4655.0,49,0,True,L-main-threeshift-150c-01,0,9458.924930720119,9458.924930720119,5,4655.0,14113.924930720119
PSO,3325.0,35,0,True,L-main-threeshift-150c-01,0,9654.732495529935,9654.732495529935,1,3325.0,12979.732495529935
PSO,3610.0,38,0,True,L-main-threeshift-150c-01,0,9720.175674024213,9720.175674024213,2,3610.0,13330.175674024213
PSO,4940.0,52,0,True,L-main-threeshift-150c-01,0,9178.77882758056,9178.77882758056,3,4940.0,14118.77882758056
PSO,1995.0,21,0,True,L-main-threeshift-150c-01,0,9466.258087063425,9466.258087063425,4,1995.0,11461.258087063425
PSO,2470.0,26,0,True,L-main-threeshift-150c-01,0,9667.62506312861,9667.62506312861,5,2470.0,12137.62506312861
VNS,475.0,5,0,True,L-main-threeshift-150c-01,0,10166.598344932583,10166.598344932583,1,475.0,10641.598344932583
VNS,5320.0,56,0,True,L-main-threeshift-150c-01,0,8387.770475813326,8387.770475813326,2,5320.0,13707.770475813326
VNS,950.0,10,0,True,L-main-threeshift-150c-01,0,10120.044062379588,10120.044062379588,3,950.0,11070.044062379588
